Description,Number of grants,Application category,Centroids,"Total Award, 2000-2020",Total citations,Silhouette score
 ,358, ,"['cell', 'cell type', 'single cell', 'type', 'cellular', 'tissue', 'single', 'human', 'molecular', 'cancer', 'stem', 'differentiation', 'analysis', 'disease', 'immune']",168532863,5974.0,0.05366484618118475
 ,197, ,"['hiv', 'infection', 'risk', 'viral', 'social', 'men', 'prevention', 'care', 'hand', 'social medium', 'cohort', 'medium', 'substance', 'intervention', 'population']",89978388,4663.0,0.1262144068484663
 ,254, ,"['variant', 'mutation', 'genome', 'genetic', 'human', 'gene', 'disease', 'variation', 'sequencing', 'genetic variant', 'functional', 'genomic', 'sequence', 'protein', 'region']",99175649,29589.0,0.04833110328045663
 ,100, ,"['stroke', 'recovery', 'rehabilitation', 'patient', 'risk', 'motor', 'cause', 'therapy', 'treatment', 'disability', 'learning', 'activity', 'imaging', 'blood', 'movement']",51295416,1942.0,0.19672259919627666
 ,178, ,"['psychosis', 'youth', 'disorder', 'symptom', 'schizophrenia', 'mood', 'adolescent', 'risk', 'brain', 'illness', 'social', 'neuroimaging', 'mental', 'emotion', 'anxiety']",102989609,5053.0,0.03617888403202525
 ,162, ,"['big', 'big data', 'student', 'science', 'program', 'training', 'biomedical', 'data science', 'neuroscience', 'faculty', 'course', 'school', 'learning', 'university', 'computational']",47014462,15297.0,0.06512453371136231
 ,103, ,"['ontology', 'biomedical', 'text', 'annotation', 'information', 'literature', 'scientist', 'language', 'community', 'processing', 'support', 'knowledge', 'tool', 'database', 'set']",60565520,863.0,0.13137126817519804
 ,46, ,"['aphasia', 'language', 'recovery', 'treatment', 'stroke', 'individual', 'brain', 'impairment', 'communication', 'behavioral', 'patient', 'dementia', 'functional', 'month', 'damage']",27348475,1810.0,0.1670359436443179
 ,29, ,"['fall', 'risk', 'older', 'older adult', 'care', 'intervention', 'ed', 'adult', 'home', 'hospital', 'detection', 'patient', 'pilot', 'emergency', 'billion']",7238442,37.0,0.2998580234411514
 ,397, ,"['gene', 'expression', 'gene expression', 'methylation', 'human', 'disease', 'dna', 'model', 'cell', 'network', 'genome', 'molecular', 'cancer', 'genetic', 'analysis']",165468381,61402.0,0.0171798204303633
 ,194, ,"['motor', 'movement', 'control', 'spinal', 'signal', 'stimulation', 'hand', 'neural', 'injury', 'activity', 'brain', 'muscle', 'interface', 'function', 'recording']",86039518,165.0,0.04171376113765221
 ,322, ,"['biological', 'analysis', 'database', 'structure', 'tool', 'sequence', 'biology', 'genome', 'dna', 'molecular', 'information', 'sequencing', 'knowledge', 'community', 'computational']",133018875,39375.0,-0.008545814592563428
 ,125, ,"['speech', 'production', 'motor', 'language', 'perception', 'hearing', 'model', 'neural', 'movement', 'communication', 'disorder', 'control', 'human', 'impairment', 'patient']",40742366,3764.0,0.1801887818684465
 ,304, ,"['drug', 'compound', 'drug discovery', 'model', 'discovery', 'chemical', 'computational', 'target', 'effect', 'treatment', 'molecule', 'therapeutic', 'resistance', 'toxicity', 'abuse']",156355113,11874.0,0.04237528946698879
 ,193, ,"['older', 'older adult', 'adult', 'caregiver', 'dementia', 'home', 'aging', 'care', 'intervention', 'cognitive', 'person', 'technology', 'patient', 'risk', 'depression']",90593166,6993.0,0.054988892742099005
 ,195, ,"['child', 'asthma', 'reading', 'pediatric', 'early', 'intervention', 'outcome', 'childhood', 'risk', 'family', 'development', 'year', 'disease', 'care', 'disorder']",121908349,10413.0,0.0410723988579084
 ,210, ,"['safety', 'ehr', 'patient', 'event', 'drug', 'error', 'electronic', 'record', 'adverse', 'medical', 'ehr data', 'information', 'ehrs', 'health record', 'adverse event']",85374428,14156.0,0.03736421042568213
 ,227, ,"['exposure', 'environmental', 'sleep', 'risk', 'mixture', 'factor', 'disease', 'cvd', 'smoking', 'effect', 'environment', 'genetic', 'science', 'disparity', 'chemical']",118580675,9727.0,0.036775715405773304
 ,40, ,"['tb', 'infection', 'disease', 'host', 'active', 'pathogen', 'progression', 'patient', 'response', 'treatment', 'signature', 'infectious', 'genotype', 'model', 'identify']",30690817,553.0,0.3585966412774756
 ,109, ,"['suicide', 'risk', 'substance use', 'substance', 'adolescent', 'attempt', 'behavior', 'assessment', 'death', 'factor', 'youth', 'risk factor', 'prevention', 'consortium', 'brain']",61322439,1872.0,0.1814769003350036
 ,258, ,"['image', 'lung', 'lung cancer', 'cancer', 'nodule', 'screening', 'image analysis', 'analysis', 'imaging', 'algorithm', 'software', 'ct', 'patient', 'disease', 'digital']",97584446,13876.0,0.027420442348439766
 ,89, ,"['cad', 'radiologist', 'detection', 'image', 'mass', 'lesion', 'diagnosis', 'nodule', 'cancer', 'pulmonary', 'breast', 'technique', 'coronary', 'interpretation', 'performance']",33602517,12623.0,0.1421011512808966
 ,52, ,"['copd', 'lung', 'pulmonary', 'disease', 'subtypes', 'chronic', 'patient', 'genetic', 'gene', 'progression', 'identify', 'asthma', 'expression', 'gene expression', 'care']",20435141,2841.0,0.29796900518352537
 ,263, ,"['tumor', 'cancer', 'imaging', 'patient', 'treatment', 'therapy', 'cell', 'image', 'tissue', 'response', 'brain', 'molecular', 'mri', 'survival', 'analysis']",113427822,15067.0,0.07053208180750752
 ,64, ,"['rna', 'splicing', 'cell', 'structure', 'human', 'sequencing', 'regulation', 'viral', 'expression', 'protein', 'cellular', 'condition', 'functional', 'function', 'line']",29781760,309.0,0.20500998647020577
 ,78, ,"['seizure', 'epilepsy', 'eeg', 'patient', 'brain', 'activity', 'recording', 'network', 'neural', 'onset', 'stimulation', 'surgery', 'detection', 'mri', 'mechanism']",36356061,377.0,0.25841802080969173
 ,936, ,"['patient', 'treatment', 'disease', 'glaucoma', 'response', 'outcome', 'model', 'kidney', 'risk', 'test', 'assessment', 'trial', 'smoking', 'phase', 'blood']",383707734,68983.0,-0.02205709112524582
 ,184, ,"['language', 'child', 'word', 'learning', 'infant', 'linguistic', 'statistical learning', 'statistical', 'acquisition', 'disorder', 'speech', 'development', 'input', 'pattern', 'mechanism']",52191247,1016.0,0.10112614465855913
 ,66, ,"['emerge', 'genomic', 'medicine', 'record', 'emr', 'iii', 'care', 'ehr', 'discovery', 'implementation', 'patient', 'electronic', 'genomics', 'network', 'practice']",47489320,8178.0,0.1647829386847709
 ,360, ,"['protein', 'structure', 'protein structure', 'sequence', 'function', 'prediction', 'structural', 'interaction', 'information', 'computational', 'molecular', 'model', 'cell', 'drug', 'approach']",111997564,45474.0,0.09418364230671313
 ,131, ,"['mass', 'spectrometry', 'peptide', 'metabolomics', 'protein', 'm', 'spectrum', 'identification', 'analysis', 'chemical', 'metabolite', 'sample', 'biomarkers', 'disease', 'proteomics']",50753576,12376.0,0.06368911517722661
 ,206, ,"['alcohol', 'facial', 'alcohol use', 'prenatal', 'exposure', 'brain', 'fetal', 'adolescent', 'disorder', 'use disorder', 'expression', 'risk', 'consortium', 'effect', 'child']",70918215,7228.0,0.10496153067965684
 ,238, ,"['visual', 'object', 'scene', 'neural', 'auditory', 'cortex', 'representation', 'stimulus', 'attention', 'brain', 'perception', 'sound', 'recognition', 'human', 'shape']",72900353,2473.0,0.05008718681699768
 ,109, ,"['shape', 'bone', 'body', 'food', 'composition', 'image', 'analysis', 'obesity', 'optical', 'computerized', 'metabolic', 'structure', 'model', 'assessment', 'disease']",35172499,3151.0,0.06183332907616625
 ,138, ,"['asd', 'autism', 'child', 'autism spectrum', 'disorder', 'spectrum disorder', 'spectrum', 'infant', 'behavioral', 'early', 'brain', 'social', 'developmental', 'connectivity', 'language']",70866615,3643.0,0.12445906911901071
 ,266, ,"['brain', 'fmri', 'connectivity', 'pd', 'functional', 'cognitive', 'neuroimaging', 'mri', 'neural', 'disorder', 'pattern', 'functional connectivity', 'network', 'individual', 'imaging']",89970314,18750.0,0.001839584851775404
 ,719, ,"['intervention', 'risk', 'training', 'patient', 'heart', 'cardiac', 'outcome', 'ards', 'disease', 'social', 'cardiovascular', 'hf', 'population', 'support', 'technology']",332925765,16102.0,-0.01776437750313053
 ,56, ,"['malaria', 'control', 'pregnancy', 'transmission', 'resistance', 'intervention', 'vector', 'child', 'infection', 'vaccine', 'disease', 'strain', 'infectious', 'population', 'collaboration']",22245588,660.0,0.3343867125010659
 ,141, ,"['cognitive', 'alzheimer', 'dementia', 'alzheimer s', 'disease', 'decline', 's disease', 'ad', 'aging', 's', 'brain', 'pathology', 'alzheimer disease', 'cognitive impairment', 'risk']",86135641,186862.0,0.015688017308510875
 ,104, ,"['infectious', 'infectious disease', 'disease', 'transmission', 'virus', 'infection', 'pathogen', 'public', 'model', 'network', 'modeling', 'public health', 'surveillance', 'population', 'control']",61615832,8142.0,0.08893920765362255
 ,417, ,"['patient', 'care', 'risk', 'decision', 'outcome', 'medical', 'hospital', 'model', 'record', 'healthcare', 'quality', 'electronic', 'support', 'health care', 'decision support']",167446809,44496.0,0.018677340118018745
 ,36, ,"['m', 'lesion', 'disease', 'patient', 'multiple', 'disability', 'ehr', 'brain', 'progression', 'mri', 'imaging', 'response', 'treatment', 'treatment response', 'diagnosis']",13158794,1335.0,0.24241268225221171
