Cluster,Size,Total,Citations,Avg. APT,95%CI L,95%CI U,Papers,Citations per million dollars of funding per year,95%CI L,95%CI U,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Topic,Category,Topic-focused/Method-focused,Centroids,%R01,%U01,%R44,%U24,%R21,%U54,,,,,,,,
63,135,47965538,7.333634174,0.413815029,0.391895233,0.435734825,865,0.152893817,6.085042894,8.582225454,717095.4094,5198779,0.181804991,0.119916147,0.243693836,0.173635984,Big data,Data types,Method,"['big', 'big data', 'datasets', 'scientist', 'bioinformatics', 'genomics', 'data analysis', 'student', 'integration', 'initiative', 'fmri', 'precision', 'neuroscience', 'world', 'biomarker']",26%,4%,4%,0%,3%,0.118518519,35,5,5,4,35 (26%),5 (4%),5 (4%),4 (3%)
60,150,60926617,6.661189625,0.405491803,0.379053783,0.431929823,610,0.109331356,5.029819787,8.292559463,12712.46262,30130458,0.527117957,0.453391063,0.600844851,0.108494717,Motion tracking and artifact reduction,Data types,Method,"['cardiac', 'heart', 'motion', 'event', 'score', 'failure', 'death', 'procedure', 'mri', 'cardiovascular', 'recording', 'flow', 'normal', 'radiation', 'shape']",51%,1%,7%,0%,9%,0,76,2,10,14,76 (51%),2 (1%),10 (7%),14 (9%)
19,220,80300898,7.609896852,0.411833953,0.389113181,0.434554725,807,0.09476727,4.937163043,10.28263066,2399258.502,5581254,0.058569397,0.03987905,0.077259744,0.076058088,Text mining,Data types,Method,"['text', 'literature', 'mining', 'natural language', 'language processing', 'access', 'search', 'report', 'content', 'annotation', 'ontology', 'extract', 'domain', 'concept', 'scientist']",60%,4%,3%,1%,4%,0,131,9,7,9,131 (60%),9 (4%),7 (3%),9 (4%)
79,193,81082336,7.493907007,0.431057082,0.417769083,0.444345082,2365,0.092423423,6.451964039,8.535849976,233705.0837,15083777,0.302887991,0.236278142,0.36949784,0.105720819,Wearable devices and mobile technology,Data types,Method,"['smoking', 'physical activity', 'physical', 'physician', 'month', 'participant', 'mobile', 'real', 'end', 'sensor', 'american', 'low', 'report', 'effectiveness', 'randomized']",48%,7%,4%,3%,12%,0,93,14,8,23,93 (48%),14 (7%),8 (4%),23 (12%)
70,296,111660265,7.424839461,0.427746077,0.416649603,0.438842551,3505,0.066494912,6.496549031,8.353129891,335764.6739,37576802,0.32261769,0.304673192,0.340562188,0.068367068,Electronic health record,Electronic health record,Topic,"['ehr', 'electronic', 'health record', 'electronic health', 'informatics', 'healthcare', 'natural language', 'clinical data', 'clinician', 'decision support', 'provider', 'language processing', 'physician', 'nlp', 'hospital']",47%,9%,1%,4%,7%,0,139,28,2,22,139 (47%),28 (9%),2 (1%),22 (7%)
20,114,52974185,7.134865288,0.406179775,0.371570515,0.440789036,356,0.134685702,4.666028025,9.603702551,240362.4198,13483979,0.271930721,0.152330183,0.391531259,0.166156199,Diabetes,Endocrine,Topic,"['diabetes', 'chronic', 'physical activity', 'clinical trial', 'achieve', 'american', 'decision support', 'consortium', 'prevention', 'body', 'people', 'blood', 'physical', 'aid', 'risk factor']",41%,11%,2%,0%,9%,0.026315789,47,13,2,10,47 (41%),13 (11%),2 (2%),10 (9%)
67,99,38200998,5.608153908,0.424126984,0.387675526,0.460578442,315,0.146806476,4.370096584,6.846211231,720188.9503,6480625,0.138547163,0.102287891,0.174806435,0.164757253,Metabolic syndrome and metabolic processes,Endocrine,Topic,"['metabolic', 'syndrome', 'mass', 'host', 'physical', 'cardiovascular', 'spectrum', 'compound', 'targeted', 'trait', 'signature', 'age', 'resolution', 'physical activity', 'collaboration']",64%,8%,2%,0%,3%,0,63,8,2,3,63 (64%),8 (8%),2 (2%),3 (3%)
24,203,88913320,7.228519666,0.434512987,0.422701017,0.446324957,3080,0.081298501,6.266846232,8.1901931,644012.2007,27118701,0.238658919,0.212392858,0.26492498,0.119627802,Environmental health,Environmental health,Topic,"['exposure', 'environmental', 'chemical', 'risk factor', 'career', 'child', 'period', 'mouse', 'animal', 'prevention', 'dna', 'estimate', 'cardiovascular', 'developmental', 'social']",52%,2%,0%,0%,9%,0,105,4,1,19,105 (52%),4 (2%),1 (0%),19 (9%)
41,236,117453892,6.778937746,0.440307487,0.423546246,0.457068728,1496,0.057715735,5.965504429,7.592371062,1651366.062,31903821,0.185227144,0.147177604,0.223276685,0.152948885,Clinically significant genetic variation,Genetics,Method,"['variant', 'variation', 'sequencing', 'trait', 'genetics', 'causal', 'mutation', 'dna', 'genomics', 'regulatory', 'statistical method', 'interpretation', 'gene expression', 'mapping', 'influence']",54%,16%,0%,0%,2%,0.008474576,127,37,1,4,127 (54%),37 (16%),1 (0%),4 (2%)
1,129,73961475,8.003942157,0.428806584,0.403924273,0.453688896,729,0.10821772,5.581453358,10.42643096,518577.2708,12439438,0.218113046,0.137699293,0.298526799,0.087510698,Familial genetics,Genetics,Method,"['family', 'genomics', 'implementation', 'child', 'communication', 'susceptibility', 'environmental', 'syndrome', 'history', 'implement', 'prevention', 'domain', 'dna', 'service', 'long']",47%,22%,2%,7%,0%,0,61,28,3,0,61 (47%),28 (22%),3 (2%),0 (0%)
48,162,56859122,5.906456305,0.400216216,0.378924465,0.421507968,925,0.103878781,5.053590742,6.759321868,562739.5896,10949710,0.20677196,0.167477657,0.246066262,0.194675417,Functional mutations,Genetics,Method,"['mutation', 'variant', 'regulatory', 'dna', 'cellular', 'consequence', 'binding', 'sequencing', 'gene expression', 'regulation', 'computational method', 'variation', 'candidate', 'genomics', 'aid']",55%,10%,2%,0%,6%,0,89,16,3,9,89 (55%),16 (10%),3 (2%),9 (6%)
14,166,61918552,7.618239644,0.410404381,0.391804395,0.429004367,1187,0.123036463,5.770077648,9.466401639,291183.3698,11546487,0.26468304,0.222657128,0.306708952,0.051761776,Gene mapping,Genetics,Method,"['mapping', 'trait', 'genetics', 'map', 'variant', 'marker', 'variation', 'powerful', 'sequencing', 'score', 'power', 'size', 'statistical method', 'physical', 'involved']",61%,4%,1%,0%,5%,0,101,6,2,8,101 (61%),6 (4%),2 (1%),8 (5%)
77,246,105378437,7.736346179,0.424324324,0.408136243,0.440512406,1591,0.073414888,6.134430739,9.33826162,2516290.065,11894168,0.098445464,0.080531607,0.116359322,0.099901341,Molecular genetics,Genetics,Method,"['dna', 'sequencing', 'gene expression', 'binding', 'specie', 'tumor', 'site', 'profile', 'global', 'progression', 'variation', 'stage', 'base', 'regulatory', 'derived']",49%,5%,7%,0%,6%,0.028455285,120,12,16,15,120 (49%),12 (5%),16 (7%),15 (6%)
54,167,60846677,7.323997957,0.400645161,0.374156188,0.427134135,620,0.120368084,4.958268626,9.689727287,1063952.609,28999941,0.143883318,0.099609401,0.188157236,0.086874165,Mouse modeling,Genetics,Method,"['mouse', 'gene expression', 'animal', 'shape', 'candidate', 'normal', 'dna', 'profile', 'resolution', 'vivo', 'neuron', 'susceptibility', 'assay', 'motion', 'chronic']",51%,6%,3%,0%,11%,0,85,10,5,19,85 (51%),10 (6%),5 (3%),19 (11%)
66,130,76684671,8.88586995,0.463133641,0.443215274,0.483052007,1085,0.115875439,6.674689849,11.09705005,2397573.581,806348,0.054328758,0.003596891,0.105060625,0.153222429,Population genetics,Genetics,Method,"['snp', 'susceptibility', 'variant', 'gene expression', 'dna', 'candidate', 'american', 'environmental', 'inference', 'wide', 'variation', 'selection', 'age', 'cardiovascular', 'characterization']",68%,7%,4%,3%,5%,0,89,9,5,6,89 (68%),9 (7%),5 (4%),6 (5%)
26,280,134538181,5.689317563,0.425292284,0.407180464,0.443404103,1283,0.042287754,5.011730926,6.3669042,1868586.647,32769648,0.176527626,0.154027461,0.199027792,0.061661555,Regulatory genetics,Genetics,Method,"['regulatory', 'regulation', 'gene expression', 'element', 'cellular', 'dna', 'cell type', 'variant', 'binding', 'variation', 'normal', 'datasets', 'organization', 'assay', 'sequencing']",66%,7%,1%,2%,1%,0,184,20,4,4,184 (66%),20 (7%),4 (1%),4 (1%)
44,116,44787478,8.552491948,0.442615012,0.409861147,0.475368878,413,0.190957212,6.74525632,10.35972758,669840.4681,12589609,0.164718326,0.142245191,0.18719146,0.228216702,RNA analysis,Genetics,Method,"['rna', 'sequencing', 'element', 'long', 'regulatory', 'regulation', 'cellular', 'binding', 'mapping', 'generation', 'dna', 'molecule', 'recognition', 'comparison', 'example']",49%,0%,5%,3%,8%,0.060344828,57,0,6,9,57 (49%),0 (0%),6 (5%),9 (8%)
43,123,39489735,6.652643653,0.429619565,0.395110926,0.464128204,368,0.168465138,5.097552059,8.207735248,774664.9929,10719324,0.130908925,0.098480829,0.16333702,0.21125191,Liver disease,Hepatic,Topic,"['liver', 'injury', 'stage', 'mouse', 'biomarker', 'radiation', 'activation', 'motion', 'tumor', 'alcohol', 'survival', 'chronic', 'early detection', 'signature', 'biopsy']",53%,20%,0%,0%,7%,0,65,24,0,9,65 (53%),24 (20%),0 (0%),9 (7%)
9,243,115512623,7.91146784,0.418577277,0.397470845,0.43968371,977,0.068490072,6.0771253,9.74581038,803324.1912,23780336,0.23625149,0.20750768,0.264995299,0.239606005,HIV,Infectious disease/Immunologic,Topic,"['hiv', 'infection', 'prevention', 'aid', 'resistance', 'woman', 'participant', 'social', 'substance', 'impairment', 'person', 'site', 'dna', 'people', 'efficacy']",42%,5%,2%,0%,11%,0,102,13,4,27,102 (42%),13 (5%),4 (2%),27 (11%)
10,170,100119427,5.916824788,0.414339152,0.391045141,0.437633163,802,0.059097669,5.04440851,6.789241065,514545.0985,33795421,0.27897966,0.21337356,0.34458576,0.072121036,Immunology,Infectious disease/Immunologic,Topic,"['immune', 'host', 'infection', 'receptor', 'blood', 'signaling', 'adaptive', 'adverse', 'regulatory', 'signature', 'monitoring', 'assay', 'resistance', 'profile', 'event']",39%,7%,2%,1%,8%,0.017647059,67,12,4,13,67 (39%),12 (7%),4 (2%),13 (8%)
22,242,102079866,6.812420208,0.411324978,0.39194575,0.430704205,1117,0.066736179,5.741826137,7.883014279,72906.70467,40791006,0.438249348,0.41304837,0.463450326,0.088242998,Other infectious disease,Infectious disease/Immunologic,Topic,"['infection', 'host', 'resistance', 'immune', 'hospital', 'assay', 'blood', 'candidate', 'rapid', 'people', 'death', 'specie', 'global', 'severe', 'healthcare']",34%,8%,1%,0%,14%,0.004132231,83,20,2,35,83 (34%),20 (8%),2 (1%),35 (14%)
59,159,82210223,8.004038982,0.404439252,0.37222154,0.436656964,428,0.097360629,4.359239287,11.64883868,904454.403,17228276,0.196223416,0.144464511,0.247982322,0.075044359,Trauma,Injuries/trauma,Topic,"['injury', 'recovery', 'acute', 'neurological', 'motor', 'translational', 'death', 'disability', 'loss', 'blood', 'mri', 'syndrome', 'people', 'correlate', 'physiological']",47%,5%,2%,0%,16%,0,75,8,3,25,75 (47%),8 (5%),3 (2%),25 (16%)
46,144,181240503,6.827015175,0.426427033,0.41892883,0.433925235,7428,0.037668264,6.312781204,7.341249146,2159350.114,25889725,0.188624708,0.125970436,0.25127898,0.085026927,Centers for translational and computational research,Knowledge frameworks,Method,"['core', 'informatics', 'infrastructure', 'continue', 'consortium', 'neuroscience', 'service', 'collaborative', 'bioinformatics', 'access', 'domain', 'alcohol', 'capability', 'genetics', 'scientist']",12%,9%,1%,7%,1%,0.118055556,17,13,1,2,17 (12%),13 (9%),1 (1%),2 (1%)
5,76,17647037,5.207881294,0.395426829,0.346082047,0.444771611,164,0.295113638,3.488016907,6.927745681,436876.3226,9377961,0.093701319,0.062226287,0.125176351,0.036616594,Intelligent search engines and data visualization,Knowledge frameworks,Method,"['scientist', 'learn', 'building', 'genomics', 'generated', 'bioinformatics', 'size', 'data set', 'engineering', 'career', 'step', 'rapidly', 'aspect', 'heterogeneity', 'inference']",37%,4%,1%,5%,1%,0,28,3,1,1,28 (37%),3 (4%),1 (1%),1 (1%)
50,176,61076599,6.085492814,0.37321883,0.350775549,0.39566211,786,0.099637061,3.556809105,8.614176522,1440.777364,6873896,0.606735003,0.025050137,1.188419869,0.063824307,Knowledge bases,Knowledge frameworks,Method,"['base', 'representation', 'artificial intelligence', 'intelligence', 'artificial', 'interface', 'domain', 'aid', 'capability', 'continue', 'collaborative', 'national', 'interpretation', 'access', 'variation']",35%,7%,1%,0%,2%,0,61,12,2,4,61 (35%),12 (7%),2 (1%),4 (2%)
30,122,37427050,6.800444351,0.412871287,0.388415451,0.437327123,707,0.181698647,5.345364361,8.255524341,12532.28823,11016786,0.460650118,0.304221611,0.617078625,0.07422558,Knowledge representation and reasoning,Knowledge frameworks,Method,"['representation', 'concept', 'cortex', 'world', 'theory', 'action', 'issue', 'basic', 'temporal', 'memory', 'planning', 'visual', 'fmri', 'neuroscience', 'domain']",66%,0%,3%,0%,4%,0,80,0,4,5,80 (66%),0 (0%),4 (3%),5 (4%)
53,76,25836844,6.142201465,0.418067227,0.374218332,0.461916122,238,0.237730331,4.834389314,7.450013617,678796.1869,2475046,0.098834093,0.052455353,0.145212833,0.211757303,Literature review,Knowledge frameworks,Method,"['review', 'systematic', 'literature', 'annotation', 'text', 'screening', 'alternative', 'automatically', 'validation', 'best', 'wa', 'necessary', 'clinical trial', 'report', 'able']",45%,0%,0%,0%,7%,0,34,0,0,5,34 (45%),0 (0%),0 (0%),5 (7%)
69,99,64277669,5.880576921,0.43637218,0.408602566,0.464141795,532,0.091487091,4.713152918,7.048000925,1912453.26,4707831,0.075321215,0.028479413,0.122163018,0.311590253,Ontology generation,Knowledge frameworks,Method,"['ontology', 'annotation', 'integration', 'representation', 'infrastructure', 'scientist', 'collaborative', 'national', 'term', 'informatics', 'consortium', 'context', 'data set', 'essential', 'domain']",60%,4%,5%,0%,2%,0.04040404,59,4,5,2,59 (60%),4 (4%),5 (5%),2 (2%)
8,92,34799976,7.95406663,0.456687898,0.420340311,0.493035485,314,0.228565291,4.559636209,11.34849705,262503.9318,15372488,0.231653501,0.191539063,0.271767939,0.108413915,Interpersonal communication technologies,Language and communication,Topic,"['communication', 'interface', 'speech', 'impairment', 'device', 'motor', 'cortex', 'people', 'clinician', 'provider', 'access', 'severe', 'participant', 'increasing', 'clinical trial']",53%,5%,4%,0%,5%,0,49,5,4,5,49 (53%),5 (5%),4 (4%),5 (5%)
4,271,108380111,6.196750666,0.4125,0.38690207,0.43809793,636,0.057176087,4.611812768,7.781688564,758332.5789,25885856,0.234193283,0.188161865,0.2802247,0.101108358,Language development and reading comprehension,Language and communication,Topic,"['child', 'age', 'developmental', 'impairment', 'acquisition', 'autism', 'young', 'pediatric', 'symptom', 'deficit', 'artificial', 'social', 'family', 'skill', 'mobile']",59%,5%,4%,0%,8%,0,159,14,10,21,159 (59%),14 (5%),10 (4%),21 (8%)
36,212,84674749,6.564016329,0.414983498,0.398182192,0.431784805,1515,0.077520352,5.813605614,7.314427044,457248.2529,35169862,0.269968002,0.246962026,0.292973979,0.102846519,Social media and social behavior,Language and communication,Topic,"['social', 'access', 'young', 'influence', 'substance', 'mobile', 'content', 'status', 'prevention', 'animal', 'emerging', 'national', 'mining', 'hospital', 'skill']",57%,3%,2%,0%,8%,0,121,6,5,18,121 (57%),6 (3%),5 (2%),18 (8%)
78,210,66336577,6.367952099,0.409724349,0.38471698,0.434731718,653,0.095994584,4.991868296,7.744035902,968769.4919,9535523,0.160613913,0.137020634,0.184207192,0.23863239,Speech,Language and communication,Topic,"['speech', 'motor', 'communication', 'impairment', 'representation', 'recognition', 'movement', 'child', 'device', 'normal', 'spectrum', 'error', 'progress', 'shape', 'person']",64%,3%,5%,0%,7%,0,134,7,10,14,134 (64%),7 (3%),10 (5%),14 (7%)
31,155,63322086,7.398025996,0.39503386,0.363787959,0.426279762,443,0.116831685,2.710412457,12.08563953,641959.9501,13318002,0.209735092,0.184116495,0.235353689,0.099802509,Adolescent psychiatry,Mental health,Topic,"['adolescent', 'substance', 'youth', 'mobile', 'symptom', 'child', 'alcohol', 'prevention', 'difference', 'consortium', 'developmental', 'career', 'family', 'social', 'skill']",32%,10%,3%,6%,8%,0,49,16,5,12,49 (32%),16 (10%),5 (3%),12 (8%)
17,218,86802222,6.833130958,0.392506245,0.373585941,0.411426549,1201,0.078720692,4.941210505,8.725051411,1329843.986,16401144,0.162823588,0.135150975,0.190496202,0.19150817,Alcohol use,Mental health,Topic,"['alcohol', 'exposure', 'child', 'spectrum', 'consortium', 'deficit', 'adolescent', 'youth', 'core', 'feedback', 'period', 'month', 'substance', 'prevention', 'site']",32%,24%,0%,6%,7%,0,70,53,0,15,70 (32%),53 (24%),0 (0%),15 (7%)
11,192,97331715,7.626646421,0.442679356,0.41837138,0.466987331,683,0.078357259,5.356581566,9.896711277,1015812.702,19465912,0.20720002,0.179112634,0.235287407,0.235964124,Autism spectrum disorder,Mental health,Topic,"['asd', 'autism', 'child', 'connectivity', 'spectrum', 'social', 'developmental', 'infant', 'impairment', 'deficit', 'heterogeneity', 'core', 'mri', 'communication', 'longitudinal']",48%,2%,6%,0%,9%,0,92,3,11,17,92 (48%),3 (2%),11 (6%),17 (9%)
38,104,45168514,7.492462974,0.417729084,0.375635341,0.459822826,251,0.165878005,5.506099868,9.478826079,8084.226963,14602382,0.529937211,0.411657454,0.648216967,0.184575346,Depression,Mental health,Topic,"['depression', 'symptom', 'circuit', 'personalized', 'mobile', 'fmri', 'sensor', 'negative', 'positive', 'construct', 'mental', 'participant', 'adolescent', 'collected', 'mental health']",41%,8%,6%,0%,9%,0,43,8,6,9,43 (41%),8 (8%),6 (6%),9 (9%)
33,164,53656918,7.069064892,0.423591549,0.396651969,0.450531129,568,0.131745638,5.091695091,9.046434693,631161.8152,13148990,0.195963846,0.174351845,0.217575848,0.164414721,Other child development,Mental health,Topic,"['infant', 'child', 'developmental', 'speech', 'acquisition', 'growth', 'learn', 'age', 'input', 'month', 'deficit', 'social', 'stress', 'mri', 'exposure']",46%,4%,1%,0%,5%,0,75,7,1,9,75 (46%),7 (4%),1 (1%),9 (5%)
0,148,79154534,7.661855641,0.423109966,0.395624792,0.450595139,582,0.096796169,5.802448377,9.521262906,138069.0601,28014560,0.369390243,0.326220837,0.412559648,0.126162183,Other mental health,Mental health,Topic,"['mental', 'mental health', 'illness', 'psychiatric', 'depression', 'neuroscience', 'symptom', 'social', 'variation', 'environmental', 'schizophrenia', 'neuroimaging', 'variable', 'influence', 'child']",37%,3%,4%,0%,3%,0,55,4,6,5,55 (37%),4 (3%),6 (4%),5 (3%)
45,188,145739494,7.772317698,0.418181818,0.390303996,0.44605964,539,0.053330209,5.931569022,9.613066374,270005.856,21163009,0.365338983,0.179612223,0.551065743,0.414144011,Pain,Mental health,Topic,"['pain', 'chronic', 'acute', 'syndrome', 'low', 'woman', 'symptom', 'influence', 'collaboration', 'surgery', 'sensitivity', 'substance', 'hypothesize', 'award', 'physiological']",52%,0%,2%,1%,9%,0.010638298,97,0,4,17,97 (52%),0 (0%),4 (2%),17 (9%)
18,113,36596467,6.889244884,0.433069307,0.412689315,0.453449299,1010,0.188248906,5.650626483,8.127863285,920056.898,7301145,0.099524308,0.044334788,0.154713828,0.164205909,Schizophrenia,Mental health,Topic,"['schizophrenia', 'deficit', 'illness', 'abnormality', 'symptom', 'fmri', 'temporal', 'psychiatric', 'paradigm', 'mental', 'dysfunction', 'neuroimaging', 'candidate', 'cortex', 'connectivity']",50%,4%,0%,0%,14%,0,57,4,0,16,57 (50%),4 (4%),0 (0%),16 (14%)
55,79,40633475,5.478450934,0.369019139,0.338367323,0.399670954,418,0.13482605,4.445879829,6.511022039,2703.403987,18000924,0.618021763,0.497614119,0.738429407,0.454543062,Suicidality,Mental health,Topic,"['suicide', 'death', 'risk factor', 'prevention', 'youth', 'adolescent', 'predictor', 'ehr', 'psychiatric', 'mental', 'health care', 'prior', 'setting', 'healthcare', 'social']",53%,4%,4%,0%,6%,0,42,3,3,5,42 (53%),3 (4%),3 (4%),5 (6%)
6,221,72890312,5.90432961,0.415923984,0.392093723,0.439754246,763,0.081002941,5.014856181,6.793803039,12595.49322,37698504,0.545144344,0.490184702,0.600103986,0.04406588,Deep learning,Model types,Method,"['lesion', 'deep', 'deep learning', 'mri', 'progression', 'biopsy', 'interpretation', 'digital', 'neural network', 'classification', 'pathology', 'learning algorithm', 'learn', 'longitudinal', 'learning method']",44%,4%,6%,0%,16%,0,98,9,13,35,98 (44%),9 (4%),13 (6%),35 (16%)
68,121,48501377,5.399175396,0.434757506,0.404408771,0.46510624,433,0.111320043,4.559307072,6.239043719,1141047.311,7734555,0.114093462,0.100532444,0.12765448,0.193388977,Natural language processing,Model types,Method,"['nlp', 'text', 'natural language', 'language processing', 'electronic', 'extract', 'report', 'domain', 'setting', 'translational', 'informatics', 'health record', 'decision support', 'electronic health', 'automatically']",56%,7%,1%,0%,10%,0,68,9,1,12,68 (56%),9 (7%),1 (1%),12 (10%)
61,131,30318414,8.63555108,0.390070093,0.359644617,0.42049557,428,0.284828589,3.625455233,13.64564693,792023.456,2289618,0.082356926,0.054113162,0.110600689,0.083758417,Unspecified classification models,Model types,Method,"['classification', 'neural network', 'criterion', 'family', 'implement', 'variable', 'domain', 'procedure', 'data set', 'predicting', 'datasets', 'selection', 'statistical method', 'annotation', 'traditional']",48%,1%,8%,0%,8%,0,63,1,10,10,63 (48%),1 (1%),10 (8%),10 (8%)
37,1708,748637930,7.255755565,0.424298359,0.417524254,0.431072465,9264,0.009691942,6.703796563,7.807714567,14009690.91,139320279,0.138326728,0.121739151,0.154914306,-0.044794826,N/A,N/A,N/A,"['cellular', 'integration', 'genomics', 'datasets', 'efficient', 'sequencing', 'specie', 'access', 'inference', 'data set', 'interface', 'gene expression', 'bioinformatics', 'property', 'scale']",50%,4%,4%,1%,5%,0.014051522,862,63,64,84,862 (50%),63 (4%),64 (4%),84 (5%)
39,792,347000443,6.689707946,0.399835976,0.392177935,0.407494017,7316,0.019278673,6.191573892,7.187842,57337.20241,120655858,0.521798749,0.382156199,0.661441299,-0.034610509,N/A,N/A,N/A,"['physician', 'clinician', 'intelligence', 'healthcare', 'guideline', 'artificial intelligence', 'artificial', 'national', 'hospital', 'implementation', 'service', 'informatics', 'decision support', 'health care', 'access']",32%,2%,6%,2%,6%,0.011363636,256,19,46,45,256 (32%),19 (2%),46 (6%),45 (6%)
73,641,211224847,6.937367153,0.413595056,0.401175695,0.426014418,2751,0.032843518,5.828594591,8.046139714,74210.7419,84406671,0.470687867,0.394110964,0.54726477,-0.026290481,N/A,N/A,N/A,"['resolution', 'spatial', 'simulation', 'flow', 'motion', 'mri', 'map', 'fmri', 'radiation', 'shape', 'neuroscience', 'planning', 'parameter', 'acquisition', 'activation']",59%,1%,3%,1%,9%,0,381,4,17,55,381 (59%),4 (1%),17 (3%),55 (9%)
