Description,Title,Activity,Organization,Year
Big data,Fisk University/UIUC-Mayo KnowENG BD2K Center R25 Partnership,R25,FISK UNIVERSITY,2019
Big data,Administrative Supplement Request for Transforming Analytical Learning in the Era of Big Data,R25,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2016
Big data,Developing Cloud-based tools for Big Neural Data,K01,UNIVERSITY OF PENNSYLVANIA,2015
Big data,Summer Institute for Statistics of Big Data,R25,UNIVERSITY OF WASHINGTON,2016
Breast cancer,Epidemiology of Molecular Risk Factors for Breast Cancer,R01,VANDERBILT UNIVERSITY,2011
Breast cancer,HYPERMEDIA INTELLIGENT BREAST CANCER INFORMATION SYSTEM,R43,SYUKHTUN RESEARCH,1994
Breast cancer,Integrative subtyping to improve therapeutic options for metastatic hormone receptor-positive breast cancer,K08,STANFORD UNIVERSITY,2020
Breast cancer,Breast Cancer Risk Assessment with Bayesian Networks,R03,BRIGHAM AND WOMEN'S HOSPITAL,2003
Breast cancer,Background parenchymal uptake (BPU) on molecular breast imaging as a novel breast cancer risk factor,R21,MAYO CLINIC ROCHESTER,2016
Cardiovascular disease,Health Information Technology in Heart Failure Care,K08,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2017
Cardiovascular disease,Advanced Heart Failure: Epidemiology and Outcomes,R01,MAYO CLINIC ROCHESTER,2020
Cardiovascular disease,Dynamic prediction of heart failure using real-time functional status and EHR data in the ambulatory setting,K23,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2020
Cardiovascular disease,Integrated RF and B-mode Deformation Analysis for 4D Stress Echocardiography,R01,YALE UNIVERSITY,2016
Cardiovascular disease,A PROGRAM FOR THE MANAGEMENT OF HEART FAILURE,R01,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1988
Cell signaling pathways,Structure and Affinity: Computing FABP-Lipid Selectivity,R01,JOHNS HOPKINS UNIVERSITY,2006
Cell signaling pathways,Data-Driven Approaches for Molecular Docking,R01,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2013
Cell signaling pathways,Quantitative Modeling of Transcription Factor-DNA Binding,R35,UNIVERSITY OF SOUTHERN CALIFORNIA,2020
Cell signaling pathways,Algorithmic identification of binding specificity mechanisms in proteins,R01,LEHIGH UNIVERSITY,2020
Cell signaling pathways,Metal binding sites in macromolecular structures,R01,UNIVERSITY OF VIRGINIA,2019
Centers for translational and computational research,Nathan Shock Center of Excellence in Basic Biology of Aging,P30,UNIVERSITY OF WASHINGTON,2020
Centers for translational and computational research,Phase III COBRE:  Multimodal Imaging of Neuropsychiatric Disorders (MIND),P30,THE MIND RESEARCH NETWORK,2019
Centers for translational and computational research,NIDA Center of Excellence OF Computational Drug Abuse Research (CDAR),P30,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2018
Centers for translational and computational research,Natural Product-Drug Interaction Research: The Roadmap to Best Practices,U54,WASHINGTON STATE UNIVERSITY,2018
Centers for translational and computational research,Texas Gene Array Core,U01,"UNIVERSITY OF TEXAS, AUSTIN",2010
Clinically significant genetic variation,Comprehensive Characterization of Missense Mutants in Factor IX,R01,BLOODWORKS,2020
Clinically significant genetic variation,Regulation of mRNA splicing by intronic genetic variants,R01,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2018
Clinically significant genetic variation,Discovering Novel Structural Genomic Rearrangements Using Deep Neural Networks,F31,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2020
Clinically significant genetic variation,Micropublications for Automating Genome Sequence Variant Interpretation from Medical Literature,R43,"GENOMENON, INC.",2019
Clinically significant genetic variation,Decrypting Variants of Uncertain Significance in Long-QT Syndrome,R01,NORTHWESTERN UNIVERSITY AT CHICAGO,2020
Deep learning,Distributed Learning of Deep Learning Models for Cancer Research,U01,STANFORD UNIVERSITY,2020
Deep learning,Learning to learn in structural biology with deep neural networks,R35,UNIVERSITY OF ROCHESTER,2020
Deep learning,Deep LOGISMOS,R01,UNIVERSITY OF IOWA,2020
Deep learning,Protected Radiomics Analysis Commons for Deep Learning in Biomedical Discovery,S10,UNIVERSITY OF CHICAGO,2018
Deep learning,Can machines be trusted? Robustification of deep learning for medical imaging,R01,UNIVERSITY OF WISCONSIN-MADISON,2020
Depression,Distributed networks underlying depression in epilepsy: a computational circuit-based approach to biomarker development,K23,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2020
Depression,An Expert System to Reduce Depression in Primary Care,R44,"PRO-CHANGE BEHAVIOR SYSTEMS, INC.",2004
Depression,Biosignatures of Treatment Remission in Major Depression,U01,COLUMBIA UNIVERSITY HEALTH SCIENCES,2015
Depression,SPIMA: Signal Processing for Individualized Mood Assessment,R43,"DIMAGI, INC.",2007
Depression,Building Multistage Treatment Regimens for Depression after Acute Coronary SyndromeSyndrome,R21,COLUMBIA UNIVERSITY HEALTH SCIENCES,2017
Diabetes,"Detecting, Understanding, and Reducing Diabetes Belt Preventive Care Disparities",R01,UNIVERSITY OF VIRGINIA,2020
Diabetes,Validation of Survey Questions to Distinguish Type 1 and Type 2 Diabetes Among Adults With Diabetes,U01,"WESTAT, INC.",2018
Diabetes,Southern California Clinical Center of the Type 1 Diabetes in Acute Pancreatitis Consortium,U01,CEDARS-SINAI MEDICAL CENTER,2020
Diabetes,"Clinical, Radiologic and Biochemical Factors Related to Diabetes Development after Acute Pancreatitis",U01,JOHNS HOPKINS UNIVERSITY,2020
Diabetes,Multi-institutional Consortium for CER in Diabetes Treatment and Prevention,R01,KAISER FOUNDATION RESEARCH INSTITUTE,2010
Drug discovery,Predictive Guidelines for Penetrance and Discovery of Broad-Spectrum Antibiotics,R01,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,2019
Drug discovery,Rules for penetrating the Gram-negative bacterial envelope,R56,UNIVERSITY OF KENTUCKY,2018
Drug discovery,West Coast Metabolomics Center for Compound Identification,U2C,UNIVERSITY OF CALIFORNIA AT DAVIS,2020
Drug discovery,MegaTrans – human transporter machine learning models,R41,"COLLABORATIONS PHARMACEUTICALS, INC.",2019
Drug discovery,Development of a Biocatalytic Platform for Convergent Synthesis of Chiral Amines,R01,CALIFORNIA INSTITUTE OF TECHNOLOGY,2020
EEG,Epileptic Seizures in the Neonatal EEG,R01,UNIVERSITY OF HOUSTON,2004
EEG,Wireless EEG/PSG System with Novel Artifact Removal,R43,"CLEVELAND MEDICAL DEVICES, INC.",2004
EEG,MULTICHANNEL EEG DATA COMPRESSION,R01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2001
EEG,CLUSTERING AND HYPER-LINKING OF LONG-TERM EEGS,R44,PERSYST DEVELOPMENT CORPORATION,2000
EEG,Automatic  discovery and processing of EEG cohorts from clinical records,U01,TEMPLE UNIV OF THE COMMONWEALTH,2017
Electronic health record,National Infrastructure for Standardized and Portable EHR Phenotyping Algorithms,R01,WEILL MEDICAL COLL OF CORNELL UNIV,2019
Electronic health record,From enrichment to insights,R01,STANFORD UNIVERSITY,2020
Electronic health record,Algorithms to Identify Systemic Lupus from Electronic Health Record Data,R21,NORTHWESTERN UNIVERSITY AT CHICAGO,2018
Electronic health record,Integrating EHR and Genomics to Predict Multiple Sclerosis Drug Response,R01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2020
Electronic health record,"Biases introduced by filtering electronic health records for patients with ""complete data""",R01,HARVARD MEDICAL SCHOOL,2020
Environmental health,Cardiovascular health and exposure to PM2.5 constituents: a multi-cohort study,R01,EMORY UNIVERSITY,2020
Environmental health,"Environment, Metabolomics, and PD",R21,UNIVERSITY OF CALIFORNIA LOS ANGELES,2020
Environmental health,Biomarkers and Genes Associated with Placental Development and Function in Response to Environmental Pollution,R01,UNIVERSITY OF CALIFORNIA LOS ANGELES,2020
Environmental health,The Impact of Air Pollution Exposure on COVID-19 Severity and Mortality,R01,KAISER FOUNDATION RESEARCH INSTITUTE,2020
Environmental health,Prenatal Exposure to Pesticide Mixtures and Childhood ADHD,R00,UNIVERSITY OF ARIZONA,2020
Familial genetics,METHODS FOR FUNCTIONAL/COMPARATIVE GENOMICS,R01,IOWA STATE UNIVERSITY,2003
Familial genetics,"NIDA STRENGTHENING WASHINGTON, DC FAMILIES GRANT",R01,UNIVERSITY OF UTAH,2004
Familial genetics,"Linking Information, Families and Technology (LIFT)",R43,"KIT SOLUTIONS, INC.",2005
Familial genetics,"The Electronic Medical Records and Genomics (eMERGE) Network, Phase III",U01,KAISER FOUNDATION RESEARCH INSTITUTE,2019
Familial genetics,Strengthening Families Program Online Web Version for Teens,R43,"STRENGTHENING FAMILIES PROGRAM, LLC",2018
Functional mutations,Tracing the evolution of the human mutation rate,F32,STANFORD UNIVERSITY,2017
Functional mutations,A statistical framework to systematically characterize cancer driver mutations in noncoding genomic regions,R21,DANA-FARBER CANCER INST,2020
Functional mutations,Modeling of Protein Complexes and Missense Mutations,R01,RESEARCH INST OF FOX CHASE CAN CTR,2009
Functional mutations,Massively parallel functional analyses of human PTEN variants,F31,OREGON HEALTH & SCIENCE UNIVERSITY,2019
Functional mutations,Informatics Tools for High-throughput Analysis of Cancer Mutations,U01,JOHNS HOPKINS UNIVERSITY,2015
Gene mapping,INTELLIGENT AUTOMATED RESTRICTION MAPPING TOOL,R01,UNIVERSITY OF ILLINOIS AT CHICAGO,1995
Gene mapping,Methods for Human Genetic Mapping,R01,UNIVERSITY OF CHICAGO,2012
Gene mapping,Enhanced Gene Identification in Complex Traits Using Kernel Machines,R01,EMORY UNIVERSITY,2015
Gene mapping,LLSF MAPPING FOR INDEXING AND RETRIEVAL OF MEDLINE,R29,CARNEGIE-MELLON UNIVERSITY,1999
Gene mapping,Functional Data Analysis of Longitudinally Measured Genetic Traits.,R03,COLUMBIA UNIVERSITY HEALTH SCIENCES,2010
HIV,Big Data analytics of HIV treatment gaps in South Carolina: Identification and prediction,R01,UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,2020
HIV,Developing an artificial intelligence-based mHealth intervention to increase HIV testing in Malaysia,R21,YALE UNIVERSITY,2020
HIV,Determinants of voluntary HIV testing among inmates,F30,UNIV OF NORTH CAROLINA CHAPEL HILL,2009
HIV,Developing an Artificial Intelligence Chatbot to Promote HIV Testing,R21,YALE UNIVERSITY,2020
HIV,Addressing Major HIV Prevention and Health Outcomes Questions in an Era of Universal ART: Mentoring in a Community-Randomized Trial,K24,BRIGHAM AND WOMEN'S HOSPITAL,2019
Immunology,Machine Learning for Integrative Modeling of the Immune System in Clinical Settings,R35,STANFORD UNIVERSITY,2020
Immunology,SIMULATION MODELING OF THE IMMUNE SYSTEM,R43,"D.D.G., INC.",1988
Immunology,Immune cells and STAT3-mediated inflammation in calcific aortic valve disease,F30,VANDERBILT UNIVERSITY,2020
Immunology,Systems-level identification of key regulators deciding immune cell state,R01,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2020
Immunology,Comprehensive analysis of human adaptive immune receptors to elucidate correlates of Epstein-Barr virus disease suppression,DP5,UNIVERSITY OF KANSAS LAWRENCE,2020
Intelligent search engines and data visualization,Continued Maintenance and Development of Software: Integrated Genome Browser and,R01,UNIVERSITY OF NORTH CAROLINA CHARLOTTE,2012
Intelligent search engines and data visualization,INTELLIGENT BIOMEDICAL ASSISTANT,R01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1991
Intelligent search engines and data visualization,Visual Data Extraction and Conversion Programming Tool,R33,IOWA STATE UNIVERSITY,2005
Intelligent search engines and data visualization,Evidence Extraction Systems for the Molecular Interaction Literature,R01,UNIVERSITY OF SOUTHERN CALIFORNIA,2020
Intelligent search engines and data visualization,Bayesian Statistics and Algorithms for Homology Modeling,R01,INSTITUTE FOR CANCER RESEARCH,2006
Interpersonal communication technologies,TOPIC PREDICTION FOR AUGMENTATIVE COMMUNICATION SYSTEMS,R43,"INVOTEK, INC.",1999
Interpersonal communication technologies,Automated Coding of eCoaching Exchanges to Promote Healthier Eating,R21,WAYNE STATE UNIVERSITY,2017
Interpersonal communication technologies,Communication Ability and Work Re-Entry in Adults with Brain Injury,F31,UNIVERSITY OF WISCONSIN-MADISON,2012
Interpersonal communication technologies,Translational refinement of adaptive communication system for locked-in patients,R01,OREGON HEALTH & SCIENCE UNIVERSITY,2013
Interpersonal communication technologies,Ethical Considerations for Language Modeling within Brain-Computer Interfaces,R01,OREGON HEALTH & SCIENCE UNIVERSITY,2019
Kidney disease,Novel Pathways for Kidney Stone Formation,R01,BRIGHAM AND WOMEN'S HOSPITAL,2020
Kidney disease,Developing and validating prognostic metabolomic signatures of diabetic kidney disease,R01,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2020
Kidney disease,Promoting Utilization of Kidneys by Improving Patient Level Decision Making,R21,NORTHWESTERN UNIVERSITY,2017
Kidney disease,The comparative effectiveness of kidney transplantation in advanced CKD,K08,JOHNS HOPKINS UNIVERSITY,2016
Kidney disease,Prediction of Major Adverse Kidney Events and Recovery (Pred-MAKER) in COVID-19 Patients,R01,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2020
Knowledge bases,DEVELOPING QMR KNOWLEDGE BASE INTO A RESOURCE,R01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1993
Knowledge bases,CANCER PROTEIN DATA BASE,R43,LARGE SCALE BIOLOGY CORPORATION,1986
Knowledge bases,CLINICAL DECISION SYSTEMS RESEARCH RESOURCE,R24,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1989
Knowledge bases,CADUCEUS:  A COMPUTER BASED DIAGNOSTIC CONSULTANT,R01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1987
Knowledge bases,ENHANCED FOOD COMPOSITION RESEARCH DATA BASE,N43,"SOHAR, INC.",1989
Knowledge representation and reasoning,CRCNS: Representational foundations of adaptive behavior in natural and artificial ,R01,PRINCETON UNIVERSITY,2017
Knowledge representation and reasoning,The Developmental Antecedents and Cognitive Correlates of Script-like Attachment,F32,UNIVERSITY OF MINNESOTA,2015
Knowledge representation and reasoning,DIGITAL IMAGE REPRESENTATIONS FOR TOMOGRAPHIC RADIOLOGY,R01,UNIVERSITY OF PENNSYLVANIA,1998
Knowledge representation and reasoning,Neural signatures of learning complex environments in the amygdala-prefrontal network,K99,COLUMBIA UNIVERSITY HEALTH SCIENCES,2020
Knowledge representation and reasoning,Neural representation of the geometry and functionality in a scene,R01,JOHNS HOPKINS UNIVERSITY,2020
Language development and reading comprehension,PREDICTING OUTCOME IN CHILDREN WITH NEW-ONSET TICS USING NEUROIMAGING DATA,R21,WASHINGTON UNIVERSITY,2016
Language development and reading comprehension,SOFTWARE INTERVENTION FOR ADVANCED SYNTAX DEVELOPMENT,R43,"LAUREATE LEARNING SYSTEMS, INC.",1999
Language development and reading comprehension,Cognitive Representation in Specific Language Impairment,R01,SAN DIEGO STATE UNIVERSITY,2009
Language development and reading comprehension,Predicting Heterogeneous Neurodevelopmental Outcomes in School-age Children with Early Caregiving Adversities,R01,COLUMBIA UNIV NEW YORK MORNINGSIDE,2020
Language development and reading comprehension,Verb learning and the early development of sentence comprehension,R01,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,2018
Literature review,Hybrid Approaches to Optimizing Evidence Synthesis via Machine Learning and Crowdsourcing,R03,NORTHEASTERN UNIVERSITY,2016
Literature review,Text Mining Pipeline to Accelerate Systematic Reviews in Evidence-Based Medicine,R01,UNIVERSITY OF ILLINOIS AT CHICAGO,2019
Literature review,Developing Methods to Improve Systematic Reviews Using Clinical Trial Registries,R03,BOSTON CHILDREN'S HOSPITAL,2016
Literature review,Screening Nonrandomized Studies for Inclusion in Systematic Reviews of Evidence,R00,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2012
Literature review,SWIFT-ActiveScreener: research and development of an intelligent web-based document screening system,R43,"SCIOME, LLC",2017
Liver disease,Hepatic Steatosis and the Lipid Metabolome,R01,UNIVERSITY OF TEXAS MED BR GALVESTON,2009
Liver disease,Development of a Machine Learning Model for Liver Transplantation,F32,JOHNS HOPKINS UNIVERSITY,2020
Liver disease,HEPATOCYTE-DERIVED MIF: A KEY CONTRIBUTOR TO ALCOHOLIC LIVER DISEASE,R00,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2020
Liver disease,"Development of a Machine Learning Model to Integrate Clinical, Laboratory, Sonographic, and Elastographic Data for Noninvasive Liver Tissue Characterization in NAFLD",R01,MASSACHUSETTS GENERAL HOSPITAL,2020
Liver disease,NOVEL STRATEGIES TO IMPROVE LIVER CANCER SURVEILLANCE UPTAKE AND EARLY DETECTION,U01,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2020
Lung cancer and COPD,EARLY DETECTION OF LUNG CANCER USING METABOLOMIC LIPID PROFILING,R21,RUSH UNIVERSITY MEDICAL CENTER,2014
Lung cancer and COPD,FETAL LUNG BIOCHEMISTRY AND 3-DIMENSIONAL MICROANATOMY,R01,DUKE UNIVERSITY,1991
Lung cancer and COPD,"Lung cancer in East Africa and the relationship to HIV-1 infection: epidemiology, molecular characterization and imaging",U54,CASE WESTERN RESERVE UNIVERSITY,2020
Lung cancer and COPD,Development of a Novel Lung Function Imaging Modality for comprehensive management of lung cancer,R01,UNIVERSITY OF COLORADO DENVER,2020
Lung cancer and COPD,Histopathology correlated quantitative analysis of lung nodules with LDCT for early detection of lung cancer,U01,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2020
Mass spectroscopy,Machine learning analysis of tandem mass spectra,R01,UNIVERSITY OF WASHINGTON,2012
Mass spectroscopy,Self Correcting Nanoflow LC-MS for Clinical Proteomics,R01,UNIVERSITY OF WASHINGTON,2016
Mass spectroscopy,Proteomics processing using networked instrument router*,R43,USERSPACE CORPORATION,2005
Mass spectroscopy,Proteomics processing using networked instrument router,R43,USERSPACE CORPORATION,2004
Mass spectroscopy,Optimization and joint modeling for peptide detection by tandem mass spectrometry,R01,UNIVERSITY OF WASHINGTON,2020
Memory,Neural mechanisms for reducing interference during episodic memory formation,R01,UNIVERSITY OF OREGON,2015
Memory,The role of memory reactivation in emotional memory suppression and regulation,F99,PRINCETON UNIVERSITY,2020
Memory,Investigating Cognitive and Neural Bases of Working Memory,R01,UNIVERSITY OF WISCONSIN-MADISON,2013
Memory,The effects of film music on neural activity in higher-order brain areas and comprehension for the film narrative,F99,PRINCETON UNIVERSITY,2020
Memory,Testing a Model of Competitive Memory Retrieval,F31,PRINCETON UNIVERSITY,2006
Metabolic syndrome and metabolic processes,Pathway Prediction and Assessment Integrating Multiple Evidence Types,R01,SRI INTERNATIONAL,2009
Metabolic syndrome and metabolic processes,Computational Annotation of Orphan Metabolic Activities,R01,COLUMBIA UNIVERSITY HEALTH SCIENCES,2009
Metabolic syndrome and metabolic processes,Dietary modulation of gut microbiome and host gene expression across human evolution and the emergence of modern human disease,R01,"J. CRAIG VENTER INSTITUTE, INC.",2019
Metabolic syndrome and metabolic processes,Constitutional and metabolic factors associated with the development of Hand OA,R01,TUFTS MEDICAL CENTER,2018
Metabolic syndrome and metabolic processes,System-wide Study of Transcriptional Control of Metabolism,R21,LOS ALAMOS NAT SECTY-LOS ALAMOS NAT LAB,2008
Molecular genetics,DNA Polymerase Database,R44,"NEW ENGLAND BIOLABS, INC.",2010
Molecular genetics,Molecular mechanisms of germline DNA repair and DNA damage response,R01,HARVARD MEDICAL SCHOOL,2016
Molecular genetics,DNA 3.0: Developing novel enzymes for DNA synthesis with deep learning and combinatorial genetics,R43,"PRIMORDIAL GENETICS, INC",2020
Molecular genetics,Comprehensive breakpoint analyses for simultaneous quantification of all DNA double strand break repair pathways,R33,SLOAN-KETTERING INST CAN RESEARCH,2020
Molecular genetics,STATISTICAL STUDIES OF DNA EVOLUTION,R37,UNIVERSITY OF CHICAGO,2009
Motion tracking and artifact reduction,Machine Learning and Deformable Model-based 4D Characterization of Cardiac Dyssynchrony from MRI,R01,"RUTGERS, THE STATE UNIV OF N.J.",2020
Motion tracking and artifact reduction,Systems Biology Analysis of Cardiac Electrical Activity and Arrhythmias.,R01,UNIVERSITY OF WASHINGTON,2020
Motion tracking and artifact reduction,Cloud-based High-throughput Acquisition and Analytics of Zebrafish Electrocardiogram for Cardiac Studies and Drug Development,R44,"SENSORIIS, INC.",2020
Motion tracking and artifact reduction,Innovative MRI-based Characterization of Cardiac Dyssynchrony,R01,"RUTGERS, THE STATE UNIV OF N.J.",2018
Motion tracking and artifact reduction,SIGNAL PROCESSING/AUTOMATION FOR CARDIAC OUTPUT MONITOR,R43,"AXON MEDICAL, INC.",1994
Motor function,Spinal Epidural Electrode Array To Facilitate Standing and Stepping After SCI,U01,UNIVERSITY OF CALIFORNIA LOS ANGELES,2018
Motor function,Enabling forelimb function with agonist drug and epidural stimulation in SCI,U01,UNIVERSITY OF CALIFORNIA LOS ANGELES,2017
Motor function,Data Mining to Identify Motor Fluctuations in PD,R21,SPAULDING REHABILITATION HOSPITAL,2006
Motor function,MECHANISMS OF DEEP BRAIN STIMULATION,R01,WASHINGTON UNIVERSITY,2015
Motor function,Reinforcement Learning for Closed-Loop Deep Brain Stimulation,F31,UNIVERSITY OF MINNESOTA,2019
Mouse modeling,Chemoreceptor Cell Development in the Carotid Body,R01,JOHNS HOPKINS UNIVERSITY,2009
Mouse modeling,Towards automated phenotyping in epilepsy,R21,STANFORD UNIVERSITY,2018
Mouse modeling,Development of mosaic mouse models of HCC for genetic interspecies inference,R00,RESEARCH INST OF FOX CHASE CAN CTR,2019
Mouse modeling,Mining Genomic Data in FaceBase for Cleft Genes,R03,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2019
Mouse modeling,A Novel Modifier Locus Suppressing ApcMin Intestinal Polyposis,F31,THOMAS JEFFERSON UNIVERSITY,2009
Natural language processing,Natural language processing for clinical and translational research,R01,MAYO CLINIC ROCHESTER,2016
Natural language processing,Open Health Natural Language Processing Collaboratory,U01,MAYO CLINIC ROCHESTER,2020
Natural language processing,A Biomedical Natural Language Processing Resource,R01,COLUMBIA UNIVERSITY HEALTH SCIENCES,2008
Natural language processing,"Annotation, development and evaluation for clinical information extraction",R01,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2013
Natural language processing,"Annotation, development and evaluation for clinical information extraction (transfer)",R01,BOSTON CHILDREN'S HOSPITAL,2013
Neural circuits,Image-based modeling of functional connectivity in neural networks at single-cell resolution,K25,UT SOUTHWESTERN MEDICAL CENTER,2020
Neural circuits,Experimental examinations of the mechanisms that generate the responses of midbra,R01,HARVARD UNIVERSITY,2017
Neural circuits,Uncovering Population-Level Cellular Relationships to Behavior via Mesoscale Networks,R01,DUKE UNIVERSITY,2019
Neural circuits,Transcriptome-based systematic discovery of GABAergic neurons in the neocortex,R01,COLD SPRING HARBOR LABORATORY,2020
Neural circuits,Crowd coding in the brain:3D imaging and control of collective neuronal dynamics,U01,"UNIV OF MARYLAND, COLLEGE PARK",2016
Object tracking and recognition,AN INTERACTIVE BIOMEDICAL IMAGE PROCESSOR/ANALYZER,R44,"AMERICAN INNOVISION, INC.",1986
Object tracking and recognition,Transmission of Information in the Visual System,R01,NEW YORK UNIVERSITY,2009
Object tracking and recognition,Closing the loop on markerless object tracking,R03,BROWN UNIVERSITY,2020
Object tracking and recognition,ENCODING REACH AND GRASP IN CEREBELLAR NEURONAL ACTIVITY,F32,UNIVERSITY OF MINNESOTA TWIN CITIES,1999
Object tracking and recognition,Understanding the circuit for topological object tracking,DP1,CALIFORNIA INSTITUTE OF TECHNOLOGY,2016
Older adults,Cognitive and social aspects of decision-making,R15,UNIVERSITY OF COLORADO AT COLORADO SPGS,2002
Older adults,Web-based App to Alleviate Loneliness and Isolation in Older Adults at Home,R43,"VIGOROUS MIND, INC.",2018
