Application Category,Application,No. of R01 (% in application),No. of U01 (% in application),No. of R44 (% in application),No. of R21 (% in application),Total number of awards
Knowledge frameworks,Intelligent search engines and data visualization,28 (37%),3 (4%),1 (1%),1 (1%),76
Knowledge frameworks,Knowledge bases,61 (35%),12 (7%),2 (1%),4 (2%),176
Knowledge frameworks,Knowledge representation and reasoning,80 (66%),0 (0%),4 (3%),5 (4%),122
Knowledge frameworks,Literature review,34 (45%),0 (0%),0 (0%),5 (7%),76
Knowledge frameworks,Ontology generation,59 (60%),4 (4%),5 (5%),2 (2%),99
Language and communication,Interpersonal communication technologies,49 (53%),5 (5%),4 (4%),5 (5%),92
Language and communication,Language development and reading comprehension,159 (59%),14 (5%),10 (4%),21 (8%),271
Language and communication,Social media and social behavior,121 (57%),6 (3%),5 (2%),18 (8%),212
Language and communication,Speech,134 (64%),7 (3%),10 (5%),14 (7%),210
Mental health,Adolescent psychiatry,49 (32%),16 (10%),5 (3%),12 (8%),155
Mental health,Alcohol use,70 (32%),53 (24%),0 (0%),15 (7%),218
Mental health,Autism spectrum disorder,92 (48%),3 (2%),11 (6%),17 (9%),192
Mental health,Depression,43 (41%),8 (8%),6 (6%),9 (9%),104
Mental health,Other child development,75 (46%),7 (4%),1 (1%),9 (5%),164
Mental health,Other mental health,55 (37%),4 (3%),6 (4%),5 (3%),148
Mental health,Pain,97 (52%),0 (0%),4 (2%),17 (9%),188
Mental health,Schizophrenia,57 (50%),4 (4%),0 (0%),16 (14%),113
Mental health,Suicidality,42 (53%),3 (4%),3 (4%),5 (6%),79
Model types,Deep learning,98 (44%),9 (4%),13 (6%),35 (16%),221
Model types,Natural language processing,68 (56%),9 (7%),1 (1%),12 (10%),121
Model types,Unspecified classification models,63 (48%),1 (1%),10 (8%),10 (8%),131
Neurologic,Alzheimer's disease,176 (55%),17 (5%),8 (2%),21 (7%),321
Neurologic,EEG,43 (41%),4 (4%),20 (19%),7 (7%),104
Neurologic,Memory,73 (49%),4 (3%),0 (0%),8 (5%),149
Neurologic,Motor function,101 (53%),11 (6%),5 (3%),14 (7%),192
Neurologic,Neural circuits,199 (55%),21 (6%),3 (1%),21 (6%),361
Neurologic,Other dementia,71 (48%),0 (0%),19 (13%),8 (5%),148
Neurologic,Sleep,37 (37%),0 (0%),10 (10%),11 (11%),101
Neurologic,Stroke,89 (51%),0 (0%),0 (0%),11 (6%),176
Population health,Population health screening,62 (41%),2 (1%),12 (8%),18 (12%),151
Patient safety,Adverse drug events/drug safety,129 (49%),12 (5%),15 (6%),16 (6%),265
Patient safety,Other patient safety,73 (63%),0 (0%),8 (7%),5 (4%),115
Patient safety,Surgical planning,71 (52%),2 (1%),9 (7%),17 (12%),137
Population health,Older adults,94 (55%),0 (0%),1 (1%),9 (5%),171
Population health,Pediatrics,26 (41%),4 (6%),2 (3%),9 (14%),63
Renal,Kidney disease,58 (47%),0 (0%),4 (3%),13 (11%),123
Respiratory,Asthma,25 (27%),5 (5%),2 (2%),12 (13%),93
Respiratory,Lung cancer and COPD,113 (52%),6 (3%),4 (2%),17 (8%),217
Training and education,Student training and education,29 (19%),0 (0%),17 (11%),0 (0%),149
Vision,Object tracking and recognition,75 (66%),0 (0%),2 (2%),6 (5%),113
Vision,Visual impairment,37 (47%),0 (0%),2 (3%),7 (9%),78
Vision,Visual processing,120 (71%),0 (0%),6 (4%),9 (5%),168
