description,category,funding,size,centroids,score,total_citations,total_papers,caf,growth,apt
Text mining,Data types,"$80,300,898",220,"['text', 'literature', 'mining', 'natural language', 'language processing', 'access', 'search', 'report', 'content', 'annotation', 'ontology', 'extract', 'domain', 'concept', 'scientist']",0.076,22296.649564983905,2969,277.66376367277866,0.060 (0.040 - 0.080),0.423 (0.411 - 0.435)
Wearable devices and mobile technology,Data types,"$81,082,336",193,"['smoking', 'physical activity', 'physical', 'physician', 'month', 'participant', 'mobile', 'real', 'end', 'sensor', 'american', 'low', 'report', 'effectiveness', 'randomized']",0.106,29036.992487678082,3841,358.1173646462046,0.354 (0.264 - 0.444),0.419 (0.408 - 0.429)
Electronic health record,Electronic health record,"$111,660,265",296,"['ehr', 'electronic', 'health record', 'electronic health', 'informatics', 'healthcare', 'natural language', 'clinical data', 'clinician', 'decision support', 'provider', 'language processing', 'physician', 'nlp', 'hospital']",0.068,54632.338084995536,7129,489.2728678818337,0.381 (0.356 - 0.406),0.431 (0.424 - 0.439)
Diabetes,Endocrine,"$52,974,185",114,"['diabetes', 'chronic', 'physical activity', 'clinical trial', 'achieve', 'american', 'decision support', 'consortium', 'prevention', 'body', 'people', 'blood', 'physical', 'aid', 'risk factor']",0.166,6041.457549639902,952,114.04531376254117,0.313 (0.156 - 0.470),0.429 (0.408 - 0.450)
Metabolic syndrome and metabolic processes,Endocrine,"$38,200,998",99,"['metabolic', 'syndrome', 'mass', 'host', 'physical', 'cardiovascular', 'spectrum', 'compound', 'targeted', 'trait', 'signature', 'age', 'resolution', 'physical activity', 'collaboration']",0.165,6545.63121609504,1115,171.3471259597731,0.149 (0.107 - 0.190),0.430 (0.411 - 0.450)
Environmental health,Environmental health,"$88,913,320",203,"['exposure', 'environmental', 'chemical', 'risk factor', 'career', 'child', 'period', 'mouse', 'animal', 'prevention', 'dna', 'estimate', 'cardiovascular', 'developmental', 'social']",0.120,92273.38607456106,12963,1037.7903566592843,0.270 (0.236 - 0.303),0.423 (0.417 - 0.429)
Clinically significant genetic variation,Genetics,"$117,453,892",236,"['variant', 'variation', 'sequencing', 'trait', 'genetics', 'causal', 'mutation', 'dna', 'genomics', 'regulatory', 'statistical method', 'interpretation', 'gene expression', 'mapping', 'influence']",0.153,38395.488500655076,5573,326.89839261056653,0.203 (0.158 - 0.249),0.442 (0.433 - 0.451)
Familial genetics,Genetics,"$73,961,475",129,"['family', 'genomics', 'implementation', 'child', 'communication', 'susceptibility', 'environmental', 'syndrome', 'history', 'implement', 'prevention', 'domain', 'dna', 'service', 'long']",0.088,27697.76521983632,3240,374.4890866472893,0.244 (0.144 - 0.344),0.441 (0.430 - 0.453)
Functional mutations,Genetics,"$56,859,122",162,"['mutation', 'variant', 'regulatory', 'dna', 'cellular', 'consequence', 'binding', 'sequencing', 'gene expression', 'regulation', 'computational method', 'variation', 'candidate', 'genomics', 'aid']",0.195,22367.479748048198,3703,393.38419168780337,0.230 (0.181 - 0.278),0.404 (0.394 - 0.415)
Gene mapping,Genetics,"$61,918,552",166,"['mapping', 'trait', 'genetics', 'map', 'variant', 'marker', 'variation', 'powerful', 'sequencing', 'score', 'power', 'size', 'statistical method', 'physical', 'involved']",0.052,30028.456327448206,3834,484.96703100305393,0.303 (0.248 - 0.358),0.399 (0.389 - 0.410)
Molecular genetics,Genetics,"$105,378,437",246,"['dna', 'sequencing', 'gene expression', 'binding', 'specie', 'tumor', 'site', 'profile', 'global', 'progression', 'variation', 'stage', 'base', 'regulatory', 'derived']",0.100,44330.52370649854,6173,420.6792676807167,0.103 (0.084 - 0.123),0.418 (0.409 - 0.426)
Mouse modeling,Genetics,"$60,846,677",167,"['mouse', 'gene expression', 'animal', 'shape', 'candidate', 'normal', 'dna', 'profile', 'resolution', 'vivo', 'neuron', 'susceptibility', 'assay', 'motion', 'chronic']",0.087,12611.087155173005,1989,207.26008020410063,0.155 (0.104 - 0.206),0.401 (0.386 - 0.416)
Population genetics,Genetics,"$76,684,671",130,"['snp', 'susceptibility', 'variant', 'gene expression', 'dna', 'candidate', 'american', 'environmental', 'inference', 'wide', 'variation', 'selection', 'age', 'cardiovascular', 'characterization']",0.153,43163.94586084839,4951,562.8758042249199,0.056 (0.002 - 0.109),0.463 (0.453 - 0.472)
Regulatory genetics,Genetics,"$134,538,181",280,"['regulatory', 'regulation', 'gene expression', 'element', 'cellular', 'dna', 'cell type', 'variant', 'binding', 'variation', 'normal', 'datasets', 'organization', 'assay', 'sequencing']",0.062,26682.51803138547,4619,198.32673396547162,0.193 (0.166 - 0.220),0.429 (0.420 - 0.439)
RNA analysis,Genetics,"$44,787,478",116,"['rna', 'sequencing', 'element', 'long', 'regulatory', 'regulation', 'cellular', 'binding', 'mapping', 'generation', 'dna', 'molecule', 'recognition', 'comparison', 'example']",0.228,12869.854067794937,1649,287.3538462646844,0.179 (0.153 - 0.206),0.439 (0.423 - 0.456)
Liver disease,Hepatic,"$39,489,735",123,"['liver', 'injury', 'stage', 'mouse', 'biomarker', 'radiation', 'activation', 'motion', 'tumor', 'alcohol', 'survival', 'chronic', 'early detection', 'signature', 'biopsy']",0.211,10098.511808743986,1405,255.72498292895577,0.140 (0.103 - 0.177),0.459 (0.441 - 0.477)
HIV,Infectious disease/Immunologic,"$115,512,623",243,"['hiv', 'infection', 'prevention', 'aid', 'resistance', 'woman', 'participant', 'social', 'substance', 'impairment', 'person', 'site', 'dna', 'people', 'efficacy']",0.240,30145.3264032804,3572,260.96997557817036,0.266 (0.230 - 0.303),0.417 (0.406 - 0.428)
Immunology,Infectious disease/Immunologic,"$100,119,427",170,"['immune', 'host', 'infection', 'receptor', 'blood', 'signaling', 'adaptive', 'adverse', 'regulatory', 'signature', 'monitoring', 'assay', 'resistance', 'profile', 'event']",0.072,17878.410778617465,2938,178.5708459819438,0.322 (0.235 - 0.408),0.429 (0.417 - 0.441)
Other infectious disease,Infectious disease/Immunologic,"$102,079,866",242,"['infection', 'host', 'resistance', 'immune', 'hospital', 'assay', 'blood', 'candidate', 'rapid', 'people', 'death', 'specie', 'global', 'severe', 'healthcare']",0.088,20631.56101477009,2938,202.11195236845325,0.550 (0.511 - 0.589),0.421 (0.410 - 0.433)
Trauma,Injuries/trauma,"$82,210,223",159,"['injury', 'recovery', 'acute', 'neurological', 'motor', 'translational', 'death', 'disability', 'loss', 'blood', 'mri', 'syndrome', 'people', 'correlate', 'physiological']",0.075,11845.848028668388,1491,144.09215297552942,0.217 (0.154 - 0.280),0.414 (0.396 - 0.431)
Centers for translational and computational research,Knowledge frameworks,"$181,240,503",144,"['core', 'informatics', 'infrastructure', 'continue', 'consortium', 'neuroscience', 'service', 'collaborative', 'bioinformatics', 'access', 'domain', 'alcohol', 'capability', 'genetics', 'scientist']",0.085,121446.83596970272,18936,670.0866194887062,0.208 (0.132 - 0.283),0.418 (0.413 - 0.422)
Intelligent search engines and data visualization,Knowledge frameworks,"$17,647,037",76,"['scientist', 'learn', 'building', 'genomics', 'generated', 'bioinformatics', 'size', 'data set', 'engineering', 'career', 'step', 'rapidly', 'aspect', 'heterogeneity', 'inference']",0.037,3071.1085036730856,628,174.0296970915336,0.098 (0.064 - 0.133),0.393 (0.368 - 0.418)
Knowledge bases,Knowledge frameworks,"$61,076,599",176,"['base', 'representation', 'artificial intelligence', 'intelligence', 'artificial', 'interface', 'domain', 'aid', 'capability', 'continue', 'collaborative', 'national', 'interpretation', 'access', 'variation']",0.064,28791.217792025618,4774,471.39523587463697,0.834 (-0.233 - 1.902),0.383 (0.374 - 0.392)
Knowledge representation and reasoning,Knowledge frameworks,"$37,427,050",122,"['representation', 'concept', 'cortex', 'world', 'theory', 'action', 'issue', 'basic', 'temporal', 'memory', 'planning', 'visual', 'fmri', 'neuroscience', 'domain']",0.074,14779.428726977865,2141,394.8862848388496,0.585 (0.337 - 0.833),0.407 (0.393 - 0.420)
Literature review,Knowledge frameworks,"$25,836,844",76,"['review', 'systematic', 'literature', 'annotation', 'text', 'screening', 'alternative', 'automatically', 'validation', 'best', 'wa', 'necessary', 'clinical trial', 'report', 'able']",0.212,5091.7049235717395,913,197.07147372843755,0.104 (0.053 - 0.155),0.415 (0.392 - 0.437)
Ontology generation,Knowledge frameworks,"$64,277,669",99,"['ontology', 'annotation', 'integration', 'representation', 'infrastructure', 'scientist', 'collaborative', 'national', 'term', 'informatics', 'consortium', 'context', 'data set', 'essential', 'domain']",0.312,13640.26922936884,2381,212.2085234511046,0.078 (0.028 - 0.129),0.428 (0.414 - 0.441)
Interpersonal communication technologies,Language and communication,"$34,799,976",92,"['communication', 'interface', 'speech', 'impairment', 'device', 'motor', 'cortex', 'people', 'clinician', 'provider', 'access', 'severe', 'participant', 'increasing', 'clinical trial']",0.108,13097.943409313377,1569,376.3779437466675,0.261 (0.210 - 0.311),0.488 (0.472 - 0.504)
Language development and reading comprehension,Language and communication,"$108,380,111",271,"['child', 'age', 'developmental', 'impairment', 'acquisition', 'autism', 'young', 'pediatric', 'symptom', 'deficit', 'artificial', 'social', 'family', 'skill', 'mobile']",0.101,17013.391199910297,2713,156.9789054738124,0.264 (0.206 - 0.322),0.420 (0.408 - 0.433)
Social media and social behavior,Language and communication,"$84,674,749",212,"['social', 'access', 'young', 'influence', 'substance', 'mobile', 'content', 'status', 'prevention', 'animal', 'emerging', 'national', 'mining', 'hospital', 'skill']",0.103,18563.56226053358,2620,219.23374417718773,0.310 (0.280 - 0.340),0.423 (0.410 - 0.436)
Speech,Language and communication,"$66,336,577",210,"['speech', 'motor', 'communication', 'impairment', 'representation', 'recognition', 'movement', 'child', 'device', 'normal', 'spectrum', 'error', 'progress', 'shape', 'person']",0.239,22964.18211399648,3393,346.176772340793,0.174 (0.147 - 0.202),0.409 (0.398 - 0.420)
Adolescent psychiatry,Mental health,"$63,322,086",155,"['adolescent', 'substance', 'youth', 'mobile', 'symptom', 'child', 'alcohol', 'prevention', 'difference', 'consortium', 'developmental', 'career', 'family', 'social', 'skill']",0.100,17399.388406059883,2237,274.77598268098563,0.233 (0.202 - 0.265),0.387 (0.373 - 0.400)
Alcohol use,Mental health,"$86,802,222",218,"['alcohol', 'exposure', 'child', 'spectrum', 'consortium', 'deficit', 'adolescent', 'youth', 'core', 'feedback', 'period', 'month', 'substance', 'prevention', 'site']",0.192,34861.90546165277,4817,401.6245743300531,0.177 (0.144 - 0.209),0.412 (0.403 - 0.422)
Autism spectrum disorder,Mental health,"$97,331,715",192,"['asd', 'autism', 'child', 'connectivity', 'spectrum', 'social', 'developmental', 'infant', 'impairment', 'deficit', 'heterogeneity', 'core', 'mri', 'communication', 'longitudinal']",0.236,23622.59470108064,3239,242.70192609963402,0.230 (0.196 - 0.265),0.458 (0.447 - 0.469)
Depression,Mental health,"$45,168,514",104,"['depression', 'symptom', 'circuit', 'personalized', 'mobile', 'fmri', 'sensor', 'negative', 'positive', 'construct', 'mental', 'participant', 'adolescent', 'collected', 'mental health']",0.185,6653.364453863988,808,147.30093741547458,0.699 (0.498 - 0.900),0.414 (0.391 - 0.438)
Other child development,Mental health,"$53,656,918",164,"['infant', 'child', 'developmental', 'speech', 'acquisition', 'growth', 'learn', 'age', 'input', 'month', 'deficit', 'social', 'stress', 'mri', 'exposure']",0.164,14590.738782301638,2140,271.9265162099254,0.216 (0.190 - 0.243),0.431 (0.417 - 0.445)
Other mental health,Mental health,"$79,154,534",148,"['mental', 'mental health', 'illness', 'psychiatric', 'depression', 'neuroscience', 'symptom', 'social', 'variation', 'environmental', 'schizophrenia', 'neuroimaging', 'variable', 'influence', 'child']",0.126,20180.058192869223,2470,254.94506976529257,0.447 (0.384 - 0.509),0.446 (0.433 - 0.459)
Pain,Mental health,"$145,739,494",188,"['pain', 'chronic', 'acute', 'syndrome', 'low', 'woman', 'symptom', 'influence', 'collaboration', 'surgery', 'sensitivity', 'substance', 'hypothesize', 'award', 'physiological']",0.414,20741.504828346908,2644,142.31903967188816,0.441 (0.173 - 0.709),0.431 (0.418 - 0.443)
Schizophrenia,Mental health,"$36,596,467",113,"['schizophrenia', 'deficit', 'illness', 'abnormality', 'symptom', 'fmri', 'temporal', 'psychiatric', 'paradigm', 'mental', 'dysfunction', 'neuroimaging', 'candidate', 'cortex', 'connectivity']",0.164,29501.604127984992,4092,806.1325736166004,0.105 (0.044 - 0.166),0.438 (0.427 - 0.448)
Suicidality,Mental health,"$40,633,475",79,"['suicide', 'death', 'risk factor', 'prevention', 'youth', 'adolescent', 'predictor', 'ehr', 'psychiatric', 'mental', 'health care', 'prior', 'setting', 'healthcare', 'social']",0.455,6920.774729420047,1239,170.32200001156798,0.855 (0.632 - 1.079),0.380 (0.362 - 0.398)
Deep learning,Model types,"$72,890,312",221,"['lesion', 'deep', 'deep learning', 'mri', 'progression', 'biopsy', 'interpretation', 'digital', 'neural network', 'classification', 'pathology', 'learning algorithm', 'learn', 'longitudinal', 'learning method']",0.044,11954.142820911275,1848,164.00180617845723,0.725 (0.630 - 0.820),0.428 (0.413 - 0.443)
Natural language processing,Model types,"$48,501,377",121,"['nlp', 'text', 'natural language', 'language processing', 'electronic', 'extract', 'report', 'domain', 'setting', 'translational', 'informatics', 'health record', 'decision support', 'electronic health', 'automatically']",0.193,9704.370593025275,1755,200.08443457234782,0.121 (0.106 - 0.136),0.442 (0.427 - 0.457)
Unspecified classification models,Model types,"$30,318,414",131,"['classification', 'neural network', 'criterion', 'family', 'implement', 'variable', 'domain', 'procedure', 'data set', 'predicting', 'datasets', 'selection', 'statistical method', 'annotation', 'traditional']",0.084,24904.3304560467,2124,821.4258983351406,0.086 (0.055 - 0.117),0.402 (0.389 - 0.416)
Alzheimer's disease,Neurologic,"$241,056,913",321,"['ad', 'alzheimer', 'alzheimer disease', 'dementia', 'aging', 'progression', 'pathology', 'longitudinal', 'neuroimaging', 'clinical trial', 'stage', 'mri', 'biomarker', 'impairment', 'participant']",0.255,37976.94617603172,5308,157.54348507745024,0.482 (0.424 - 0.540),0.421 (0.413 - 0.430)
EEG,Neurologic,"$36,783,357",104,"['eeg', 'recording', 'neuroscience', 'sleep', 'event', 'monitoring', 'reliable', 'resolution', 'fmri', 'cortical', 'spatial', 'period', 'mri', 'collected', 'hospital']",0.173,11665.476407160328,1402,317.14006981908494,0.206 (0.155 - 0.256),0.442 (0.424 - 0.459)
Memory,Neurologic,"$55,412,488",149,"['memory', 'working', 'circuit', 'deficit', 'representation', 'cortex', 'stimulation', 'neuronal', 'fmri', 'animal', 'eeg', 'event', 'alzheimer', 'cortical', 'schizophrenia']",0.158,8964.280374789505,1641,161.77364883506954,0.462 (0.387 - 0.537),0.421 (0.405 - 0.437)
Motor function,Neurologic,"$80,329,648",192,"['motor', 'stimulation', 'movement', 'recording', 'cortical', 'circuit', 'device', 'parameter', 'injury', 'cortex', 'array', 'action', 'sensor', 'deep', 'activation']",0.083,12634.346780008838,2043,157.28124166570277,0.460 (0.335 - 0.585),0.429 (0.415 - 0.443)
Neural circuits,Neurologic,"$177,492,200",361,"['neuron', 'circuit', 'neuronal', 'cortex', 'cortical', 'stimulus', 'cell type', 'animal', 'connectivity', 'motor', 'recording', 'property', 'neuroscience', 'mouse', 'cellular']",0.067,23939.534888075657,4278,134.87654605709804,0.312 (0.265 - 0.359),0.437 (0.427 - 0.447)
Other dementia,Neurologic,"$99,430,729",148,"['dementia', 'alzheimer', 'alzheimer disease', 'pathology', 'ad', 'person', 'aging', 'mri', 'older', 'impairment', 'participant', 'risk factor', 'symptom', 'stage', 'people']",0.086,60572.86064955656,8746,609.1965859926116,0.609 (0.512 - 0.705),0.436 (0.429 - 0.443)
Sleep,Neurologic,"$33,322,539",101,"['sleep', 'eeg', 'cortical', 'cardiovascular', 'profile', 'recording', 'marker', 'event', 'memory', 'device', 'physiological', 'mouse', 'movement', 'regulation', 'parameter']",0.372,7039.999089971192,840,211.26838774113796,0.869 (0.667 - 1.072),0.447 (0.424 - 0.469)
Stroke,Neurologic,"$88,644,658",176,"['stroke', 'recovery', 'acute', 'blood', 'disability', 'motor', 'impairment', 'effectiveness', 'movement', 'deficit', 'mri', 'agent', 'lesion', 'flow', 'difference']",0.279,17173.29649605775,2923,193.73188281754946,0.508 (0.470 - 0.546),0.377 (0.366 - 0.389)
Adverse drug events/drug safety,Patient safety,"$93,105,852",265,"['safety', 'surveillance', 'event', 'adverse', 'medication', 'electronic', 'mortality', 'natural language', 'language processing', 'hospital', 'report', 'monitoring', 'healthcare', 'health care', 'temporal']",0.035,24217.36895974885,2921,260.1057660666576,0.238 (0.206 - 0.271),0.422 (0.410 - 0.434)
Other patient safety,Patient safety,"$36,108,608",115,"['error', 'safety', 'digital', 'electronic', 'event', 'simulation', 'estimate', 'reducing', 'monitoring', 'healthcare', 'report', 'setting', 'clinician', 'concept', 'detect']",0.088,9885.111485838086,1738,273.7605250758514,0.131 (0.097 - 0.166),0.414 (0.399 - 0.430)
Surgical planning,Patient safety,"$64,262,285",137,"['surgical', 'surgery', 'procedure', 'skill', 'planning', 'accurately', 'shape', 'monitoring', 'ct', 'effectiveness', 'significantly', 'candidate', 'tumor', 'safety', 'vivo']",0.118,9392.00191434548,1344,146.15107312703677,0.843 (0.656 - 1.029),0.455 (0.437 - 0.474)
Older adults,Population health,"$77,836,693",171,"['older', 'older adult', 'aging', 'physical', 'person', 'chronic', 'health care', 'age', 'physical activity', 'social', 'provider', 'depression', 'cardiovascular', 'monitoring', 'clinician']",0.191,28762.37523605356,2883,369.5220612218656,0.335 (0.298 - 0.371),0.430 (0.418 - 0.443)
Pediatrics,Population health,"$22,415,752",63,"['pediatric', 'child', 'digital', 'hospital', 'decision support', 'ehr', 'acute', 'mri', 'implementation', 'health care', 'electronic', 'chronic', 'clinical trial', 'national', 'conduct']",0.158,3604.136231810568,579,160.78587199798463,0.716 (0.590 - 0.842),0.421 (0.394 - 0.448)
Population health screening,Population health,"$62,881,100",151,"['screening', 'woman', 'early detection', 'mortality', 'ct', 'lesion', 'positive', 'electronic', 'interpretation', 'united state', 'united', 'detect', 'candidate', 'implementation', 'guideline']",0.087,6139.004151835919,852,97.62876527026276,0.561 (0.418 - 0.705),0.406 (0.383 - 0.429)
Kidney disease,Renal,"$43,663,402",123,"['kidney', 'chronic', 'progression', 'injury', 'survival', 'biopsy', 'acute', 'syndrome', 'effectiveness', 'failure', 'mortality', 'cardiovascular', 'heterogeneity', 'national', 'award']",0.211,15948.934281534614,1867,365.27007862407544,0.733 (0.637 - 0.829),0.436 (0.422 - 0.451)
Asthma,Respiratory,"$75,131,908",93,"['asthma', 'child', 'exposure', 'lung', 'chronic', 'candidate', 'immune', 'gene expression', 'pediatric', 'severe', 'environmental', 'variant', 'healthcare', 'neural network', 'school']",0.408,11928.54329216069,1793,158.7680069586505,0.253 (0.159 - 0.348),0.441 (0.425 - 0.456)
Lung cancer and COPD,Respiratory,"$72,014,449",217,"['lung', 'ct', 'screening', 'death', 'survival', 'chronic', 'smoking', 'positive', 'injury', 'snp', 'susceptibility', 'biomarker', 'progression', 'marker', 'test hypothesis']",0.180,20542.88924035745,3306,285.2606598483792,0.396 (0.320 - 0.471),0.397 (0.386 - 0.409)
Student training and education,Training and education,"$35,235,945",149,"['student', 'school', 'course', 'neuroscience', 'skill', 'scientist', 'laboratory', 'career', 'engineering', 'national', 'institute', 'grant', 'content', 'basic', 'artificial']",0.156,10158.919489691363,1434,288.3112540245867,0.099 (0.069 - 0.130),0.424 (0.406 - 0.441)
Object tracking and recognition,Vision,"$34,940,758",113,"['object', 'visual', 'recognition', 'action', 'theory', 'concept', 'movement', 'representation', 'memory', 'input', 'attention', 'age', 'loss', 'interface', 'cortex']",0.121,17980.79272886527,2755,514.6079752724676,0.102 (0.072 - 0.132),0.420 (0.407 - 0.432)
Visual impairment,Vision,"$25,097,857",78,"['vision', 'visual', 'loss', 'low', 'device', 'people', 'property', 'early detection', 'motion', 'normal', 'sensor', 'engineering', 'person', 'laboratory', 'student']",0.122,7686.243992357306,1179,306.2510075006526,0.296 (0.187 - 0.405),0.442 (0.423 - 0.460)
Visual processing,Vision,"$50,365,533",168,"['visual', 'stimulus', 'cortex', 'shape', 'vision', 'cortical', 'object', 'property', 'space', 'attention', 'input', 'neuron', 'circuit', 'representation', 'stimulation']",0.134,22292.08343582846,3589,442.60592726832573,0.098 (0.073 - 0.124),0.397 (0.386 - 0.408)
