Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
16,731,278956654,98699.0,0.08241206030150754,0.349070351758794,0.3393984583624822,0.3587422451551057,3980,353.8148260123596,0.0,92996934.94377548,57034322,0.34865487732880335,0.2611102016488851,0.4361995530087216,-0.02403842048350362,"['smoking', 'methods', 'models', 'risk', 'time', 'available', 'aim', 'machine', 'real', 'model', 'machine learning', 'abstract', 'patient', 'decision', 'interventions']"
17,312,158897676,54563.0,0.1053704962610469,0.3609789259007478,0.3441976344598595,0.3777602173416361,1471,343.3845061396618,0.0,30939998.54064031,17371656,0.16974686705693787,0.14504863215788652,0.1944451019559892,0.04920213605342011,"['drug', 'drugs', 'discovery', 'models', 'effects', 'adverse', 'safety', 'chemical', 'resistance', 'novel', 'development', 'target', 'treatment', 'methods', 'network']"
18,376,186097922,36176.0,0.13230994152046785,0.4592836257309941,0.44206514913517353,0.4765021023268147,1368,194.39228343452433,0.0,69168498.55672456,30122771,0.3202543153875949,0.27813180846509616,0.36237682231009366,-0.0009312545799595894,"['children', 'risk', 'substance', 'outcomes', 'substance use', 'early', 'intervention', 'study', 'child', 'development', 'developmental', 'disorders', 'infants', 'emotion', 'brain']"
19,161,80051386,133829.0,0.09565727699530517,0.38761737089201875,0.3770957346996492,0.3981390070843883,3408,1671.788668343606,6,23406245.721836295,18519647,0.2632479090888893,0.20170358408427608,0.3247922340935025,0.058787493794149444,"['environmental', 'exposure', 'risk', 'factors', 'studies', 'study', 'environment', 'science', 'disease', 'career', 'aim', 'methods', 'effects', 'development', 'genetic']"
20,137,42495598,12560.0,0.08488612836438923,0.39296066252587997,0.36502766134581943,0.4208936637059405,483,295.5600248289246,2,8077241.11799466,1794830,0.17173471844013294,0.1310333436158616,0.21243609326440427,0.21989650925608487,"['speech', 'language', 'motor', 'communication', 'neural', 'infants', 'measures', 'time', 'real', 'real time', 'model', 'human', 'disorders', 'brain', 'control']"
21,75,40060791,18172.0,0.18181818181818182,0.5339246119733925,0.5047376732416915,0.5631115507050934,451,453.61061392921573,0,25789674.753378723,11187568,0.5697956209584529,0.4176178022961625,0.7219734396207433,0.3079820727654574,"['suicide', 'risk', 'behavior', 'factors', 'risk factors', 'death', 'study', 'prediction', 'prevention', 'youth', 'care', 'psychiatric', 'adolescents', 'individuals', 'self']"
22,239,105440152,21214.0,0.06692160611854685,0.3580783938814531,0.33985847993477153,0.3762983078281347,1046,201.19470237486001,0,36067309.70216836,16104981,0.29767101302265037,0.24155324181438137,0.35378878423091936,0.2294965296425889,"['hiv', 'infection', 'risk', 'associated', 'study', 'prevention', 'patients', 'brain', 'therapy', 'cells', 'care', 'treatment', 'cohort', 'individuals', 'behaviors']"
23,397,193743193,161200.0,0.2028815054395766,0.5092325786533373,0.49790339441216475,0.5205617628945097,3401,832.029231602475,49,63100016.898469135,39223767,0.2939189030008976,0.2513451564227266,0.33649264957906866,0.023885804063453583,"['brain', 'fmri', 'connectivity', 'functional', 'imaging', 'neuroimaging', 'methods', 'analysis', 'eeg', 'human', 'disorders', 'cognitive', 'neuroscience', 'activity', 'network']"
24,57,18586301,5790.0,0.13709677419354838,0.42500000000000004,0.3672912748235689,0.4827087251764312,124,311.5197585576603,68,10326133.32105666,5008214,0.4789125711595986,0.4266251564699144,0.5311999858492829,0.22434101798998726,"['pd', 'disease', 'stimulation', 'motor', 'cognitive', 'dysfunction', 'brain', 'biomarkers', 'patients', 'identify', 'progression', 'biomarker', 'treatments', 'blood', 'mri']"
25,169,69009262,16546.0,0.07990314769975787,0.3776029055690073,0.36039213186830676,0.3948136792697078,1239,239.76491735268812,1,20755535.365204044,15965231,0.25068006284533045,0.2102985376941227,0.2910615879965382,0.06252338595229999,"['social', 'behavior', 'behavioral', 'network', 'behaviors', 'population', 'communication', 'processing', 'models', 'interactions', 'analysis', 'dynamics', 'information', 'aim', 'study']"
26,274,104306893,21942.0,0.07418111753371869,0.3615125240847784,0.34297505409126383,0.380049994078293,1038,210.36001906412838,0.0,7619617.776133654,4686860,0.04153018103119544,0.0272217470548857,0.055838615007505185,0.049690770172882384,"['nlp', 'text', 'language', 'language processing', 'natural language', 'natural', 'medical', 'processing', 'information', 'reports', 'patient', 'records', 'electronic', 'systems', 'biomedical']"
27,102,59809838,9525.0,0.06426735218508997,0.32596401028277633,0.29597609807304154,0.3559519224925111,389,159.25473665385954,3,22102415.072237667,15814314,0.299237510745049,0.16947447489285325,0.42900054659724474,0.08127281469136388,"['immune', 'infection', 'cell', 'response', 'host', 'disease', 'responses', 'cells', 'microbiome', 'patients', 'adaptive', 'human', 'signaling', 'adverse', 'mechanisms']"
28,73,22927813,5614.0,0.041353383458646614,0.34605263157894733,0.31080063555894133,0.38130462759895334,266,244.85545132455502,105,1342090.3528482309,673243,0.019167330860746366,-0.0198152189898426,0.05814988071133533,0.15333707283368161,"['facial', 'alcohol', 'emotion', 'brain', 'exposure', 'expression', 'imaging', 'effects', 'model', 'analysis', 'features', 'components', 'children', 'human', 'studies']"
29,461,196485171,67336.0,0.1456859971711457,0.44637553041018385,0.4342826761480078,0.4584683846723599,2828,342.7027070658681,0.0,82707587.29977365,41053721,0.3759323508024986,0.3287267086177614,0.4231379929872358,0.014288255945396556,"['care', 'patients', 'patient', 'risk', 'hospital', 'outcomes', 'medical', 'time', 'quality', 'decision', 'support', 'improve', 'electronic', 'healthcare', 'treatment']"
30,215,68734268,23486.0,0.12693156732891833,0.42389624724061814,0.4031315903824289,0.4446609040988074,906,341.69273469239533,69,9112362.939625967,8617000,0.11814470033347381,0.08457878132382304,0.15171061934312458,0.15780112479312441,"['breast', 'breast cancer', 'cancer', 'women', 'risk', 'screening', 'imaging', 'decision', 'patients', 'detection', 'tumor', 'early', 'diagnosis', 'cancers', 'computer']"
31,217,89109769,23150.0,0.08841463414634146,0.3752286585365853,0.3512925470250518,0.39916477004811884,656,259.79194267690224,2,11471292.770592848,8382576,0.1100553452100505,0.08129620394046885,0.13881448647963215,0.01670782620208129,"['motor', 'control', 'activity', 'movement', 'stimulation', 'brain', 'neural', 'physical', 'signals', 'studies', 'activities', 'injury', 'function', 'patterns', 'cortex']"
32,376,115709484,143511.0,0.008149568552253116,0.1263183125599233,0.11857417256994268,0.1340624525499039,2086,1240.269985129309,115,13807036.233538097,9440313,0.1031779493490923,0.06202338246660802,0.14433251623157659,0.0977947358759021,"['protein', 'proteins', 'structure', 'sequence', 'function', 'structures', 'interactions', 'methods', 'prediction', 'structural', 'computational', 'molecular', 'sequences', 'experimental', 'information']"
33,246,85695020,3671.0,0.07272727272727272,0.28568181818181815,0.24762249549541634,0.3237411408682199,220,42.83796187923173,0.0,26000030.35443076,12369309,0.3595664422431939,0.23451071637594892,0.4846221681104389,-0.0003375549301478697,"['device', 'phase', 'phase ii', 'user', 'devices', 'technology', 'software', 'ii', 'detection', 'prototype', 'mobile', 'time', 'real', 'users', 'monitoring']"
34,245,98442536,28266.0,0.1683079677708147,0.4562220232766338,0.4364913739469471,0.4759526726063205,1117,287.1319771770203,2,57391060.61494308,32289293,0.5471883779252004,0.4502141259453862,0.6441626299050145,0.027425370145869196,"['mri', 'imaging', 'pet', 'motion', 'mr', 'radiation', 'image', 'ct', 'dose', 'prostate', 'resolution', 'images', 'contrast', 'cancer', 'planning']"
35,124,51857687,23502.0,0.06066176470588235,0.2556985294117647,0.23087668561720426,0.2805203732063251,544,453.2018560719841,11,7126354.513570527,6283201,0.11486955337008943,0.05053675188331261,0.17920235485686625,0.13912136366636427,"['ms', 'mass', 'proteins', 'protein', 'disease', 'analysis', 'biomarkers', 'methods', 'high', 'identification', 'analytical', 'throughput', 'samples', 'patients', 'high throughput']"
36,161,50183113,29830.0,0.06241872561768531,0.31671001300390117,0.29580971565000447,0.33761031035779787,769,594.4230681743478,2,8474375.874082975,8312164,0.15605587141315874,0.12580195005228023,0.18630979277403725,0.08108869845125681,"['visual', 'cortex', 'recognition', 'attention', 'shape', 'neural', 'vision', 'understanding', 'cortical', 'eye', 'information', 'human', 'brain', 'aim', 'natural']"
37,132,68220957,87301.0,0.20477611940298507,0.5406865671641792,0.5253359155149416,0.5560372188134167,1675,1279.6800842298355,0.0,45238958.53278475,26669751,0.5230147617155945,0.4849255104695046,0.5611040129616843,0.03821166828526584,"['cognitive', 'aging', 'age', 'brain', 'dementia', 'attention', 'alzheimer', 'related', 'alzheimer disease', 'changes', 'life', 'impairment', 'disease', 'early', 'risk']"
38,145,69091514,22009.0,0.21654929577464788,0.5161971830985915,0.48807543025533057,0.5443189359418524,568,318.5485268132929,15,41843014.402506985,21373967,0.45751782716197203,0.4151922292299468,0.49984342509399726,0.043872878339410525,"['mental', 'mental health', 'youth', 'symptoms', 'adolescents', 'disorders', 'behavioral', 'treatment', 'training', 'study', 'interventions', 'illness', 'disorder', 'quality', 'intervention']"
39,141,84858449,16895.0,0.2034805890227577,0.4928380187416332,0.4682146977411617,0.5174613397421047,747,199.0962620587138,710,33504713.41628858,24903917,0.3408542248307334,0.281173451594291,0.4005349980671758,0.07312899361524733,"['heart', 'cardiac', 'failure', 'patients', 'risk', 'disease', 'patient', 'cardiovascular', 'mortality', 'monitoring', 'care', 'machine learning', 'imaging', 'machine', 'outcomes']"
40,78,30730911,6539.0,0.1651376146788991,0.4986238532110092,0.463468397961162,0.5337793084608564,327,212.78249772680022,6,29773256.25448837,10273571,0.6461505465760085,0.539761023100977,0.75254007005104,0.18587264637635476,"['opioid', 'treatment', 'risk', 'disorder', 'study', 'phase', 'phase ii', 'drug', 'related', 'patients', 'care', 'suicide', 'ii', 'substance', 'brain']"
41,385,170971415,81665.0,0.016974169741697416,0.20051660516605166,0.1883308522629633,0.21270235806914,1355,477.6529456693097,3,53995433.381417975,37119317,0.2991761983531104,0.24616934687278735,0.3521830498334334,0.03617037303713837,"['cell', 'cells', 'single', 'single cell', 'cellular', 'human', 'cell types', 'types', 'analysis', 'molecular', 'tissue', 'signaling', 'imaging', 'disease', 'proteins']"
42,194,84073488,14807.0,0.17290552584670232,0.48065953654188953,0.45292477741608617,0.5083942956676929,561,176.11972992009086,7,46427240.93230892,20116862,0.4928452033287769,0.40372353207783657,0.5819668745797173,0.035504335987617215,"['treatment', 'depression', 'response', 'patients', 'individuals', 'study', 'therapy', 'patient', 'planning', 'treatments', 'trial', 'personalized', 'symptoms', 'radiation', 'intervention']"
43,203,110230366,106940.0,0.04800817160367722,0.2702247191011236,0.25190224941303924,0.288547188789208,979,970.1500945755728,331,19520568.37692811,12769857,0.1521995259918557,0.1291347764218682,0.1752642755618432,0.028223882037125524,"['genome', 'human', 'mutations', 'sequencing', 'sequence', 'dna', 'variants', 'genomic', 'functional', 'genetic', 'variation', 'regulatory', 'regions', 'disease', 'elements']"
44,151,49940639,18715.0,0.14638783269961977,0.4376425855513308,0.4089456689811271,0.46633950212153447,526,374.74490464569345,88,15058854.962792166,9461460,0.30868068318123626,0.2365132871269491,0.38084807923552344,0.13066405144957224,"['lung', 'lung cancer', 'cancer', 'ct', 'screening', 'patients', 'controls', 'disease', 'cases', 'models', 'genetic', 'gene', 'risk', 'model', 'function']"
45,517,246169719,109378.0,0.10249165168250707,0.3820318520421269,0.37190639478782617,0.39215730929642767,3893,444.3194737529842,415,137280788.89127186,78281395,0.46720681408993786,0.43980784168127923,0.4946057864985965,-0.012052981247706627,"['disease', 'patients', 'infection', 'diagnostic', 'biomarkers', 'host', 'microbiome', 'progression', 'diseases', 'identify', 'diagnosis', 'kidney', 'aim', 'blood', 'treatment']"
46,135,66332836,14042.0,0.09668109668109669,0.33795093795093795,0.31472856596461385,0.36117330993726204,693,211.69002935439093,1,49043060.14922377,21621070,0.5758683711589306,0.4786176846101548,0.6731190577077065,0.07096386996083075,"['surgical', 'surgery', 'patient', 'tissue', 'patients', 'training', 'time', 'imaging', 'pre', 'outcomes', 'brain', 'real time', 'procedures', 'technology', 'planning']"
47,114,41805096,18647.0,0.045871559633027525,0.35034403669724773,0.32321107621995837,0.3774769971745371,436,446.0460992602433,0.0,2773842.5045974446,403882,0.03157626244565022,0.004158093318357668,0.05899443157294277,0.09004088328946608,"['vision', 'visual', 'computer', 'impaired', 'computer vision', 'low', 'eye', 'user', 'people', 'users', 'text', 'recognition', 'environment', 'images', 'algorithms']"
48,237,139478809,64900.0,0.04900662251655629,0.2664900662251655,0.2461387513517451,0.2868413810985859,755,465.3036577047342,54,45525255.453600995,26320762,0.2924275451732991,0.24035133055608068,0.3445037597905175,0.028694918438016297,"['neurons', 'circuits', 'sensory', 'neural', 'circuit', 'brain', 'neuronal', 'motor', 'cortical', 'behavioral', 'activity', 'behavior', 'cortex', 'dynamics', 'disorders']"
49,76,54515767,4709.0,0.11614730878186968,0.41586402266288947,0.3817940191480333,0.44993402617774564,353,86.37868013486813,0.0,13116129.340859065,7023593,0.21725959370581208,0.11452416071299515,0.319995026698629,0.1122309290105575,"['diabetes', 'type', 'patients', 'risk', 'control', 'study', 'adverse', 'center', 'chronic', 'care', 'management', 'genetic', 'adults', 'outcomes', 'disease']"
50,79,18258859,3567.0,0.0,0.15808383233532938,0.128840003514132,0.18732766115652677,167,195.35722358116683,0.0,7295501.611927,2586918,0.37308121685964707,0.27878397476510014,0.467378458954194,0.124978396012949,"['students', 'course', 'science', 'school', 'neuroscience', 'computational', 'program', 'training', 'biology', 'computer', 'biomedical', 'medical', 'support', 'biological', 'phase']"
51,147,53617272,13231.0,0.14136125654450263,0.4948516579406632,0.46840681428542014,0.5212965015959063,573,246.76749686183211,0.0,13026456.311006086,7226592,0.21528939255108875,0.1894000304073987,0.2411787546947788,0.18184698431274895,"['alcohol', 'brain', 'exposure', 'disorders', 'risk', 'children', 'effects', 'consortium', 'treatment', 'youth', 'spectrum', 'substance', 'projects', 'individuals', 'intervention']"
52,124,71035212,6114.0,0.1141439205955335,0.447394540942928,0.4161938420124943,0.4785952398733617,403,86.06999019021721,3,44177625.482552774,10759003,0.475748520765303,0.45113969380472024,0.5003573477258857,0.19671179374393633,"['stroke', 'recovery', 'patients', 'treatment', 'risk', 'brain', 'language', 'imaging', 'disability', 'acute', 'motor', 'cause', 'patient', 'blood', 'effectiveness']"
53,385,200313642,257613.0,0.09579497387409804,0.3819606867379945,0.37229223977388043,0.39162913370210856,4019,1286.048206342332,0.0,62096972.23710538,18100390,0.30661508158037304,0.25023991461323514,0.36299024854751094,0.03491268746975911,"['cancer', 'prostate', 'tumor', 'patients', 'cancers', 'treatment', 'methods', 'patient', 'analysis', 'mutations', 'biomarkers', 'cell', 'risk', 'breast', 'molecular']"
54,363,171705418,104116.0,0.017454954954954954,0.1912443693693694,0.18044360421435893,0.20204513452437986,1776,606.3640927160493,74,34491408.66341124,15013942,0.18325776978003833,0.15012056464981546,0.2163949749102612,0.04354834005832073,"['gene', 'regulatory', 'expression', 'gene expression', 'genes', 'regulation', 'genome', 'cell', 'human', 'transcription', 'dna', 'elements', 'networks', 'computational', 'methods']"
55,168,88784724,24602.0,0.19011406844106463,0.489448669201521,0.4603930360422468,0.5185043023607953,526,277.09721776011827,1,30836234.764898703,18832556,0.2868640022578306,0.24922460352180426,0.32450340099385694,0.1622784815211688,"['asd', 'autism', 'children', 'brain', 'disorder', 'spectrum', 'behavioral', 'connectivity', 'early', 'disorders', 'social', 'infants', 'functional', 'developmental', 'risk']"
56,120,73927328,19878.0,0.06306306306306306,0.33783783783783783,0.3096391851338839,0.36603649054179177,444,268.8856818956043,26,22428166.769204278,11723348,0.25810690637309636,0.21924374509666794,0.29697006764952477,0.055635190450708756,"['tumor', 'cancer', 'tumors', 'cell', 'cells', 'immune', 'resistance', 'therapy', 'cancers', 'response', 'therapeutic', 'molecular', 'treatment', 'progression', 'targeted']"
57,336,172618110,190505.0,0.19587389893370422,0.481432545201669,0.4712496610066943,0.4916154293966437,4314,1103.621166979525,0,19379379.042129215,19577862,0.0948167480731428,0.041580945213990986,0.14805255093229464,0.01856798606491507,"['image', 'images', 'imaging', 'analysis', 'software', 'image analysis', 'segmentation', 'medical', 'algorithms', 'automated', 'techniques', 'methods', 'user', 'resolution', 'open']"
58,65,68005181,15769.0,0.16071428571428573,0.5280612244897959,0.49752431545272524,0.5585981335268665,392,231.87939165987956,3,16594421.818061136,1831488,0.2239447097953849,0.12032568293252807,0.3275637366582417,0.33784930290931764,"['asthma', 'children', 'genetic', 'childhood', 'gene expression', 'disease', 'expression', 'chronic', 'gene', 'pediatric', 'variants', 'exposure', 'severe', 'nlp', 'identify']"
59,269,181450657,188818.0,0.08443928334439284,0.3541887856668879,0.3463180068984349,0.3620595644353409,6028,1040.6024597640337,856,39563777.59103335,42390875,0.21605054830104106,0.15491521918467777,0.27718587741740436,0.0010770114731989086,"['tools', 'informatics', 'community', 'software', 'biomedical', 'core', 'neuroscience', 'computational', 'center', 'large', 'researchers', 'support', 'development', 'resource', 'data sets']"
