Cluster,Size,Total,Average award (2000-2020),SD,Average institutional award (2020),SD,Projected 2021 Award,Actual 2021 Award To Date,,,,,Growth Rate,Bounds,Bounds,Score,Centroids
23,53,22005946,415206.5283,74230.73703,236963393.6,54841923.04,1175150.187,256469,0.011,-0.026,0.048,0.011 (-0.026 - 0.048),0.010592367,-0.026131995,0.047316728,0.403975246,"['asthma', 'children', 'pediatric', 'care', 'disparities', 'exposure', 'projects', 'expression', 'gene expression', 'chronic']"
22,48,20403099,425064.5625,90018.74861,319559791.1,65376844.95,11358721.96,3922499,0.586,0.400,0.797,0.586 (0.4 - 0.797),0.461494133,0.336633493,0.586354774,0.347977596,"['suicide', 'risk', 'behavior', 'prevention', 'factors', 'psychiatric', 'youth', 'risk factors', 'controls', 'prediction']"
24,39,10415398,267061.4872,60999.16713,224000235.1,66141083.09,5196390.683,988805,0.458,0.307,0.626,0.458 (0.307 - 0.626),0.377072184,0.267817084,0.486327285,0.301214497,"['sepsis', 'patients', 'blood', 'care', 'infection', 'detection', 'pediatric', 'learning', 'hospital', 'early']"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
