pmid,year,title,authors,journal,is_research_article,relative_citation_ratio,nih_percentile,human,animal,molecular_cellular,apt,is_clinical,citation_count,citations_per_year,expected_citations_per_year,field_citation_rate,provisional,x_coord,y_coord,cited_by_clin,cited_by,references,doi
21097198,1992,Quantitative analysis of coronary artery restenosis after coronary angioplasty--has the rose lost its bloom?,K L Gould,J Am Coll Cardiol,No,0.4,21.7,1.0,0.0,0.0,0.25,No,13,0.4482758620689655,1.1092845975515055,4.78621236284341,No,0.0,1.0,[8181124],"[8149420, 7484764, 8181124, 8078169, 8370189, 7832103, 9025823, 7538920, 7641318, 7979067, 8462076, 8087964, 18215820]","[2243428, 2243429, 1552115, 1973470, 2215615, 3293842, 2205799, 1894868]",10.1016/0735-1097(92)90275-r
21097198,2005,To smooth or not to smooth? ROC analysis of perfusion fMRI data.,"Jiongjiong Wang, Ze Wang, Geoffrey K Aguirre, John A Detre",Magn Reson Imaging,Yes,1.05,52.0,1.0,0.0,0.0,0.75,No,37,2.3125,2.2059309959109807,4.631452072187786,No,0.0,1.0,"[19289172, 22832118]","[30540621, 33847819, 23822813, 23564221, 26026814, 32882381, 31954173, 22216081, 19289172, 20156573, 16387205, 23666175, 17983962, 21710268, 19000770, 24657924, 25966957, 22789842, 21511443, 22832118, 27537490, 16604307, 33850611, 26376736, 24029699, 23849331, 24443217, 25873287, 20578044, 29196191, 20429137, 28087234, 17826940, 20813627, 19189286, 32840683, 17524674]","[7674899, 10893532, 9343600, 9430354, 11707093, 10329292, 12948702, 112681, 10571931, 1400644, 10075901, 11848692, 11443717, 10913325, 8014211, 7500865, 9811554, 12704760, 14972387, 9345548, 11025504, 8622592, 12210932, 11526212, 9345549, 9581600, 10944411, 10800045, 11976042, 11180431]",10.1016/j.mri.2004.11.009
21097198,1992,Patterns of neck muscle activation in cats during reflex and voluntary head movements.,"E A Keshner, J F Baker, J Banovetz, B W Peterson",Exp Brain Res,Yes,2.0,74.9,0.0,1.0,0.0,0.25,No,43,1.4827586206896552,0.7420708772712525,2.7591232354340463,No,0.8660254037844386,-0.5,"[8910241, 7851516]","[7813658, 7798380, 14769554, 9178225, 8871098, 10400970, 7823114, 7666139, 12625570, 9559980, 17091287, 9928838, 8496970, 10664480, 8056075, 17615105, 26724676, 11710479, 15647395, 8013593, 28387695, 7498389, 7498397, 8986887, 8517120, 25620919, 8910241, 11600635, 11748740, 18562554, 7666140, 9063721, 12686571, 20097603, 12608720, 7851516, 28878731, 17537909, 9224854, 14653180, 12520408, 18162402, 7666209]","[3749885, 1864335, 3876413, 467530, 2968442, 3491185, 4085606, 3485706, 6519232, 689126, 6319622, 2022754, 3607486, 6297667, 2721613, 3490396, 1136166, 7162625, 3082659, 6481430, 7143039, 1255225, 3595779, 1183508, 824413, 2955083, 3236061, 14121113, 809548, 3162006, 4702433, 2226682]",10.1007/BF02259112
3225477,1992,Expanding the concept of medical information: an observational study of physicians' information needs.,"D E Forsythe, B G Buchanan, J A Osheroff, R A Miller",Comput Biomed Res,Yes,6.32,95.6,1.0,0.0,0.0,0.5,No,120,4.137931034482759,0.654844081048888,2.2776148372561047,No,0.0,1.0,[18096918],"[22195052, 9925225, 33120430, 15120659, 28398094, 1482884, 22003373, 18316247, 10566457, 20405092, 11055302, 7850563, 12386114, 10566504, 15802487, 10566438, 29025114, 32127233, 8979239, 8130550, 22208182, 16636705, 16636706, 12914554, 11187652, 9357641, 9580710, 10974185, 8913556, 30474071, 7602244, 16779158, 8952308, 16497680, 17238357, 21890874, 7719792, 14534647, 11465689, 12909153, 9374962, 10075133, 8898602, 11861631, 10848393, 17824871, 9420496, 19750182, 9681177, 19827262, 7930850, 22762864, 16290243, 10757478, 10550024, 15494761, 9357711, 11022530, 7949990, 8883985, 16239963, 8428184, 11079947, 22094355, 19474221, 26065983, 9929189, 11515415, 9891148, 11337949, 21345380, 11169091, 9550841, 21203677, 11299647, 8713757, 10824349, 19745445, 10050570, 9799327, 18805050, 7647838, 18096918, 15090132, 12463903, 14728167, 10710929, 8251976, 9160156, 19283310, 17286722, 17460122, 9929301, 8547898, 28971415, 14566376, 19018911, 9780535, 18675380, 31299685, 8563267, 9420495, 9200584, 1482993, 10202428, 26377952, 1484270, 9681174, 1482926, 18974810, 11208260, 23268485, 17238421, 17102306, 15684125, 11604973, 9357687, 10566464, 8547967, 15227551]","[2790344, 6631926, 2079895, 6620348, 2248632, 5058798, 2001091, 4037559, 7171877, 7350355, 2909205, 7205918, 2122168, 2407929, 2407930, 10282217, 6699568]",10.1016/0010-4809(92)90020-b
3731745,1992,Predicting protein secondary structure using neural net and statistical methods.,"P Stolorz, A Lapedes, Y Xia",J Mol Biol,Yes,1.25,58.6,0.0,0.0,1.0,0.05,No,45,1.5517241379310345,1.2448042396419379,5.534306395991922,No,-0.8660254037844386,-0.5,,"[9415987, 8771202, 10877475, 9963044, 7757006, 11563321, 8019421, 8350352, 11969601, 12786198, 8356056, 7849600, 12504253, 9960741, 8513752, 7577845, 7757016, 8521049, 7549882, 7577841, 8371270, 11369855, 31442779, 8790631, 8727318, 9325115, 10890399, 27787818, 7583693, 8528086, 7620983, 7630879, 7548312, 7763836, 8170919, 10737934, 9342139, 8697234, 17236807, 12210997, 8345525, 9300496, 16025102, 12766400, 32893403]","[6051594, 3172241, 1180967, 364941, 2748568, 16593901, 2370661, 3430614, 2911565, 6667333, 3197832, 10035458]",10.1016/0022-2836(92)90927-c
3731745,1992,Pattern-induced multi-sequence alignment (PIMA) algorithm employing secondary structure-dependent gap penalties for use in comparative protein modelling.,"R F Smith, T F Smith",Protein Eng,Yes,4.98,93.4,0.0,0.0,1.0,0.05,No,222,7.655172413793103,1.5359906121263136,7.141710196869436,No,-0.8660254037844386,-0.5,[9445059],"[11230543, 11717263, 8264413, 7984182, 15852503, 8635735, 10087916, 8640222, 7869379, 9699675, 8254752, 11914353, 9173872, 23820391, 9074930, 9144720, 10547297, 10404625, 9722531, 9521122, 7833593, 7749197, 17123587, 16224785, 18435571, 10997901, 12486525, 8627686, 12888489, 8283480, 7496039, 11051103, 7655077, 10687950, 8683587, 9013889, 9827004, 11328851, 8419480, 24334383, 14980012, 12930993, 11054259, 9989991, 9857015, 14552658, 8482381, 8985398, 10546896, 29878046, 10233985, 19808039, 9196063, 21867510, 8662689, 12504572, 10068696, 9445059, 9334180, 10501972, 9375009, 9171424, 9768512, 8378334, 9106188, 9416613, 8078398, 23793754, 24170403, 8298459, 18546472, 12553879, 8062384, 1279700, 10097093, 15668398, 8794346, 10715207, 16220683, 17097065, 7720070, 11438676, 9405347, 9049310, 8924200, 9749915, 14616117, 10428950, 11694576, 9055856, 9419208, 10574929, 32372711, 11056059, 9032316, 11403999, 15509307, 9183529, 8819157, 8039932, 8964500, 9829972, 8663989, 9418880, 8084005, 26055803, 18592193, 8277858, 9753469, 12112692, 7945799, 19594869, 8844021, 10467004, 22271798, 10585501, 7844823, 12217916, 8743995, 9428527, 19365790, 8132674, 8899723, 12656550, 1390752, 16044462, 9497261, 9560252, 9768617, 10542235, 7837269, 15530438, 10829228, 8419635, 9857202, 7620991, 9372926, 11969410, 9161418, 7908117, 7851754, 7713493, 9323128, 12036985, 8521274, 12033984, 9153083, 8980688, 11300769, 7537222, 8350346, 11762591, 9581882, 10331264, 8743693, 9258675, 8523557, 9132271, 11908896, 21071394, 11951993, 8302219, 10867707, 14962914, 8019423, 11524372, 9478926, 7489894, 10672931, 1589796, 8382394, 1591248, 9619507, 9632831, 32393178, 10338523, 15041020, 10477187, 18789769, 11714269, 1457200, 11243926, 11470846, 12664264, 12136088, 7877484, 30851115, 10620324, 21354972, 18971242, 9514731, 10972794, 8234244, 10583384, 10675748, 8143488, 11237259, 11731267, 8727317, 8259084, 9695820, 10373585, 10213308, 9704087, 9707402, 20530533, 9799556, 18429149, 7773169, 9485309, 7933130, 9555906, 20813050, 9605865, 9614273, 7984417, 14751993, 7744961, 27065770, 9416619, 9677405, 12144173]","[3656444, 2720461, 3795999, 2163535, 3709526, 3244695, 3381086, 5420325, 3430622, 1853201, 2319605, 3550471, 3430611, 2381905, 3858804, 7265238, 3474607, 4358939, 2720464, 16593289, 7373651, 2231712, 4427384, 2898280, 2593679, 3412459, 3148736, 2849754, 642007, 2751764, 4358940, 1978340, 3507699, 2017436, 3507691, 1881879, 1988672, 3507702, 3754149, 2685324, 2296575, 6667333, 3118049]",10.1093/protein/5.1.35
3600400,1992,Toward normative expert systems: Part II. Probability-based representations for efficient knowledge acquisition and inference.,"D E Heckerman, B N Nathwani",Methods Inf Med,Yes,1.31,60.4,1.0,0.0,0.0,0.25,No,35,1.206896551724138,0.9216680338488081,3.750533477769639,No,0.0,1.0,,"[9787619, 9308736, 11604776, 30451397, 33591972, 24769791, 12594089, 11158658, 12069762, 25977789, 20933375, 26830286, 12052424, 32782264, 9177816, 10906615, 8130508, 23304352, 15831415, 9055043, 19207088, 22958613, 19348691, 9308721, 30599506, 23886921, 31207591, 24529699, 15081072, 10632745, 23419697, 24355978, 11016034, 10495098, 27378822]",[1547627],
3731745,1992,Toward normative expert systems: Part I. The Pathfinder project.,"D E Heckerman, E J Horvitz, B N Nathwani",Methods Inf Med,Yes,3.07,85.9,1.0,0.0,0.0,0.75,No,73,2.5172413793103448,0.8196039239954472,3.187120304578385,No,0.0,1.0,,"[18249785, 33055163, 9308736, 7743320, 10984462, 8295547, 22439121, 19614765, 18779083, 24769791, 33591972, 12667742, 24558297, 19846377, 24324773, 12069762, 20933375, 9223036, 26830286, 26834313, 9357621, 17704008, 17238362, 11861623, 9055043, 7869953, 19207088, 8325004, 7799817, 26410326, 22958613, 8563281, 10564842, 31207591, 15081072, 10632745, 11058776, 10984470, 27378822, 25954448, 9787619, 9292926, 12806558, 16779059, 15617979, 25742032, 16761818, 30451397, 18096268, 10564843, 11341526, 22146913, 25977789, 23466438, 17005318, 9177816, 32782264, 10906615, 24688427, 8130508, 15831415, 21964969, 20152931, 21152673, 30599506, 15152921, 9308721, 11329845, 23433717, 25571435, 23419697, 10495098, 12743653]","[4582702, 738024, 1762579, 13783190, 3893877, 1547627, 4024391, 3544509, 7070445, 2403974, 4552594, 334362, 6948126, 21868885, 982034, 1762578, 5696985, 1091409, 4568217, 13668531, 17835457, 332357, 7048091]",
3298989,1992,Determination of eukaryotic protein coding regions using neural networks and information theory.,"R Farber, A Lapedes, K Sirotkin",J Mol Biol,Yes,1.1,54.0,0.0,0.0,1.0,0.05,No,50,1.7241379310344827,1.5603342653296144,7.276091762711187,No,-0.8660254037844386,-0.5,,"[7984429, 11787008, 9415987, 12144355, 19204805, 15862117, 24307566, 18399326, 12869578, 10198117, 8019421, 8217302, 16749184, 21575644, 17395691, 7816600, 8905152, 23529114, 19281973, 8572264, 24709703, 14712649, 18255628, 20140062, 9419356, 7586902, 9652095, 31704313, 9183531, 11860211, 7583700, 9830312, 8727317, 16241270, 7620983, 12543131, 8346232, 16046819, 16689206, 21491847, 7985239, 24806471, 9300666, 7937158, 22917190, 7796272, 7497122, 8521276, 8441672, 8743678]","[6364039, 6364041, 7145702, 7063399, 3839071, 3134115, 3281255, 3917036, 6694906]",10.1016/0022-2836(92)90961-i
6376944,1991,Patient reports of symptoms and quality of life following prostate surgery.,F J Fowler,Eur Urol,Yes,1.84,72.2,1.0,0.0,0.0,0.5,No,30,1.0,0.543790147294191,2.0666234330949886,No,0.0,1.0,"[9334613, 15986401, 8700804]","[10880732, 7799493, 9334613, 7529959, 9836554, 7996652, 9284190, 8578261, 9510348, 7544816, 20881152, 7687555, 11805414, 22805078, 12603419, 15986401, 11786676, 10555615, 10786526, 7527166, 22041923, 7544815, 8700804, 9196969, 12296615, 9257397, 10087388, 7528177, 7513106, 9000178]","[3543419, 2452904, 2641206, 2810501, 2508914, 3958407, 6630688, 2452905]",10.1159/000471746
3298989,1991,Probabilistic diagnosis using a reformulation of the INTERNIST-1/QMR knowledge base. I. The probabilistic model and inference algorithms.,"M A Shwe, B Middleton, D E Heckerman, M Henrion, E J Horvitz, H P Lehmann, G F Cooper",Methods Inf Med,Yes,2.09,76.3,0.0,0.0,0.0,0.25,No,50,1.6666666666666667,0.7956443276715304,3.385078933189217,No,0.0,-0.75,[28729710],"[33947060, 28586634, 10984462, 8205799, 7950030, 33228143, 12052424, 8346173, 17704008, 27488403, 7968852, 9055043, 19255008, 9219185, 7950029, 8282430, 7950028, 9201385, 19409641, 1635470, 29275493, 12806558, 7938772, 30396337, 25247174, 15797002, 27488402, 22146913, 17937494, 25977789, 23466438, 7719792, 9177816, 32782264, 1482895, 23920597, 21964969, 15360892, 10648846, 17911786, 23886921, 32497038, 21958683, 7956129, 23419697, 28729710, 26464024, 29402991, 8289533, 8220686]","[2205445, 3537611, 3886276, 6374372, 2653156, 3931972, 7048091, 3544509, 2695783]",
6363520,1991,Probabilistic diagnosis using a reformulation of the INTERNIST-1/QMR knowledge base. II. Evaluation of diagnostic performance.,"B Middleton, M A Shwe, D E Heckerman, M Henrion, E J Horvitz, H P Lehmann, G F Cooper",Methods Inf Med,Yes,1.8,71.5,0.0,0.0,0.0,0.25,No,38,1.2666666666666666,0.7043688877433392,2.907252416208077,No,0.0,-0.75,[8735024],"[8723611, 7729934, 9308736, 1635470, 10984462, 1470034, 7938772, 25742032, 7950030, 12667742, 27488402, 8358494, 22146913, 7719792, 12909165, 21346932, 10906615, 1482895, 7968852, 9055043, 30815154, 9219185, 15460699, 10648846, 8190157, 29679019, 7554865, 18998893, 16242309, 23419697, 16646956, 8735024, 10495102, 10495098, 12871403, 8289533, 10495101, 8220686]","[3537611, 2653156, 2407929, 2232956, 7048091, 3544509]",
3600400,1991,Algorithms for Bayesian belief-network precomputation.,"E H Herskovits, G F Cooper",Methods Inf Med,Yes,0.59,31.8,0.0,0.0,0.0,0.05,No,8,0.26666666666666666,0.4529831712200025,1.5912493222799071,No,0.0,-0.75,,"[18066425, 7719809, 31818388, 31509982, 10984462, 1292445, 7719792, 1470034]",[],
