Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Centroids
14,109,34591809,45124,0.06684492,0.323729947,0.301517456,0.345942437,748,1304.470662,6637028.989,4795755,0.178057683,0.152780516,0.20333485,0.130167728,Epigenetics,Genetics,"['methylation', 'dna', 'epigenetic', 'gene', 'expression', 'gene expression', 'patterns', 'cell', 'sequencing', 'genes', 'genome', 'human', 'disease', 'cancer', 'sequence']"
24,308,131498038,137325,0.109957239,0.325931582,0.309975239,0.341887925,1637,1044.312159,31333299.4,22717499,0.217948349,0.168479167,0.267417531,0.038733089,Regulatory genomics,Genetics,"['regulatory', 'genome', 'variants', 'gene', 'human', 'genetic', 'transcription', 'regulation', 'elements', 'mutations', 'binding', 'variation', 'cell', 'dna', 'sequence']"
49,254,129547116,76868,0.155291171,0.465278647,0.449163158,0.481394137,1597,593.3594076,15398808.94,10016293,0.094622153,0.045281431,0.143962875,0.039119421,Genome wide association studies,Genetics,"['genetic', 'gene', 'gwas', 'association', 'variants', 'genome', 'genes', 'risk', 'susceptibility', 'genome wide', 'disease', 'studies', 'wide', 'aim', 'study']"
52,108,76418316,40930,0.110041265,0.420288858,0.397072224,0.443505493,727,535.6045794,15088054.69,8004516,0.16534296,0.117989675,0.212696245,0.039747504,Clinical genomics,Genetics,"['genetic', 'variants', 'testing', 'genes', 'mutations', 'aim', 'test', 'specific', 'assay', 'dna', 'sequencing', 'specific aim', 'database', 'resistance', 'phenotypic']"
55,77,26727089,39099,0.025559105,0.221884984,0.194688833,0.249081135,313,1462.897811,5104883.734,4837929,0.16630775,0.112474648,0.220140852,0.194779854,RNA sequencing,Genetics,"['rna', 'human', 'sequencing', 'regulation', 'binding', 'structure', 'regulatory', 'computational', 'coding', 'genome', 'gene', 'expression', 'functional', 'function', 'cell']"
6,152,61319110,8985,0.130784708,0.427665996,0.398296528,0.457035464,497,146.5285455,28841070.86,16513089,0.438408522,0.358825205,0.51799184,0.065891449,Positron emission tomography (PET),Imaging methods,"['pet', 'radiation', 'ct', 'planning', 'imaging', 'dose', 'treatment', 'image', 'therapy', 'cancer', 'patient', 'mri', 'tumor', 'tumors', 'mr']"
10,372,161847564,129594,0.207003409,0.511264332,0.499745059,0.522783606,3227,800.7164074,19484548.86,18914230,0.103199673,0.065146025,0.14125332,0.023446956,Computer aided detection (CAD),Imaging methods,"['image', 'images', 'cad', 'imaging', 'detection', 'analysis', 'computer', 'image analysis', 'lesions', 'software', 'diagnosis', 'algorithms', 'cancer', 'digital', 'medical']"
32,229,118463743,99015,0.24021793,0.517087667,0.502109835,0.532065499,2019,835.8253546,51203201.54,30156729,0.525445991,0.323066674,0.727825309,0.032222226,Magnetic resonance imaging (MRI),Imaging methods,"['mri', 'imaging', 'motion', 'mr', 'image', 'tissue', 'resolution', 'prostate', 'contrast', 'magnetic', 'resonance', 'cardiac', 'brain', 'images', 'quantitative']"
2,538,286955399,118715,0.134780534,0.428936069,0.418928787,0.438943351,4192,413.7054065,151784476.2,74786186,0.436979695,0.387160874,0.486798516,-0.018176165,Non-descript,N/A,"['treatment', 'brain', 'imaging', 'substance', 'biomarkers', 'disease', 'substance use', 'disorders', 'disorder', 'neuroimaging', 'opioid', 'study', 'patients', 'aim', 'identify']"
3,475,220500161,65063,0.163095238,0.460952381,0.447933752,0.47397101,2520,295.0700793,93988616.3,51785447,0.38963346,0.315128145,0.464138776,0.00939528,Non-descript,N/A,"['care', 'patients', 'patient', 'outcomes', 'treatment', 'quality', 'hospital', 'electronic', 'improve', 'medical', 'risk', 'acute', 'ehr', 'healthcare', 'health care']"
9,780,376538278,371550,0.082927314,0.342194491,0.336096739,0.348292244,10057,986.7522685,72302072.38,73525598,0.183354763,0.1279021,0.238807426,-0.020693436,Non-descript,N/A,"['methods', 'analysis', 'disease', 'computational', 'tools', 'models', 'software', 'biological', 'statistical', 'human', 'genomic', 'model', 'diseases', 'genome', 'large']"
12,348,150484697,42340,0.157350869,0.466932832,0.452802618,0.481063047,2129,281.3575124,127332035.7,47906954,0.673926615,0.615689543,0.732163688,0.015281183,Non-descript,N/A,"['risk', 'patients', 'factors', 'risk factors', 'prediction', 'screening', 'heart', 'study', 'disease', 'treatment', 'high risk', 'identify', 'care', 'patient', 'early']"
18,429,180642432,35508,0.078325456,0.316509115,0.301007944,0.332010287,1481,196.5651127,78064211.18,49369125,0.438778424,0.35150616,0.526050688,-0.008570246,Non-descript,N/A,"['surgical', 'phase', 'device', 'surgery', 'time', 'monitoring', 'real', 'technology', 'patients', 'real time', 'devices', 'patient', 'detection', 'phase ii', 'ii']"
20,65,29181308,9080,0.025423729,0.19420904,0.169565418,0.218852661,354,311.1580879,4104047.896,910688,0.128139111,0.052316632,0.203961591,0.084812583,Abstract unavailable,N/A,"['abstract', 'available', 'adverse', 'effects', 'events', 'structure', 'analysis', 'foundation', 'model', 'signaling', 'network', 'response', 'center', 'discover', 'associated']"
34,355,137925995,46668,0.085152838,0.372445415,0.359748293,0.385142536,2290,338.3553622,13707898.21,7252835,0.07782073,0.037681821,0.11795964,-0.00152506,Non-descript,N/A,"['medical', 'information', 'patient', 'ehr', 'electronic', 'safety', 'records', 'language', 'natural language', 'text', 'language processing', 'natural', 'record', 'methods', 'care']"
42,331,132975085,8570,0.059375,0.35046875,0.326680216,0.374257284,640,64.44816335,56325290.95,29014475,0.371912934,0.324163048,0.41966282,-0.001045493,Non-descript,N/A,"['social', 'intervention', 'interventions', 'mobile', 'behavior', 'behavioral', 'treatment', 'control', 'study', 'training', 'support', 'care', 'families', 'risk', 'adolescents']"
4,162,164029580,19526,0.227743271,0.49989648,0.469215496,0.530577465,483,119.0395049,79345843.04,8015389,0.366647105,0.049889217,0.683404994,0.274297544,Pain management,Psychiatry,"['pain', 'chronic', 'treatment', 'patients', 'opioid', 'brain', 'care', 'management', 'treatments', 'low', 'effects', 'patient', 'self', 'assessment', 'mechanisms']"
7,309,253419033,117208,0.156110921,0.449109894,0.436974981,0.461244807,2921,462.5066974,143949881.1,59994553,0.427760946,0.372490233,0.48303166,0.177913658,Dementia,Neurology,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'dementia', 'cognitive', 'brain', 'risk', 'aging', 'imaging', 'biomarkers', 'pathology', 'early', 'mri', 'trials']"
8,146,66534960,27080,0.068762279,0.256188605,0.231005442,0.281371768,509,407.0040773,29939566.56,8974337,0.391632149,0.363312166,0.419952132,0.052913792,Single-neuron analysis,Neurology,"['neurons', 'neuronal', 'activity', 'cortical', 'cortex', 'neural', 'dynamics', 'circuits', 'brain', 'sensory', 'behavioral', 'responses', 'cell', 'behavior', 'circuit']"
16,136,42457458,12548,0.084886128,0.393995859,0.366031413,0.421960305,483,295.5428938,8101166.319,1794830,0.1724552,0.131346014,0.213564386,0.218542993,Speech disorders,Neurology,"['speech', 'language', 'motor', 'neural', 'communication', 'measures', 'time', 'real', 'model', 'real time', 'human', 'disorders', 'brain', 'control', 'normal']"
22,382,196135878,179198,0.20945589,0.515861067,0.505171074,0.526551061,3786,913.6421231,71871422.92,41930344,0.32272639,0.29699571,0.348457069,0.03129152,Functional MRI,Imaging methods,"['brain', 'fmri', 'imaging', 'connectivity', 'functional', 'human', 'analysis', 'methods', 'activity', 'eeg', 'neural', 'mri', 'neuroimaging', 'development', 'cognitive']"
26,207,73511681,29562,0.160690571,0.484661355,0.461467165,0.507855544,753,402.1401714,21798813.95,13503141,0.255370745,0.216971138,0.293770352,0.01429011,Neurocognition,Neurology,"['cognitive', 'attention', 'neural', 'control', 'brain', 'fmri', 'task', 'disorder', 'deficits', 'memory', 'mechanisms', 'disorders', 'emotion', 'negative', 'aging']"
28,128,73774961,7204,0.134090909,0.463522727,0.433216907,0.493828548,440,97.64830645,43108888.79,10759003,0.450989326,0.425973063,0.476005589,0.187749168,Stroke,Neurology,"['stroke', 'recovery', 'patients', 'brain', 'treatment', 'risk', 'language', 'imaging', 'acute', 'disability', 'motor', 'patient', 'aim', 'cause', 'blood']"
29,83,29561628,8386,0.092165899,0.382258065,0.340511974,0.424004155,217,283.6785579,18275563.48,10862336,0.537287531,0.442662849,0.631912213,0.240147521,Sleep,Neurology,"['sleep', 'eeg', 'memory', 'risk', 'disease', 'cardiovascular', 'brain', 'behavior', 'disorders', 'aim', 'sensory', 'markers', 'function', 'effects', 'role']"
30,320,136386234,49832,0.061013444,0.283298862,0.264585215,0.30201251,967,365.3741183,49341780.41,26553242,0.329463,0.287314515,0.371611484,0.02373896,Neural circuits,Neurology,"['neural', 'brain', 'memory', 'circuit', 'activity', 'circuits', 'behavior', 'behavioral', 'social', 'mechanisms', 'understanding', 'cortex', 'sensory', 'processing', 'disorders']"
37,174,52339824,11536,0.068888889,0.361,0.334038867,0.387961133,450,220.4057851,7516290.411,2816750,0.123515759,0.089685833,0.157345684,0.117502974,Language development,Development,"['language', 'infants', 'children', 'acquisition', 'statistical', 'speech', 'input', 'disorders', 'patterns', 'development', 'processing', 'proposed', 'natural', 'natural language', 'mechanisms']"
40,240,80327595,40519,0.054782609,0.371304348,0.354213912,0.388394783,1150,504.4219237,8830018.673,7086737,0.088730436,0.071156984,0.106303888,0.067955646,Vision,Neurology,"['visual', 'vision', 'eye', 'computer', 'impaired', 'recognition', 'computer vision', 'low', 'images', 'people', 'information', 'human', 'understanding', 'neural', 'user']"
44,112,60272483,10547,0.111111111,0.377203065,0.337599452,0.416806678,261,174.9886428,10812749.71,10817911,0.171516649,0.134351756,0.208681543,0.082775527,Motor disorders,Neurology,"['motor', 'movement', 'control', 'stimulation', 'neural', 'function', 'signals', 'injury', 'sensory', 'signal', 'activity', 'circuits', 'studies', 'brain', 'development']"
45,169,95854069,32214,0.192012289,0.520199693,0.494657081,0.545742304,651,336.07337,28149509.71,18089319,0.25807215,0.225676346,0.290467954,0.155207311,Autism,Development,"['asd', 'autism', 'children', 'brain', 'disorder', 'connectivity', 'behavioral', 'spectrum', 'disorders', 'early', 'social', 'infants', 'functional', 'developmental', 'language']"
47,87,45044673,49225,0.02005231,0.246207498,0.231463845,0.26095115,1147,1092.804026,11657843.41,3681848,0.281301988,0.193704151,0.368899825,0.067208253,Neuroscience,Neurology,"['neuroscience', 'core', 'computational', 'neuronal', 'tools', 'center', 'brain', 'informatics', 'integrated', 'consortium', 'community', 'training', 'complex', 'alcohol', 'resources']"
57,51,16009921,5966,0.152,0.4588,0.401010121,0.516589879,125,372.6439375,8369404.712,4179368,0.431662883,0.382936626,0.480389141,0.244611625,Parkinson's disease,Neurology,"['pd', 'disease', 'cognitive', 'stimulation', 'brain', 'dysfunction', 'motor', 'biomarkers', 'progression', 'biomarker', 'early', 'patients', 'blood', 'study', 'identify']"
13,438,257558346,273375,0.096802842,0.384702487,0.375533188,0.393871785,4504,1061.409984,73888631.34,26251446,0.26437038,0.22662628,0.302114479,0.032271677,Cancer genomics,Oncology,"['cancer', 'prostate', 'tumor', 'cancers', 'patients', 'treatment', 'cell', 'analysis', 'methods', 'patient', 'mutations', 'biomarkers', 'genomic', 'tumors', 'computational']"
27,153,51518241,17265,0.141176471,0.432156863,0.403035592,0.461278134,510,335.1240195,15930325.32,8629928,0.313659726,0.242814947,0.384504506,0.129618068,Lung cancer,Oncology,"['lung', 'lung cancer', 'cancer', 'ct', 'screening', 'patients', 'disease', 'controls', 'model', 'models', 'genetic', 'cases', 'gene', 'imaging', 'dose']"
36,225,74851223,22925,0.134720701,0.425191676,0.404290597,0.446092754,913,306.2742208,12113029.21,9623282,0.15230535,0.11588816,0.18872254,0.155959823,Breast cancer,Oncology,"['breast', 'breast cancer', 'cancer', 'women', 'risk', 'screening', 'imaging', 'tumor', 'patients', 'decision', 'detection', 'early', 'diagnosis', 'cancers', 'computer']"
54,180,72567330,22073,0.11237785,0.390309446,0.364549798,0.416069094,614,304.1726904,19815707.39,10466517,0.240706285,0.20824276,0.273169809,0.07951128,Cancer imaging,Oncology,"['tumor', 'tumors', 'cancer', 'imaging', 'treatment', 'tissue', 'cell', 'image', 'therapy', 'brain', 'cells', 'patient', 'molecular', 'patients', 'response']"
17,246,106895349,21302,0.064935065,0.353293135,0.335342086,0.371244185,1078,199.2790163,37122978.14,15826673,0.301778214,0.243327401,0.360229026,0.224352363,HIV,Other,"['hiv', 'infection', 'risk', 'prevention', 'social', 'associated', 'study', 'care', 'patients', 'therapy', 'cells', 'brain', 'treatment', 'individuals', 'behaviors']"
48,148,73214896,112285,0.081151832,0.36601767,0.355203722,0.376831618,3056,1533.635997,24537551.53,18729416,0.296502368,0.234058229,0.358946508,0.059306712,Environmental health,Other,"['environmental', 'exposure', 'risk', 'life', 'aim', 'studies', 'effects', 'career', 'social', 'science', 'environment', 'study', 'function', 'early', 'cognitive']"
50,66,68167016,15773,0.158690176,0.523803526,0.493266695,0.554340358,397,231.3875673,16762196.66,1831488,0.22599543,0.12158127,0.330409589,0.329607147,Asthma,Other,"['asthma', 'children', 'childhood', 'genetic', 'disease', 'gene expression', 'expression', 'pediatric', 'chronic', 'gene', 'exposure', 'severe', 'variants', 'candidate', 'lung']"
58,299,147038941,51220,0.104920405,0.360853835,0.343550536,0.378157134,1382,348.3430964,28203223.68,18113084,0.166222913,0.143730715,0.188715111,0.05584163,Drug efficacy,Other,"['drug', 'drugs', 'discovery', 'safety', 'models', 'effects', 'adverse', 'treatment', 'chemical', 'resistance', 'novel', 'development', 'methods', 'target', 'computational']"
1,155,62244953,16605,0.147169811,0.460660377,0.433164827,0.488155928,530,266.7686166,26286561.63,16672270,0.391819506,0.342231671,0.44140734,0.058650476,Pediatrics,Patient populations,"['children', 'pediatric', 'early', 'age', 'developmental', 'development', 'child', 'outcomes', 'risk', 'study', 'infants', 'childhood', 'language', 'school', 'year']"
35,121,53679566,10239,0.113718412,0.396209386,0.369382184,0.423036589,554,190.7429728,17837889.97,8313738,0.263398727,0.209003974,0.31779348,0.145375405,Older adults,Patient populations,"['older', 'older adults', 'adults', 'depression', 'aging', 'risk', 'treatment', 'age', 'patients', 'cognitive', 'life', 'study', 'aim', 'care', 'outcomes']"
11,81,42657397,18173,0.179824561,0.529057018,0.499869453,0.558244582,456,426.0222442,28986662.79,10421198,0.588843635,0.439962303,0.737724967,0.291112383,Suicidality,Psychiatry,"['suicide', 'risk', 'behavior', 'factors', 'opioid', 'risk factors', 'death', 'study', 'prediction', 'prevention', 'youth', 'adolescents', 'patients', 'care', 'ehr']"
23,184,64212882,17466,0.144257703,0.49754902,0.473914968,0.521183071,714,272.0014965,13697910.56,7980299,0.19391233,0.156805683,0.231018978,0.154323767,Alcohol use disorder,Psychiatry,"['alcohol', 'brain', 'exposure', 'facial', 'effects', 'consortium', 'disorders', 'children', 'spectrum', 'risk', 'treatment', 'projects', 'imaging', 'individuals', 'substance']"
33,55,22072233,651,0.06557377,0.36557377,0.289542389,0.441605152,61,29.49407067,6071849.359,1779680,0.237838042,0.201981157,0.273694926,0.316430211,Cigarette smoking,Psychiatry,"['smoking', 'real', 'real time', 'time', 'stress', 'participants', 'environmental', 'interventions', 'assessment', 'field', 'real world', 'proposed', 'social', 'mobile', 'study']"
38,121,60350744,19410,0.233115468,0.515904139,0.483663497,0.548144782,459,321.6198959,30244752.88,16328539,0.392364201,0.335501829,0.449226573,0.080266544,Mental Health,Psychiatry,"['mental', 'mental health', 'disorders', 'treatment', 'illness', 'behavioral', 'social', 'training', 'depression', 'psychiatric', 'methods', 'patients', 'aim', 'early', 'care']"
56,81,32281718,9454,0.06116208,0.383333333,0.350664509,0.416002157,327,292.8592586,4282769.318,4239652,0.110508722,0.075896884,0.145120561,0.147331037,Emotion,Psychiatry,"['facial', 'emotion', 'social', 'expression', 'recognition', 'processing', 'automated', 'computer', 'children', 'measurement', 'behavior', 'autism', 'modeling', 'behavioral', 'coding']"
19,254,45257810,25496,0.128608924,0.439632546,0.420474141,0.458790951,1143,563.3502814,14186171.54,7295380,0.280125607,0.253582606,0.306668608,0.049252502,Research career programs,Training/Education,"['dr', 'training', 'career', 'disease', 'patients', 'independent', 'award', 'development', 'risk', 'candidate', 'career development', 'program', 'university', 'investigator', 'skills']"
31,224,112853548,43465,0.044007491,0.256039326,0.239842802,0.27223585,1068,385.1451795,8776302.508,6589218,0.047395118,0.012486109,0.082304127,0.053944997,Bibliometric analysis,Training/Education,"['biomedical', 'knowledge', 'text', 'literature', 'information', 'language', 'scientists', 'language processing', 'processing', 'mining', 'researchers', 'natural language', 'annotation', 'methods', 'systems']"
41,110,33437083,24553,0.107033639,0.39235474,0.371947135,0.412762345,981,734.3044846,7135978.17,3266879,0.169124085,0.082853836,0.255394333,0.119567119,"""Big data"" education",Training/Education,"['big', 'big data', 'science', 'biomedical', 'training', 'methods', 'scientists', 'tools', 'program', 'complex', 'social', 'brain', 'computing', 'computational', 'machine learning']"
43,66,15600277,3311,0.042253521,0.196126761,0.154146736,0.238106785,142,212.2398211,5338901.396,2586918,0.357294249,0.244564352,0.470024146,0.13991363,Science education,Training/Education,"['students', 'science', 'school', 'course', 'program', 'biomedical', 'biology', 'support', 'phase', 'software', 'technology', 'medical', 'computer', 'scientific', 'content']"
