Cluster,Size,Total,Citations,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,Bounds,Bounds,Score,Centroids
16,135,53258836,8691.0,379,163.18418975585573,16882014.11010724,5284552,0.2915797271832239,0.23353025445647674,0.34962919990997104,0.2389847925180801,"['hiv', 'infection', 'testing', 'risk', 'men', 'social', 'care', 'drug', 'behaviors', 'prevention']"
17,164,59975177,45533.0,904,759.1974259617441,16534496.873792607,6851847,0.270428089072078,0.20348910755304211,0.33736707059111387,0.08567181432258343,"['protein', 'proteins', 'structure', 'binding', 'interactions', 'computational', 'drug', 'structural', 'function', 'human']"
18,73,23755934,3789.0,197,159.49699136224237,5806496.440659344,2633125,0.22428431884784042,0.189187682393649,0.25938095530203187,0.2282494593006395,"['speech', 'language', 'communication', 'motor', 'disorder', 'individuals', 'impairment', 'assessment', 'processing', 'cognitive']"
19,74,22644066,11735.0,243,518.2373165667332,2710584.6874321257,3060657,0.09414869818779001,0.04358776505032244,0.14470963132525758,0.18583889180246535,"['ms', 'mass', 'disease', 'serum', 'ehr', 'biomarkers', 'patients', 'hcc', 'protein', 'multiple']"
20,86,32118337,25724.0,672,800.9131979653866,6178547.276946119,2262439,0.18383148723758114,0.12328542926904608,0.2443775452061162,0.12863256920275074,"['glaucoma', 'visual', 'disease', 'progression', 'pd', 'loss', 'learning', 'environmental', 'genetic', 'infants']"
21,278,118905115,164783.0,2428,1385.8360929216544,35099668.02787408,11503987,0.3132065708900554,0.2180081452100054,0.40840499657010537,0.0471699473412949,"['cancer', 'prostate', 'prostate cancer', 'risk', 'cancers', 'patients', 'tumor', 'treatment', 'men', 'screening']"
22,31,16568215,639.0,47,38.5678239931097,14466069.744311357,4739746,0.6632173491357315,0.4979298702454722,0.8285048280259908,0.35602277655003667,"['tb', 'active', 'host', 'patient', 'infection', 'mobile', 'signatures', 'identify', 'aim', 'hiv']"
23,96,34193950,9924.0,311,290.2267798835759,12780893.142122725,4290040,0.39506595537613015,0.3026252438323473,0.487506666919913,0.136248267005342,"['lung', 'lung cancer', 'nodules', 'cancer', 'ct', 'screening', 'cad', 'pulmonary', 'benign', 'cancer screening']"
24,758,316148551,100776.0,3965,318.7615432088443,125232036.54238084,59642482,0.3996997343905748,0.32501406454331994,0.4743854042378297,-0.007398190850920288,"['care', 'patients', 'patient', 'risk', 'medical', 'early', 'detection', 'sepsis', 'time', 'outcomes']"
25,54,23804768,6741.0,143,283.1785632189316,8821901.583814017,2316373,0.3204895715321952,0.24520956016899548,0.39576958289539493,0.27214498882649574,"['pain', 'treatment', 'patients', 'chronic', 'brain', 'self', 'treatments', 'management', 'disorder', 'fmri']"
26,70,26685454,8384.0,301,314.1786532842949,1511557.6982881702,487354,0.016108630971841228,-0.02494381001369975,0.05716107195738221,0.18449422370897042,"['cad', 'radiologists', 'detection', 'computer', 'image', 'images', 'breast', 'lesions', 'diagnosis', 'cancer']"
27,51,31133068,2465.0,159,79.1762636435317,12381199.580324536,4058161,0.31109230409079097,0.22159658414938202,0.40058802403219995,0.3139238140892363,"['stroke', 'patients', 'risk', 'treatment', 'prediction', 'imaging', 'cause', 'acute', 'leading', 'effectiveness']"
28,53,22005946,2482.0,122,112.78769837933802,1175150.1866148983,256469,0.010592366581662927,-0.026131994611632292,0.04731672777495814,0.4027678004304921,"['asthma', 'children', 'pediatric', 'disparities', 'care', 'exposure', 'projects', 'expression', 'gene expression', 'chronic']"
29,322,138030240,136703.0,2778,990.3844259055118,39250051.00202848,21368678,0.2546079207695876,0.22042744572319672,0.2887883958159785,0.02020379986593683,"['brain', 'cognitive', 'neural', 'imaging', 'functional', 'fmri', 'disorders', 'mri', 'learning', 'connectivity']"
