Description,Number of grants,Application category,Centroids,"Total Award, 2000-2020",Total citations,Silhouette score
 ,342, ,"['brain', 'imaging', 'neuroimaging', 'connectivity', 'functional', 'human', 'human brain', 'neuroscience', 'fmri', 'analysis', 'disorder', 'network', 'mri', 'tool', 'brain imaging']",174824195,147402.0,0.024415294343964524
 ,218, ,"['breast', 'breast cancer', 'cancer', 'woman', 'risk', 'tumor', 'screening', 'patient', 'biopsy', 'imaging', 'radiologist', 'model', 'detection', 'image', 'decision']",71100505,20849.0,0.1415193729054858
 ,182, ,"['mri', 'kidney', 'imaging', 'motion', 'cardiac', 'patient', 'image', 'mr', 'disease', 'heart', 'magnetic', 'contrast', 'scan', 'magnetic resonance', 'resonance']",76151576,74224.0,0.02723589537770595
 ,141, ,"['opioid', 'smoking', 'relapse', 'treatment', 'use disorder', 'intervention', 'addiction', 'risk', 'substance', 'end', 'real', 'mobile', 'state', 'individual', 'disorder']",55627794,7545.0,0.05408203842420315
 ,138, ,"['speech', 'language', 'production', 'motor', 'perception', 'hearing', 'disorder', 'communication', 'model', 'linguistic', 'neural', 'movement', 'human', 'control', 'measure']",43842639,12541.0,0.16763908791203572
 ,131, ,"['exposure', 'prenatal', 'alcohol', 'fetal', 'child', 'mixture', 'brain', 'facial', 'consortium', 'effect', 'environmental', 'spectrum', 'spectrum disorder', 'chemical', 'imaging']",49662280,51238.0,0.0809554981543102
 ,175, ,"['asd', 'autism', 'child', 'disorder', 'autism spectrum', 'spectrum disorder', 'brain', 'infant', 'spectrum', 'behavioral', 'connectivity', 'adhd', 'early', 'social', 'developmental']",99529523,32169.0,0.13643109013158566
 ,423, ,"['disease', 'patient', 'copd', 'biomarkers', 'treatment', 'therapy', 'progression', 'biomarker', 'pd', 'chronic', 'lung', 'early', 'identify', 'genetic', 'pulmonary']",164775436,62915.0,-0.007721746932370885
 ,539, ,"['gene', 'genome', 'regulatory', 'human', 'expression', 'dna', 'sequence', 'regulation', 'chromatin', 'gene expression', 'cell', 'disease', 'transcription', 'methylation', 'model']",275447553,211301.0,0.017014114714589707
 ,127, ,"['circuit', 'neural', 'neural circuit', 'brain', 'neuron', 'behavior', 'motor', 'behavioral', 'dynamic', 'activity', 'disorder', 'function', 'connectivity', 'movement', 'understanding']",112183650,62509.0,0.10179638407996441
 ,324, ,"['disorder', 'symptom', 'psychosis', 'mental', 'emotion', 'psychopathology', 'youth', 'mental health', 'brain', 'mood', 'risk', 'treatment', 'neuroimaging', 'trauma', 'outcome']",176720906,47705.0,0.00016090011662030893
 ,56, ,"['malaria', 'control', 'pregnancy', 'transmission', 'resistance', 'intervention', 'vector', 'child', 'infection', 'vaccine', 'disease', 'infectious', 'strain', 'collaboration', 'population']",22245588,1775.0,0.3413167460283499
 ,68, ,"['sleep', 'disparity', 'cvd', 'behavior', 'disorder', 'risk', 'cardiovascular', 'disease', 'role', 'marker', 'factor', 'health outcome', 'cardiovascular disease', 'individual', 'obesity']",26008985,5289.0,0.24463926143306539
 ,149, ,"['older', 'older adult', 'adult', 'aging', 'home', 'cognitive', 'intervention', 'risk', 'patient', 'care', 'fall', 'caregiver', 'technology', 'life', 'chronic']",67175611,11819.0,0.09227380699322436
 ,176, ,"['nlp', 'text', 'language', 'natural language', 'language processing', 'natural', 'record', 'processing', 'emr', 'electronic', 'information', 'medical', 'patient', 'medical record', 'note']",65541555,21883.0,0.06276120122682573
 ,189, ,"['chemical', 'mass', 'spectrometry', 'molecule', 'metabolomics', 'protein', 'assay', 'metabolite', 'peptide', 'drug', 'toxicity', 'analysis', 'tool', 'spectrum', 'computational']",79849452,24538.0,0.02524740607334676
 ,59, ,"['substance', 'substance use', 'adolescent', 'risk', 'youth', 'brain', 'assessment', 'mobile', 'career', 'consortium', 'effect', 'use disorder', 'development', 'hiv', 'behavioral']",27839351,2942.0,0.21135771280717353
 ,112, ,"['prostate', 'prostate cancer', 'cancer', 'men', 'biopsy', 'image', 'patient', 'tumor', 'mri', 'imaging', 'treatment', 'risk', 'detection', 'disease', 'biomarkers']",37923067,20372.0,0.15658981546336717
 ,127, ,"['gene', 'snp', 'expression', 'gene expression', 'cancer', 'susceptibility', 'statistical', 'analysis', 'genetic', 'disease', 'neuroscience', 'interaction', 'statistical method', 'cvd', 'model']",45833954,54593.0,0.039856558205582794
 ,1068, ,"['analysis', 'software', 'tool', 'model', 'user', 'algorithm', 'phase', 'disease', 'development', 'device', 'technology', 'application', 'learning', 'technique', 'available']",475334751,424571.0,-0.024212968586910244
 ,469, ,"['patient', 'medical', 'care', 'record', 'decision', 'physician', 'hospital', 'treatment', 'medical record', 'event', 'electronic', 'error', 'outcome', 'heart', 'risk']",198101855,35628.0,0.0009767762066924337
 ,357, ,"['infection', 'pathogen', 'microbiome', 'disease', 'infectious', 'tb', 'virus', 'infectious disease', 'antibiotic', 'host', 'antibody', 'bacterial', 'immune', 'microbial', 'vaccine']",198905653,85429.0,0.016736890362948304
 ,90, ,"['pa', 'physical activity', 'activity', 'physical', 'behavior', 'energy', 'child', 'phone', 'intensity', 'intervention', 'youth', 'pattern', 'estimate', 'exercise', 'algorithm']",43736466,3935.0,0.16659166380745621
 ,108, ,"['lung', 'lung cancer', 'cancer', 'nodule', 'screening', 'control', 'case', 'ct', 'patient', 'snp', 'risk', 'pulmonary', 'model', 'disease', 'genetic']",37787045,15544.0,0.17027317875358103
 ,110, ,"['alcohol', 'alcohol use', 'adolescent', 'use disorder', 'risk', 'disorder', 'brain', 'intervention', 'treatment', 'youth', 'behavior', 'substance', 'effect', 'problem', 'model']",36670764,6801.0,0.15039741167704784
 ,153, ,"['student', 'science', 'big', 'program', 'big data', 'course', 'training', 'education', 'school', 'faculty', 'biomedical', 'neuroscience', 'computational', 'data science', 'university']",42130271,71082.0,0.07299843438552366
 ,266, ,"['drug', 'adverse', 'safety', 'event', 'effect', 'patient', 'adverse event', 'model', 'abuse', 'interaction', 'treatment', 'identify', 'network', 'resistance', 'core']",156200761,71132.0,0.04360410166198882
 ,109, ,"['injury', 'ards', 'patient', 'acute', 'outcome', 'care', 'brain', 'liver', 'respiratory', 'spinal', 'recovery', 'trauma', 'syndrome', 'network', 'model']",32491257,10119.0,0.06112623409919882
 ,162, ,"['ehr', 'patient', 'ehr data', 'electronic', 'health record', 'record', 'electronic health', 'ehrs', 'information', 'event', 'care', 'medical', 'natural language', 'natural', 'healthcare']",61004796,26435.0,0.060344469106109584
 ,55, ,"['glaucoma', 'progression', 'visual', 'retinal', 'eye', 'optical', 'structural', 'image', 'detecting', 'change', 'damage', 'technique', 'field', 'detection', 'imaging']",20557369,22803.0,0.2894861433182132
 ,192, ,"['hiv', 'infection', 'viral', 'risk', 'hand', 'cohort', 'care', 'men', 'drug', 'treatment', 'individual', 'population', 'patient', 'prevention', 'intervention']",90897430,18847.0,0.1117237711230651
