Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per thousand dollars of funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Centroids,%R01,%U01,%R44,%U24,%R21,%U54
18,268,96698997,21122.0,0.11771700356718193,0.3963733650416171,0.37420416228844045,0.4185425677947937,841,218.43039385403347,4004,5.455304541809027e-05,27408838.77135221,15787213,0.25898841714761367,0.21931517842713277,0.29866165586809457,0.056221638761561846, , ,"['tumor', 'cancer', 'imaging', 'treatment', 'patient', 'therapy', 'radiation', 'image', 'tissue', 'planning', 'response', 'cell', 'brain', 'mri', 'tool']",0.39925373134328357,0.15298507462686567,0.05223880597014925,0.0,0.09701492537313433,0.0
19,374,187879963,58180.0,0.1610587707492149,0.4572678331090175,0.44346047217460227,0.4710751940434327,2229,309.6658050757653,9736,3.180626592807778e-05,89239026.485582,52072534,0.43770594570581284,0.34879226332500124,0.5266196280866244,0.0022223863294974252, , ,"['care', 'patient', 'intervention', 'quality', 'outcome', 'training', 'trial', 'dementia', 'health care', 'improve', 'caregiver', 'implementation', 'healthcare', 'support', 'communication']",0.2700534759358289,0.06684491978609626,0.11229946524064172,0.00267379679144385,0.08021390374331551,0.0
20,154,160864439,19495.0,0.23354564755838642,0.5060509554140127,0.4750380426478028,0.5370638681802226,471,121.18899690440595,1960,6.183112086959488e-05,77305917.9621945,7442877,0.36514754256392523,0.044874332144193674,0.6854207529836568,0.25000705015335833, , ,"['pain', 'chronic', 'treatment', 'patient', 'brain', 'opioid', 'care', 'effect', 'mechanism', 'assessment', 'management', 'low', 'condition', 'process', 'intervention']",0.4805194805194805,0.0,0.01948051948051948,0.006493506493506494,0.1038961038961039,0.012987012987012988
21,54,16252320,1987.0,0.04838709677419355,0.3416666666666667,0.29773929566057955,0.3855940376727538,186,122.25946818669581,460,0.0002657814525797735,6474493.348294601,3755150,0.326064010057096,0.25372071663594953,0.3984073034782425,0.18036087310667773, , ,"['social medium', 'medium', 'social', 'prevention', 'policy', 'abuse', 'hiv', 'online', 'effect', 'public', 'substance', 'drug', 'behavior', 'youth', 'big data']",0.5370370370370371,0.0,0.0,0.0,0.12962962962962962,0.0
22,122,48734866,4107.0,0.04529616724738676,0.2825783972125435,0.2497498837165234,0.31540691070856364,287,84.27231543018914,1235,6.823669265602359e-05,23249945.70298051,15210545,0.4312099171745894,0.35847525914566597,0.5039445752035128,0.035305266266081825, , ,"['social', 'behavior', 'behavioral', 'network', 'model', 'dynamic', 'change', 'neural', 'animal', 'interaction', 'modeling', 'intervention', 'population', 'individual', 'analysis']",0.5737704918032787,0.02459016393442623,0.02459016393442623,0.02459016393442623,0.07377049180327869,0.0
23,227,77689476,46380.0,0.054878048780487805,0.33018292682926825,0.31351876456861416,0.34684708908992234,1148,596.9920559124379,12766,4.676422183240152e-05,9831572.148548383,6967931,0.10653939458908442,0.08404020166292808,0.12903858751524075,0.06611658744610832, , ,"['visual', 'object', 'vision', 'scene', 'perception', 'neural', 'cortex', 'recognition', 'stimulus', 'image', 'eye', 'representation', 'shape', 'human', 'brain']",0.7577092511013216,0.0,0.01762114537444934,0.0,0.04405286343612335,0.0
24,111,55524833,14392.0,0.0972644376899696,0.34422492401215804,0.3203442965316545,0.36810555149266155,658,259.19933878954663,3709,6.988388751403253e-05,40170415.53004803,17328913,0.5730162415944285,0.4688926400875636,0.6771398431012935,0.06847684046174642, , ,"['surgical', 'surgery', 'patient', 'procedure', 'skill', 'training', 'tissue', 'model', 'treatment', 'technology', 'tumor', 'outcome', 'tool', 'planning', 'trial']",0.5225225225225225,0.018018018018018018,0.018018018018018018,0.0,0.14414414414414414,0.0
25,376,166562342,129310.0,0.12401574803149606,0.43917322834645667,0.42929540329866905,0.4490510533942443,4064,776.3459521960852,27338,2.8398052242156898e-05,107154819.66037844,43997262,0.5475627612583855,0.4846491563772511,0.61047636613952,0.009807830444632938, , ,"['risk', 'suicide', 'factor', 'risk factor', 'environmental', 'patient', 'outcome', 'prediction', 'intervention', 'woman', 'disease', 'model', 'social', 'cvd', 'death']",0.4095744680851064,0.061170212765957445,0.02925531914893617,0.0,0.061170212765957445,0.0
26,74,21355250,29495.0,0.04745762711864407,0.2575423728813559,0.23433924840850143,0.2807454973542104,590,1381.159199728404,6558,0.00021060677031540164,3675807.555995631,1663029,0.15132126936695456,0.08504219007741538,0.21760034865649375,0.18401033006150544, , ,"['mutation', 'protein', 'genome', 'human', 'gene', 'genetic', 'disease', 'cancer', 'molecular', 'region', 'evolution', 'variant', 'function', 'functional', 'computational']",0.6486486486486487,0.04054054054054054,0.0,0.0,0.05405405405405406,0.0
27,261,139913044,114358.0,0.20622009569377991,0.5218421052631579,0.507730163515491,0.5359540470108247,2090,817.3505252305139,15194,5.3794295460741993e-05,20346324.766685747,17276934,0.12373336933078063,0.068050482140763,0.1794162565207983,0.020420064554426604, , ,"['genetic', 'gwas', 'gene', 'association', 'risk', 'variant', 'disease', 'disorder', 'association study', 'genetics', 'trait', 'phenotype', 'analysis', 'locus', 'susceptibility']",0.5632183908045977,0.0842911877394636,0.007662835249042145,0.0,0.04597701149425287,0.0
28,107,41762518,12650.0,0.07760532150776053,0.44778270509977824,0.4206503137986436,0.4749150964009129,451,302.90319180467037,5685,5.328112432799831e-05,3316632.027751945,1265847,0.050780350514266034,0.02671287585420083,0.07484782517433124,0.10777557756929963, , ,"['cad', 'detection', 'radiologist', 'lesion', 'image', 'cancer', 'mass', 'diagnosis', 'coronary', 'performance', 'technique', 'nodule', 'screening', 'ct', 'colorectal']",0.6635514018691588,0.0,0.018691588785046728,0.0,0.16822429906542055,0.0
29,342,174824195,147402.0,0.20029239766081872,0.5119152046783626,0.5007427184099764,0.5230876909467488,3420,843.1441654857899,21861,3.856841706627281e-05,53219434.17878538,32545025,0.2613020046065868,0.2408391624854207,0.2817648467277529,0.024415294343964524, , ,"['brain', 'imaging', 'neuroimaging', 'connectivity', 'functional', 'human', 'human brain', 'neuroscience', 'fmri', 'analysis', 'disorder', 'network', 'mri', 'tool', 'brain imaging']",0.52046783625731,0.017543859649122806,0.029239766081871343,0.0,0.08771929824561403,0.017543859649122806
30,218,71100505,20849.0,0.12949640287769784,0.415167865707434,0.3933135018121038,0.43702222960276427,834,293.23279771360274,5049,5.8077401012795154e-05,11151240.588669145,9344879,0.14717229005425797,0.11038820782735681,0.18395637228115913,0.1415193729054858, , ,"['breast', 'breast cancer', 'cancer', 'woman', 'risk', 'tumor', 'screening', 'patient', 'biopsy', 'imaging', 'radiologist', 'model', 'detection', 'image', 'decision']",0.48623853211009177,0.10550458715596331,0.022935779816513763,0.0,0.0779816513761468,0.0
31,182,76151576,74224.0,0.22685714285714287,0.5100571428571428,0.4939578109573007,0.5261564747569849,1750,974.6876413956292,11594,8.406828026527766e-05,50526737.150791705,23010167,0.5840962568857327,0.5099771471006835,0.658215366670782,0.02723589537770595, , ,"['mri', 'kidney', 'imaging', 'motion', 'cardiac', 'patient', 'image', 'mr', 'disease', 'heart', 'magnetic', 'contrast', 'scan', 'magnetic resonance', 'resonance']",0.4835164835164835,0.005494505494505495,0.04395604395604396,0.0,0.14285714285714285,0.005494505494505495
32,141,55627794,7545.0,0.14285714285714285,0.4609447004608295,0.4301053756040458,0.4917840253176132,434,135.63363666731058,1699,7.983145183479139e-05,35093879.08135422,15699226,0.5079973499998406,0.4672953250834607,0.5486993749162205,0.05408203842420315, , ,"['opioid', 'smoking', 'relapse', 'treatment', 'use disorder', 'intervention', 'addiction', 'risk', 'substance', 'end', 'real', 'mobile', 'state', 'individual', 'disorder']",0.44680851063829785,0.03546099290780142,0.05673758865248227,0.0,0.12056737588652482,0.0
33,138,43842639,12541.0,0.08488612836438923,0.39254658385093166,0.3645849173144358,0.4205082503874275,483,286.04573734715194,3828,7.472459178347751e-05,9035864.943738611,2069488,0.18910136336147046,0.1544609823564216,0.2237417443665193,0.16763908791203572, , ,"['speech', 'language', 'production', 'motor', 'perception', 'hearing', 'disorder', 'communication', 'model', 'linguistic', 'neural', 'movement', 'human', 'control', 'measure']",0.5,0.050724637681159424,0.043478260869565216,0.0,0.13768115942028986,0.0
34,131,49662280,51238.0,0.09958008398320337,0.3868926214757048,0.3716180310818349,0.4021672118695747,1667,1031.7287083879355,8956,0.00011519972179409732,21973202.58468046,11676598,0.4503483852732781,0.3163492870414062,0.58434748350515,0.0809554981543102, , ,"['exposure', 'prenatal', 'alcohol', 'fetal', 'child', 'mixture', 'brain', 'facial', 'consortium', 'effect', 'environmental', 'spectrum', 'spectrum disorder', 'chemical', 'imaging']",0.25190839694656486,0.3511450381679389,0.0,0.1297709923664122,0.007633587786259542,0.0
35,175,99529523,32169.0,0.19230769230769232,0.519076923076923,0.49347869214560336,0.5446751540082426,650,323.21063168362616,3546,9.114795027739035e-05,29927011.77419741,19166160,0.26381127637783797,0.23125750888245725,0.29636504387321866,0.13643109013158566, , ,"['asd', 'autism', 'child', 'disorder', 'autism spectrum', 'spectrum disorder', 'brain', 'infant', 'spectrum', 'behavioral', 'connectivity', 'adhd', 'early', 'social', 'developmental']",0.44,0.017142857142857144,0.06857142857142857,0.0,0.08571428571428572,0.0
36,423,164775436,62915.0,0.09400826446280992,0.38037190082644623,0.3688569400648139,0.39188686158807856,2904,381.82268866823085,12031,3.1736571246632106e-05,68737073.41581094,40034398,0.3744351834786958,0.3266190623720656,0.422251304585326,-0.007721746932370885, , ,"['disease', 'patient', 'copd', 'biomarkers', 'treatment', 'therapy', 'progression', 'biomarker', 'pd', 'chronic', 'lung', 'early', 'identify', 'genetic', 'pulmonary']",0.3735224586288416,0.08747044917257683,0.037825059101654845,0.0,0.10401891252955082,0.002364066193853428
37,539,275447553,211301.0,0.02716297786720322,0.21928236083165656,0.21010823746384416,0.22845648419946896,2982,767.1188133589991,20092,3.8180311236263145e-05,44485149.87594667,27488887,0.14065123947126618,0.12396803013113535,0.157334448811397,0.017014114714589707, , ,"['gene', 'genome', 'regulatory', 'human', 'expression', 'dna', 'sequence', 'regulation', 'chromatin', 'gene expression', 'cell', 'disease', 'transcription', 'methylation', 'model']",0.5677179962894249,0.03896103896103896,0.00927643784786642,0.022263450834879406,0.03153988868274583,0.0055658627087198514
38,127,112183650,62509.0,0.05029013539651837,0.28500967117988396,0.2596812405796187,0.3103381017801492,517,557.2024087289012,2865,0.0001944860065371383,28443647.250075392,15121038,0.22283212336889519,0.1785600030882017,0.2671042436495887,0.10179638407996441, , ,"['circuit', 'neural', 'neural circuit', 'brain', 'neuron', 'behavior', 'motor', 'behavioral', 'dynamic', 'activity', 'disorder', 'function', 'connectivity', 'movement', 'understanding']",0.5118110236220472,0.08661417322834646,0.0,0.007874015748031496,0.031496062992125984,0.0
39,324,176720906,47705.0,0.15115465360391883,0.48317004898530447,0.4661684571068559,0.5001716408637531,1429,269.9454245668025,6172,4.373710702637759e-05,84729121.61994623,45537237,0.378193759701752,0.34715963181257264,0.40922788759093137,0.00016090011662030893, , ,"['disorder', 'symptom', 'psychosis', 'mental', 'emotion', 'psychopathology', 'youth', 'mental health', 'brain', 'mood', 'risk', 'treatment', 'neuroimaging', 'trauma', 'outcome']",0.5061728395061729,0.046296296296296294,0.012345679012345678,0.0030864197530864196,0.046296296296296294,0.0
40,56,22245588,1775.0,0.007407407407407408,0.17962962962962967,0.14258759276814806,0.21667166649111128,135,79.7911028470005,438,0.00018217146768721577,3580242.241562332,3821255,0.13304742426168142,0.06977190582937563,0.1963229426939872,0.3413167460283499, , ,"['malaria', 'control', 'pregnancy', 'transmission', 'resistance', 'intervention', 'vector', 'child', 'infection', 'vaccine', 'disease', 'infectious', 'strain', 'collaboration', 'population']",0.25,0.39285714285714285,0.05357142857142857,0.0,0.05357142857142857,0.0
41,68,26008985,5289.0,0.047337278106508875,0.3254437869822485,0.28147188981805715,0.3694156841464399,169,203.35280288715612,695,0.0002925939609887138,18487404.723442048,9505123,0.599326112410581,0.5084407420995696,0.6902114827215924,0.24463926143306539, , ,"['sleep', 'disparity', 'cvd', 'behavior', 'disorder', 'risk', 'cardiovascular', 'disease', 'role', 'marker', 'factor', 'health outcome', 'cardiovascular disease', 'individual', 'obesity']",0.38235294117647056,0.0,0.07352941176470588,0.0,0.16176470588235295,0.0
42,149,67175611,11819.0,0.1173780487804878,0.4042682926829268,0.37959229387787763,0.42894429148797597,656,175.9418310315034,4585,3.837335464154927e-05,23318961.954973128,10991965,0.27750173829678426,0.23399324938232094,0.32101022721124756,0.09227380699322436, , ,"['older', 'older adult', 'adult', 'aging', 'home', 'cognitive', 'intervention', 'risk', 'patient', 'care', 'fall', 'caregiver', 'technology', 'life', 'chronic']",0.5369127516778524,0.0,0.006711409395973154,0.0,0.06040268456375839,0.0
43,176,65541555,21883.0,0.11604938271604938,0.4345679012345679,0.41294557671507415,0.45619022575406165,810,333.87978054533494,5374,6.212872730653795e-05,6034375.927425321,4398141,0.06500206547840338,0.032491565357840015,0.09751256559896676,0.06276120122682573, , ,"['nlp', 'text', 'language', 'natural language', 'language processing', 'natural', 'record', 'processing', 'emr', 'electronic', 'information', 'medical', 'patient', 'medical record', 'note']",0.5113636363636364,0.09090909090909091,0.017045454545454544,0.0,0.09659090909090909,0.0
44,189,79849452,24538.0,0.013740458015267175,0.14877862595419847,0.13284972113489027,0.16470753077350667,655,307.3032987126824,3755,8.183842841882355e-05,25284436.89731686,12353489,0.32384842665743047,0.24144705972245045,0.4062497935924105,0.02524740607334676, , ,"['chemical', 'mass', 'spectrometry', 'molecule', 'metabolomics', 'protein', 'assay', 'metabolite', 'peptide', 'drug', 'toxicity', 'analysis', 'tool', 'spectrum', 'computational']",0.5608465608465608,0.026455026455026454,0.06349206349206349,0.047619047619047616,0.042328042328042326,0.0
45,59,27839351,2942.0,0.15748031496062992,0.42913385826771655,0.3872120241177927,0.4710556924176404,254,105.6777508929716,412,0.00025649939537129027,7304030.597422266,2197538,0.20948960454441054,0.09621635648033672,0.32276285260848436,0.21135771280717353, , ,"['substance', 'substance use', 'adolescent', 'risk', 'youth', 'brain', 'assessment', 'mobile', 'career', 'consortium', 'effect', 'use disorder', 'development', 'hiv', 'behavioral']",0.06779661016949153,0.2711864406779661,0.01694915254237288,0.15254237288135594,0.03389830508474576,0.0
46,112,37923067,20372.0,0.19047619047619047,0.5229813664596273,0.49426947414869,0.5516932587705646,483,537.192838332406,3344,0.0001606437913673463,5437090.511569077,4946588,0.13483555475074613,0.0685907766334017,0.20108033286809057,0.15658981546336717, , ,"['prostate', 'prostate cancer', 'cancer', 'men', 'biopsy', 'image', 'patient', 'tumor', 'mri', 'imaging', 'treatment', 'risk', 'detection', 'disease', 'biomarkers']",0.45535714285714285,0.08928571428571429,0.017857142857142856,0.0,0.16964285714285715,0.0
47,127,45833954,54593.0,0.07136715391229578,0.357652622527945,0.3405752020660003,0.3747300429898897,1163,1191.1038702879528,19214,6.199145780618053e-05,1668548.021947052,1554835,-0.023810059565707364,-0.074723289745487,0.027103170614072282,0.039856558205582794, , ,"['gene', 'snp', 'expression', 'gene expression', 'cancer', 'susceptibility', 'statistical', 'analysis', 'genetic', 'disease', 'neuroscience', 'interaction', 'statistical method', 'cvd', 'model']",0.49606299212598426,0.08661417322834646,0.015748031496062992,0.0,0.06299212598425197,0.0
48,1068,475334751,424571.0,0.12713656387665198,0.3978942731277533,0.39179636295630293,0.4039921832992036,11350,893.2042084169016,73901,1.2086496913666953e-05,96538048.79225755,78360496,0.2286302348924675,0.14118709723613393,0.3160733725488011,-0.024212968586910244, , ,"['analysis', 'software', 'tool', 'model', 'user', 'algorithm', 'phase', 'disease', 'development', 'device', 'technology', 'application', 'learning', 'technique', 'available']",0.3801498127340824,0.04962546816479401,0.11423220973782772,0.009363295880149813,0.07865168539325842,0.012172284644194757
49,469,198101855,35628.0,0.09617861743237441,0.376728209531988,0.36388395987076994,0.38957245919320604,2329,179.8468772541277,11517,1.5615774702971928e-05,53126768.41132412,37700976,0.2709334214717778,0.20152806043914434,0.34033878250441124,0.0009767762066924337, , ,"['patient', 'medical', 'care', 'record', 'decision', 'physician', 'hospital', 'treatment', 'medical record', 'event', 'electronic', 'error', 'outcome', 'heart', 'risk']",0.4904051172707889,0.029850746268656716,0.06609808102345416,0.010660980810234541,0.07249466950959488,0.0
50,357,198905653,85429.0,0.10156739811912226,0.33874608150470215,0.3225609049118971,0.3549312580975072,1595,429.4950832795084,5291,8.1174651914479e-05,122494369.43465398,56899679,0.47876873408269915,0.42473738478975537,0.532800083375643,0.016736890362948304, , ,"['infection', 'pathogen', 'microbiome', 'disease', 'infectious', 'tb', 'virus', 'infectious disease', 'antibiotic', 'host', 'antibody', 'bacterial', 'immune', 'microbial', 'vaccine']",0.42016806722689076,0.07282913165266107,0.0,0.0,0.12044817927170869,0.0028011204481792717
51,90,43736466,3935.0,0.18292682926829268,0.5103658536585365,0.461868066672398,0.558863640644675,164,89.97068944710806,725,0.00012409750268566627,15285324.105904667,6974436,0.32328076655092264,0.262473311775066,0.3840882213267793,0.16659166380745621, , ,"['pa', 'physical activity', 'activity', 'physical', 'behavior', 'energy', 'child', 'phone', 'intensity', 'intervention', 'youth', 'pattern', 'estimate', 'exercise', 'algorithm']",0.4777777777777778,0.08888888888888889,0.0,0.05555555555555555,0.17777777777777778,0.0
52,108,37787045,15544.0,0.16574585635359115,0.47541436464088394,0.44067227318597163,0.5101564560957963,362,411.3579138035271,2293,0.00017939725852748675,11095028.172657877,6928537,0.3049019003330199,0.21482643830269954,0.39497736236334025,0.17027317875358103, , ,"['lung', 'lung cancer', 'cancer', 'nodule', 'screening', 'control', 'case', 'ct', 'patient', 'snp', 'risk', 'pulmonary', 'model', 'disease', 'genetic']",0.5833333333333334,0.05555555555555555,0.018518518518518517,0.0,0.09259259259259259,0.009259259259259259
53,110,36670764,6801.0,0.14244186046511628,0.4700581395348837,0.4351185540801571,0.5049977249896103,344,185.46109374759686,1913,9.694777509022314e-05,11021882.073716247,4862463,0.2505627351672593,0.20009605672838685,0.3010294136061318,0.15039741167704784, , ,"['alcohol', 'alcohol use', 'adolescent', 'use disorder', 'risk', 'disorder', 'brain', 'intervention', 'treatment', 'youth', 'behavior', 'substance', 'effect', 'problem', 'model']",0.4,0.1,0.0,0.03636363636363636,0.08181818181818182,0.0
