Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per $1mil funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
10,98,34576457,17804.0,0.19134396355353075,0.5321184510250568,0.5023195233211183,0.5619173787289954,439,514.9168406699391,2993,0.1720403744303171,4206114.4477697555,4412060,0.10579413787592787,0.04764570603883882,0.1639425697130169,0.16080011424764182,"['prostate', 'cancer', 'mri', 'treatment', 'imaging', 'risk', 'tumor', 'image', 'mr', 'detection', 'patients', 'tissue', 'images', 'biomarkers', 'patient']"
11,170,57595374,13367.0,0.12312811980033278,0.4709650582362729,0.4452463590763067,0.49668375739623905,601,232.08461151758473,3487,0.06655710109480491,13851427.945421252,7980299,0.2208313880220279,0.18022142965339455,0.26144134639066124,0.17014982125439235,"['alcohol', 'exposure', 'brain', 'facial', 'effects', 'disorders', 'consortium', 'risk', 'children', 'spectrum', 'projects', 'treatment', 'youth', 'diagnostic', 'individuals']"
12,181,150654517,90718.0,0.0890652557319224,0.3671957671957672,0.34885360595067033,0.38553792844086404,1134,602.159177212058,5131,0.11735707994777977,31785093.271731623,15403427,0.17988627093936543,0.12204373885258628,0.23772880302614458,0.03531694131881328,"['cancer', 'tumor', 'tumors', 'cell', 'immune', 'mutations', 'cells', 'genomic', 'molecular', 'analysis', 'therapeutic', 'cancers', 'computational', 'projects', 'response']"
13,596,297697449,113832.0,0.12752795622174637,0.4274446823697359,0.4174745326032806,0.43741483213619115,4203,382.3747915286973,19875,0.019238983221569677,182716737.35634655,94954134,0.5167750792942817,0.4584328672447694,0.575117291343794,-0.015349428696054102,"['risk', 'disease', 'factors', 'immune', 'patients', 'identify', 'study', 'infection', 'microbiome', 'biomarkers', 'aim', 'outcomes', 'genetic', 'treatment', 'studies']"
14,161,163189526,19546.0,0.2277432712215321,0.49989648033126294,0.4692154955434771,0.5305774651190488,483,119.77484388305656,1981,0.06046180912824663,77160732.16462311,7022684,0.3595169378674609,0.04546350521712905,0.6735703705177928,0.269225162362096,"['pain', 'chronic', 'patients', 'treatment', 'brain', 'care', 'opioid', 'low', 'management', 'treatments', 'patient', 'self', 'mechanisms', 'effects', 'assessment']"
15,151,58646029,14131.0,0.0367504835589942,0.26189555125725333,0.23874961329576044,0.2850414892187462,517,240.9540806249644,3958,0.06087773638831844,5094873.62506084,4186394,0.05945406147470468,0.02934616432734135,0.089561958622068,0.07552064393135988,"['biomedical', 'text', 'knowledge', 'literature', 'information', 'mining', 'language', 'processing', 'language processing', 'natural language', 'natural', 'systems', 'annotation', 'scientific', 'methods']"
16,164,67316108,15322.0,0.08013937282229965,0.3760452961672474,0.35808812302039256,0.39400246931410227,1148,227.61268372794223,3174,0.07171162058221242,24503836.059264753,17084902,0.2995635422012837,0.2736770935507624,0.3254499908518049,0.07229895339630243,"['social', 'behavior', 'network', 'behavioral', 'population', 'behaviors', 'study', 'information', 'outcomes', 'analysis', 'online', 'processing', 'related', 'aim', 'communication']"
17,169,96473318,32495.0,0.19236641221374046,0.5199999999999999,0.49453305894042227,0.5454669410595775,655,336.828883609041,3580,0.09408628033772094,27253158.638554033,18089319,0.2494119551935078,0.21926734962954947,0.27955656075746615,0.15836221474661322,"['asd', 'autism', 'children', 'brain', 'disorder', 'connectivity', 'behavioral', 'spectrum', 'social', 'early', 'disorders', 'infants', 'functional', 'developmental', 'language']"
18,141,52533718,5023.0,0.09734513274336283,0.35309734513274327,0.31109960800295455,0.395095082262532,226,95.61478211003455,1171,0.08165224774554616,18872207.421066117,11621836,0.39496331732808143,0.2559623029660595,0.5339643316901034,0.03293299401503423,"['intervention', 'students', 'interventions', 'phase', 'expert', 'treatment', 'school', 'mobile', 'depression', 'efficacy', 'effective', 'content', 'risk', 'families', 'trial']"
19,89,38928871,40657.0,0.02631578947368421,0.22289473684210528,0.1980692747502823,0.24772019893392827,380,1044.391962972674,1824,0.5725833130332643,7117365.048167413,4837929,0.1525932876014374,0.1067715100118935,0.1984150651909813,0.16320527502717927,"['rna', 'human', 'cell', 'expression', 'regulation', 'sequencing', 'binding', 'cellular', 'regulatory', 'structure', 'function', 'gene', 'computational', 'genome', 'coding']"
20,308,121086885,50790.0,0.060450819672131145,0.3011782786885246,0.28223042490784167,0.3201261324692075,976,419.4508761208945,7529,0.05571136620014537,34037698.82301423,17787739,0.2598067507652612,0.2302178836344358,0.28939561789608664,0.03347451333951361,"['neural', 'activity', 'brain', 'memory', 'cortex', 'motor', 'circuit', 'behavioral', 'cognitive', 'behavior', 'mechanisms', 'understanding', 'information', 'neurons', 'processing']"
21,285,123582328,43026.0,0.025435073627844713,0.2249665327978581,0.20712216491787044,0.24281090067784578,747,348.1565746196333,3977,0.08754251310526359,54147854.275161885,33541546,0.40886035750983396,0.3453690069650144,0.47235170805465354,0.06444156427305903,"['cell', 'cells', 'single cell', 'single', 'cell types', 'types', 'cellular', 'human', 'molecular', 'signaling', 'analysis', 'disease', 'understanding', 'computational', 'function']"
22,194,62572709,45986.0,0.05380794701986755,0.35596026490066224,0.339313026422173,0.3726075033791515,1208,734.9210340245937,13562,0.05418972378886549,9821631.893973323,7419235,0.14036054151345795,0.11587374756754269,0.1648473354593732,0.08668106444568473,"['visual', 'vision', 'eye', 'cortex', 'recognition', 'attention', 'neural', 'understanding', 'brain', 'human', 'cortical', 'information', 'representation', 'experiments', 'features']"
23,363,172765527,127231.0,0.19874065328610782,0.4952577725304998,0.48208101525952285,0.5084345298014767,2541,736.4374259686657,18244,0.0403660066854125,57284819.06143963,32834713,0.2987108675770392,0.26385013235651256,0.3335716027975658,0.031457257675544165,"['brain', 'fmri', 'imaging', 'connectivity', 'functional', 'neuroscience', 'mri', 'human', 'eeg', 'activity', 'analysis', 'methods', 'network', 'cognitive', 'understanding']"
24,77,70987948,15900.0,0.15347721822541965,0.5163069544364509,0.4863228094424521,0.5462910994304497,417,223.9816820736951,2952,0.0758745535479997,18228728.68862025,2345292,0.23681959843216058,0.13191219390984565,0.3417270029544755,0.25788061123608214,"['asthma', 'exposure', 'environmental', 'children', 'childhood', 'effects', 'disease', 'assess', 'study', 'lung', 'genetic', 'chronic', 'gene expression', 'severe', 'risk']"
25,73,28051685,5298.0,0.046242774566473986,0.3242774566473988,0.28082105055611783,0.3677338627386798,173,188.86565994163985,697,0.2709693829865708,19212376.76884735,11016297,0.5735809424158006,0.4830187548988325,0.6641431299327687,0.28591206433852856,"['sleep', 'risk', 'cardiovascular', 'behavior', 'disease', 'markers', 'disorders', 'eeg', 'aim', 'obesity', 'study', 'factors', 'dementia', 'classification', 'brain']"
26,71,29342505,11613.0,0.09018567639257294,0.48660477453580897,0.45729502378600106,0.5159145252856169,377,395.7739804423651,4754,0.08325073210819628,1814777.1489966868,1145216,0.024774459029913317,-0.0024889187715249755,0.05203783683135161,0.24581562297119114,"['cad', 'detection', 'image', 'diagnosis', 'computer', 'lesions', 'ct', 'cases', 'images', 'breast', 'performance', 'cancer', 'imaging', 'characterization', 'improve']"
27,147,70686421,21650.0,0.22315035799522673,0.5325178997613366,0.5095718859079971,0.5554639136146761,838,306.28230562133,3739,0.08191556716269859,37231688.37325554,22943977,0.43572578448585153,0.3560731695377353,0.5153783994339678,0.06957945066933896,"['cardiac', 'heart', 'failure', 'risk', 'patients', 'dr', 'prediction', 'cardiovascular', 'disease', 'patient', 'imaging', 'events', 'motion', 'mortality', 'time']"
28,267,133438897,52135.0,0.10267857142857142,0.34605654761904764,0.3285507139089525,0.36356238132914276,1344,390.70316955632507,9224,0.04235723867696499,28395144.84457549,15898690,0.18869292523746573,0.16148900656853377,0.21589684390639768,0.03949318100310976,"['drug', 'drugs', 'discovery', 'models', 'chemical', 'resistance', 'computational', 'development', 'effects', 'treatment', 'target', 'novel', 'targets', 'platform', 'phase']"
29,187,54180538,11688.0,0.06873614190687362,0.3671840354767184,0.34023133890558244,0.3941367320478544,451,215.72321780931742,3098,0.06963305933160666,7542198.449613882,2816750,0.11829590600377249,0.08519877515506628,0.15139303685247868,0.10805772309081421,"['language', 'infants', 'children', 'acquisition', 'statistical', 'speech', 'disorders', 'input', 'processing', 'patterns', 'proposed', 'development', 'mechanisms', 'natural', 'developmental']"
30,182,72553737,18259.0,0.15,0.44700000000000006,0.4207078603524207,0.47329213964757944,600,251.66174417728476,2808,0.08962312826826381,29199626.99596161,17949849,0.36936743198332006,0.33044852760079185,0.40828633636584827,0.05602602418451456,"['children', 'early', 'pediatric', 'risk', 'development', 'outcomes', 'childhood', 'age', 'child', 'developmental', 'autism', 'study', 'school', 'activity', 'intervention']"
31,257,143749882,85416.0,0.1430084745762712,0.4610699152542373,0.4464487265495282,0.47569110395894637,1888,594.1987486292337,14257,0.04167768454999184,18305233.925117407,10225393,0.10346155765605138,0.05968247294400045,0.1472406423681023,0.0353356977382106,"['genetic', 'genes', 'gene', 'gwas', 'variants', 'genome', 'risk', 'association', 'genome wide', 'susceptibility', 'aim', 'wide', 'disease', 'studies', 'phenotypes']"
32,206,123809066,69464.0,0.050980392156862744,0.2649673202614379,0.24445417090667815,0.2854804696161976,765,561.0574592332357,5557,0.10096409199806293,44107753.548747145,22340844,0.32845276234260895,0.2473238093864496,0.4095817152987683,0.03305058294100799,"['neurons', 'neuronal', 'circuits', 'sensory', 'brain', 'motor', 'neural', 'cortical', 'circuit', 'activity', 'behavioral', 'cell', 'behavior', 'cortex', 'function']"
33,143,61130322,11641.0,0.11550632911392406,0.3986550632911392,0.37357073530160734,0.42373939128067106,632,190.42922757710977,4554,0.0418158163322595,19006365.06191728,9567063,0.24972298421956846,0.20209325019164792,0.297352718247489,0.1296541050966571,"['older', 'older adults', 'adults', 'aging', 'home', 'risk', 'age', 'cognitive', 'intervention', 'life', 'care', 'depression', 'physical', 'support', 'chronic']"
34,104,36581677,9727.0,0.0967741935483871,0.33721198156682025,0.3068482671066875,0.367575696026953,434,265.8981434886104,1539,0.17277332260468511,42795169.39690259,14903958,0.7707931095807335,0.7144508578875681,0.827135361273899,0.04231865353753719,"['deep', 'deep learning', 'images', 'lesions', 'segmentation', 'image', 'detection', 'features', 'cancer', 'imaging', 'digital', 'diagnosis', 'interpretation', 'models', 'accuracy']"
35,191,66240906,23774.0,0.11032531824611033,0.43889674681753893,0.4154322345248446,0.46236125911023324,707,358.902095934497,5126,0.07001601559393231,11384442.806088956,10416580,0.1544086171342632,0.11460931673411417,0.19420791753441224,0.029044348716265937,"['control', 'motor', 'stimulation', 'brain', 'movement', 'signals', 'function', 'activities', 'neural', 'subjects', 'attention', 'disease', 'disorders', 'individuals', 'training']"
36,75,40060791,18172.0,0.18181818181818182,0.5339246119733925,0.5047376732416915,0.5631115507050934,451,453.61061392921573,3551,0.12774165416198696,25789674.753378723,10421198,0.5697956209584529,0.4176178022961625,0.7219734396207433,0.30745724946852704,"['suicide', 'risk', 'behavior', 'factors', 'youth', 'risk factors', 'death', 'study', 'prevention', 'prediction', 'adolescents', 'care', 'psychiatric', 'individuals', 'patients']"
37,102,35101322,15004.0,0.10412147505422993,0.35759219088937083,0.3281250530932721,0.38705932868546955,461,427.44828813000265,5493,0.0778169102730753,5762375.059957017,4773179,0.14355266534782457,0.1096488994161655,0.17745643127948363,0.07024742635582976,"['shape', 'obesity', 'body', 'metabolic', 'risk', 'model', 'factors', 'childhood', 'aim', 'models', '3d', 'visual', 'methods', 'mass', 'analysis']"
38,306,61010899,27498.0,0.1510791366906475,0.4558752997601918,0.43745154719964885,0.47429905232073477,1251,450.70635658064964,4297,0.1048886098628461,25478681.38709882,10015861,0.3505577311249677,0.3218681174235155,0.37924734482641986,0.02621909778252128,"['dr', 'training', 'kidney', 'patients', 'career', 'disease', 'risk', 'development', 'candidate', 'outcomes', 'independent', 'care', 'injury', 'patient', 'university']"
39,394,170493611,224831.0,0.08042895442359249,0.3495669210146422,0.34091253003282085,0.35822131199646357,4849,1318.7063062439329,39637,0.03326957908630655,40199551.151407816,29285883,0.21185391015198476,0.19133503025516158,0.23237279004880795,-0.005676755687539221,"['smoking', 'genomic', 'methods', 'genetic', 'statistical', 'environmental', 'aim', 'sequencing', 'analysis', 'models', 'genetics', 'disease', 'human', 'diseases', 'genome']"
40,438,282964280,224870.0,0.10115089514066496,0.378695652173913,0.3716286741376382,0.38576263021018775,7820,794.6939451156167,46921,0.016936850133535446,33758721.32104509,41392780,0.10148598985530372,0.06367878340155275,0.13929319630905468,-0.0035045123557302213,"['biomedical', 'big', 'big data', 'tools', 'computational', 'researchers', 'center', 'science', 'information', 'informatics', 'software', 'community', 'scientists', 'methods', 'development']"
41,424,267147747,225940.0,0.05928705440900563,0.2633208255159475,0.2522878694346312,0.27435378159726376,2665,845.749225053356,19955,0.04238282260352573,49565269.558050446,28080100,0.17785857542073485,0.12780275474637515,0.22791439609509456,-0.00664854885912998,"['molecular', 'biological', 'computational', 'systems', 'biology', 'interactions', 'human', 'cellular', 'network', 'networks', 'tools', 'models', 'chemical', 'analysis', 'model']"
42,138,42236604,12548.0,0.08453608247422681,0.3925773195876288,0.3646591473380509,0.42049549183720675,485,297.0882791618379,3832,0.07752825656624161,7744606.319079523,1984046,0.1647169724924541,0.12550916334112244,0.20392478164378575,0.22243125779619197,"['speech', 'language', 'motor', 'neural', 'communication', 'measures', 'time', 'model', 'real time', 'real', 'human', 'disorders', 'brain', 'normal', 'control']"
43,60,24015708,2972.0,0.10714285714285714,0.40744047619047613,0.35779842202062395,0.4570825303603283,168,123.75233742848638,759,0.16304655787679365,10713719.98782451,4767493,0.3777214373959637,0.33183932560877033,0.42360354918315707,0.21685692179790123,"['pet', 'imaging', 'image', 'motion', 'ct', 'mr', 'mri', 'dose', 'cancer', 'radiation', 'patients', 'resolution', 'deep learning', 'deep', 'dynamic']"
44,277,124950632,179078.0,0.084,0.3721230769230769,0.3615705695331166,0.38267558431303716,3250,1433.1900298031308,22337,0.06416215381667774,66902340.75106165,15405994,0.48825263670296004,0.41402419227649273,0.5624810811294273,0.029354055153045545,"['cancer', 'patients', 'treatment', 'tumor', 'patient', 'screening', 'methods', 'cancers', 'detection', 'biomarkers', 'early', 'tools', 'risk', 'diagnosis', 'studies']"
45,214,102757185,96008.0,0.16491935483870968,0.4722379032258065,0.45915892533426833,0.48531688111734467,2480,934.3190940857323,15501,0.060274762536980345,43899866.25869722,21965491,0.3519017979822466,0.30313887163997005,0.4006647243245231,0.010312028512635317,"['neuroimaging', 'brain', 'disorders', 'imaging', 'schizophrenia', 'multimodal', 'treatment', 'biomarkers', 'methods', 'disorder', 'mental', 'disease', 'aim', 'psychiatric', 'analysis']"
46,127,73462131,6751.0,0.1198044009779951,0.4511002444987775,0.4199534073581222,0.4822470816394328,409,91.89768807550654,1102,0.08339173146597689,44634815.80003603,11572422,0.4649174934575663,0.4388472907608512,0.49098769615428134,0.19622843312953003,"['stroke', 'recovery', 'patients', 'brain', 'treatment', 'imaging', 'language', 'risk', 'motor', 'acute', 'disability', 'patient', 'aim', 'cause', 'blood']"
47,758,285866809,149548.0,0.1708889912482727,0.4491363426992169,0.4390574636826955,0.45921522171573825,4342,523.1387320659531,27141,0.019274851039606248,34078199.34958565,33902956,0.1042433560253965,0.07474307951762396,0.13374363253316904,-0.01783133153205566,"['image', 'images', 'vision', 'software', 'analysis', 'phase', 'imaging', 'computer', 'user', 'detection', 'automated', 'diagnostic', 'algorithms', 'image analysis', 'device']"
48,279,88070675,93558.0,0.00784313725490196,0.13251633986928105,0.12316930011626298,0.1418633796222991,1530,1062.3059264619012,14242,0.0745896592095142,12222054.592219876,7393497,0.1246360873494774,0.0879097278874798,0.161362446811475,0.10875840959339844,"['protein', 'proteins', 'structure', 'sequence', 'structures', 'interactions', 'function', 'structural', 'prediction', 'computational', 'sequences', 'methods', 'molecular', 'functional', 'information']"
49,270,112661720,62096.0,0.05131667792032411,0.29412559081701556,0.2792616125827552,0.3089895690512759,1481,551.1721283857552,9450,0.05832509295087356,20083747.622590173,11686763,0.16221259982455422,0.14388635178871895,0.18053884786038948,0.03139293178847373,"['gene', 'expression', 'gene expression', 'methylation', 'dna', 'genes', 'epigenetic', 'human', 'disease', 'genome', 'cell', 'methods', 'aim', 'cancer', 'patterns']"
50,238,112668389,48450.0,0.17615176151761516,0.4868224932249322,0.4698687978509223,0.5037761885989421,1476,430.023012044665,8359,0.05144431296143857,45082740.923373744,22945439,0.3704615344995567,0.3030663125763461,0.43785675642276733,0.032972609925276355,"['care', 'patient', 'quality', 'health care', 'patients', 'ehr', 'outcomes', 'healthcare', 'medical', 'improve', 'support', 'electronic', 'dementia', 'decision', 'detection']"
51,161,55525397,18905.0,0.1413237924865832,0.43434704830053666,0.4065311435085658,0.46216295309250754,559,340.47482812234557,2894,0.11764852388470821,19272867.395625673,11011860,0.34788576762306006,0.27455597895050154,0.4212155562956186,0.11945457354925981,"['lung', 'lung cancer', 'cancer', 'ct', 'screening', 'patients', 'disease', 'controls', 'models', 'microbiome', 'model', 'gene', 'risk', 'cases', 'function']"
52,235,80825963,24892.0,0.13877551020408163,0.43137755102040815,0.41118568075592027,0.451569421284896,980,307.97034858712414,5776,0.05331896616813091,12703841.197253536,9623282,0.14625519780987561,0.11024061753212092,0.1822697780876303,0.1443349261393312,"['breast', 'breast cancer', 'cancer', 'women', 'risk', 'screening', 'imaging', 'tumor', 'patients', 'decision', 'cancers', 'detection', 'diagnosis', 'early', 'computer']"
53,207,101859901,87554.0,0.1707126076742365,0.45462020360219263,0.4358866438196475,0.4733537633847378,1277,859.5531621417931,6484,0.13256526251415687,19951293.00221608,16249624,0.1606989992130346,0.10762725325459763,0.21377074517147157,0.053206019209658166,"['variants', 'genetic', 'genome', 'variation', 'human', 'regulatory', 'disease', 'gene', 'coding', 'functional', 'sequencing', 'sequence', 'mutations', 'genes', 'genomic']"
54,138,56066842,24065.0,0.05975395430579965,0.260456942003515,0.23612008675907106,0.28479379724795895,569,429.21982301054163,3814,0.11253797142384415,8044140.927655565,7234799,0.12112253260892243,0.058618206360501746,0.18362685885734312,0.12611939647140677,"['ms', 'mass', 'disease', 'proteins', 'protein', 'biomarkers', 'analysis', 'methods', 'high', 'identification', 'analytical', 'patients', 'samples', 'identify', 'throughput']"
55,123,59786100,9037.0,0.07530647985989491,0.305954465849387,0.2816071257823531,0.33030180591642094,571,151.1555361530523,2662,0.05678269577500087,52014480.01025728,21423869,0.635496952610512,0.5155445719519819,0.7554493332690421,0.08504812722413944,"['surgical', 'surgery', 'tissue', 'patients', 'patient', 'training', 'time', 'outcomes', 'pre', 'real time', '3d', 'imaging', 'post', 'technology', 'real']"
56,79,41717141,4921.0,0.16422287390029325,0.4435483870967742,0.40699312550343497,0.4801036486901134,341,117.9611038062268,734,0.1607099506896823,21130446.96953846,12864834,0.4019365018937813,0.3575020353982612,0.44637096838930135,0.1644174550875195,"['substance', 'substance use', 'consortium', 'youth', 'treatment', 'brain', 'effects', 'trials', 'adolescents', 'development', 'risk', 'social', 'outcomes', 'assessments', 'training']"
57,126,48521784,9657.0,0.16744186046511628,0.4331395348837209,0.40050261639269813,0.4657764533747437,430,199.02400950467938,2110,0.09432417512070113,9073458.61798641,6041730,0.15970770752077457,0.1262462417003462,0.19316917334120293,0.07089927611578044,"['safety', 'drug', 'adverse', 'events', 'methods', 'patient', 'surveillance', 'drugs', 'medical', 'information', 'effects', 'medication', 'reports', 'post', 'natural language']"
58,78,31466880,6537.0,0.17197452229299362,0.5103503184713376,0.4746822986638836,0.5460183382787916,314,207.74223564586,1384,0.15010277142041908,28510640.732550126,10430141,0.6119292077396217,0.5111901924317683,0.712668223047475,0.18279803160264263,"['opioid', 'treatment', 'risk', 'disorder', 'study', 'drug', 'brain', 'phase', 'phase ii', 'related', 'patients', 'care', 'ii', 'development', 'suicide']"
59,294,246908575,78380.0,0.14202415660141607,0.42042898792169925,0.4070788160631825,0.433779159780216,2401,317.44543501577454,10501,0.030230019523452483,138135967.3567004,51868842,0.42084479728818747,0.36148154318886305,0.4802080513875119,0.17822777561346714,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'dementia', 'cognitive', 'brain', 'risk', 'imaging', 'biomarkers', 'early', 'aging', 'pathology', 'trials', 'mri']"
